Season,PM2.5_Mean,PM2.5_N,PM2.5_SD,PM2.5_CV,CO_Mean,CO_N,CO_SD,CO_CV,NO2_Mean,NO2_N,NO2_SD,NO2_CV
Spring/Pre-monsoon,70,20513,56.4,80.6,447.3,348518,1541.9,344.7,267,374746,1075.1,402.6
Summer/Monsoon,23.8,22235,28.6,120.1,502.7,345159,4937.17,982.1,97.3,396223,337.9,347.2
Autumn/Post-monsoon,23.7,22030,27.1,114.4,298.4,397446,1180.25,395.5,47.1,420320,101,214.3
Winter,82,21116,58.7,71.7,517.3,380150,1116.11,215.8,314.7,368603,266.3,84.6
