Region,Elevation,Climatic Zones,Average Annual Percipitation,Average annual Temperature
High Himal,Above 5000m,Tundra and arctic climate,"150-200mm
275-2300mm",< 3-10°C 
High Mountains,3000m-50000m,Alpine and Subalpine,"150-200mm",< 3-10°C 
Middle Mountains,1000m-3000m,Cool to warm temperature,275-2300mm,10-20°C
Siwalik,500m-1000m,Sub-tropical,1100-3000mm,20-25°C
Terai (low - laying plains),below 500m,Tropical,1100-3000mm,20-25°C
