S.N.,Sectors,1994(CO2e Gg) Total Emission,1994 (CO2e Gg)% of Total,2000(CO2e Gg) Total Emission,2000(CO2e Gg) % of Total,CAGR*% (1994-2000),2008 (CO2e Gg) Total Emission,2008 (CO2e Gg) % of Total
1,Energy,1465,5,6827,27.8,29.24,7959,26.5
2,Industrial processes,165,0.6,131,0.5,-3.77,632,2.1
3,Agriculture,27197,92.6,16916,68.9,-7.58,20662,68.8
4,Waste,520,1.8,667,2.7,4.23,758,2.5
