Maximum Length of Consecutive Wet Spell - (Days), Year, Model, Statistics, ISO3
-0.1213, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
-0.4975, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
-0.7151, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
-0.8768, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
0.20678, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
-0.975, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
-3.3198, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
-5.4026, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
-0.5732, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
0.82889, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
-0.0358, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
-0.6628, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
-0.2426, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
0.64571, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
0.27489, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
-0.6329, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
0.63983, 2040-2059, bcc_csm1_1, May Anomaly, NPL
0.52675, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
-0.7811, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
5.28582, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
4.34361, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
1.24623, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
1.52955, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
1.54424, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
0.54477, 2040-2059, ccsm4, Jan Anomaly, NPL
-0.0478, 2040-2059, ccsm4, Feb Anomaly, NPL
-0.8175, 2040-2059, ccsm4, Mar Anomaly, NPL
0.22225, 2040-2059, ccsm4, Apr Anomaly, NPL
-0.8118, 2040-2059, ccsm4, May Anomaly, NPL
-0.9382, 2040-2059, ccsm4, Jun Anomaly, NPL
-2.9101, 2040-2059, ccsm4, Jul Anomaly, NPL
-1.9507, 2040-2059, ccsm4, Aug Anomaly, NPL
-3.7138, 2040-2059, ccsm4, Sep Anomaly, NPL
-13.0, 2040-2059, ccsm4, Oct Anomaly, NPL
0.69585, 2040-2059, ccsm4, Nov Anomaly, NPL
-0.6071, 2040-2059, ccsm4, Dec Anomaly, NPL
-0.304, 2040-2059, cesm1_cam5, Jan Anomaly, NPL
0.16034, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
0.57142, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
0.29254, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
1.41534, 2040-2059, cesm1_cam5, May Anomaly, NPL
-3.6277, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
-4.6519, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
-4.8221, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
-6.5083, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
2.88014, 2040-2059, cesm1_cam5, Oct Anomaly, NPL
-0.5825, 2040-2059, cesm1_cam5, Nov Anomaly, NPL
-0.0645, 2040-2059, cesm1_cam5, Dec Anomaly, NPL
0.0355, 2040-2059, csiro_mk3_6_0, Jan Anomaly, NPL
0.4975, 2040-2059, csiro_mk3_6_0, Feb Anomaly, NPL
0.10684, 2040-2059, csiro_mk3_6_0, Mar Anomaly, NPL
0.5035, 2040-2059, csiro_mk3_6_0, Apr Anomaly, NPL
2.49705, 2040-2059, csiro_mk3_6_0, May Anomaly, NPL
0.26203, 2040-2059, csiro_mk3_6_0, Jun Anomaly, NPL
-3.6712, 2040-2059, csiro_mk3_6_0, Jul Anomaly, NPL
-2.9248, 2040-2059, csiro_mk3_6_0, Aug Anomaly, NPL
4.26809, 2040-2059, csiro_mk3_6_0, Sep Anomaly, NPL
7.15037, 2040-2059, csiro_mk3_6_0, Oct Anomaly, NPL
-0.0177, 2040-2059, csiro_mk3_6_0, Nov Anomaly, NPL
0.30161, 2040-2059, csiro_mk3_6_0, Dec Anomaly, NPL
0.33488, 2040-2059, gfdl_cm3, Jan Anomaly, NPL
0.1555, 2040-2059, gfdl_cm3, Feb Anomaly, NPL
0.0439, 2040-2059, gfdl_cm3, Mar Anomaly, NPL
0.1418, 2040-2059, gfdl_cm3, Apr Anomaly, NPL
-0.3276, 2040-2059, gfdl_cm3, May Anomaly, NPL
0.93838, 2040-2059, gfdl_cm3, Jun Anomaly, NPL
1.75052, 2040-2059, gfdl_cm3, Jul Anomaly, NPL
2.37948, 2040-2059, gfdl_cm3, Aug Anomaly, NPL
4.29047, 2040-2059, gfdl_cm3, Sep Anomaly, NPL
-8.6416, 2040-2059, gfdl_cm3, Oct Anomaly, NPL
-0.6642, 2040-2059, gfdl_cm3, Nov Anomaly, NPL
-0.3356, 2040-2059, gfdl_cm3, Dec Anomaly, NPL
0.06124, 2040-2059, gfdl_esm2g, Jan Anomaly, NPL
-0.4705, 2040-2059, gfdl_esm2g, Feb Anomaly, NPL
-0.3076, 2040-2059, gfdl_esm2g, Mar Anomaly, NPL
0.26019, 2040-2059, gfdl_esm2g, Apr Anomaly, NPL
0.87157, 2040-2059, gfdl_esm2g, May Anomaly, NPL
-1.1435, 2040-2059, gfdl_esm2g, Jun Anomaly, NPL
-0.1838, 2040-2059, gfdl_esm2g, Jul Anomaly, NPL
-1.9106, 2040-2059, gfdl_esm2g, Aug Anomaly, NPL
-10.185, 2040-2059, gfdl_esm2g, Sep Anomaly, NPL
-22.994, 2040-2059, gfdl_esm2g, Oct Anomaly, NPL
0.15161, 2040-2059, gfdl_esm2g, Nov Anomaly, NPL
-0.257, 2040-2059, gfdl_esm2g, Dec Anomaly, NPL
0.85529, 2040-2059, gfdl_esm2m, Jan Anomaly, NPL
-0.9045, 2040-2059, gfdl_esm2m, Feb Anomaly, NPL
-0.6137, 2040-2059, gfdl_esm2m, Mar Anomaly, NPL
-0.7478, 2040-2059, gfdl_esm2m, Apr Anomaly, NPL
-1.6652, 2040-2059, gfdl_esm2m, May Anomaly, NPL
-1.3184, 2040-2059, gfdl_esm2m, Jun Anomaly, NPL
-4.4076, 2040-2059, gfdl_esm2m, Jul Anomaly, NPL
-8.8675, 2040-2059, gfdl_esm2m, Aug Anomaly, NPL
-9.4806, 2040-2059, gfdl_esm2m, Sep Anomaly, NPL
7.45164, 2040-2059, gfdl_esm2m, Oct Anomaly, NPL
0.5464, 2040-2059, gfdl_esm2m, Nov Anomaly, NPL
0.10221, 2040-2059, gfdl_esm2m, Dec Anomaly, NPL
-0.258, 2040-2059, hadgem2_ao, Jan Anomaly, NPL
-0.7133, 2040-2059, hadgem2_ao, Feb Anomaly, NPL
-1.9674, 2040-2059, hadgem2_ao, Mar Anomaly, NPL
-2.2025, 2040-2059, hadgem2_ao, Apr Anomaly, NPL
0.43372, 2040-2059, hadgem2_ao, May Anomaly, NPL
3.13309, 2040-2059, hadgem2_ao, Jun Anomaly, NPL
4.224, 2040-2059, hadgem2_ao, Jul Anomaly, NPL
5.33392, 2040-2059, hadgem2_ao, Aug Anomaly, NPL
8.67548, 2040-2059, hadgem2_ao, Sep Anomaly, NPL
4.60661, 2040-2059, hadgem2_ao, Oct Anomaly, NPL
-0.4135, 2040-2059, hadgem2_ao, Nov Anomaly, NPL
-0.3434, 2040-2059, hadgem2_ao, Dec Anomaly, NPL
-0.5219, 2040-2059, hadgem2_es, Jan Anomaly, NPL
-0.2177, 2040-2059, hadgem2_es, Feb Anomaly, NPL
-0.8755, 2040-2059, hadgem2_es, Mar Anomaly, NPL
1.03591, 2040-2059, hadgem2_es, Apr Anomaly, NPL
-2.1824, 2040-2059, hadgem2_es, May Anomaly, NPL
-5.4661, 2040-2059, hadgem2_es, Jun Anomaly, NPL
-7.9538, 2040-2059, hadgem2_es, Jul Anomaly, NPL
-10.247, 2040-2059, hadgem2_es, Aug Anomaly, NPL
-13.779, 2040-2059, hadgem2_es, Sep Anomaly, NPL
-9.5689, 2040-2059, hadgem2_es, Oct Anomaly, NPL
-1.4795, 2040-2059, hadgem2_es, Nov Anomaly, NPL
-0.3477, 2040-2059, hadgem2_es, Dec Anomaly, NPL
-0.2569, 2040-2059, miroc5, Jan Anomaly, NPL
0.40566, 2040-2059, miroc5, Feb Anomaly, NPL
0.76876, 2040-2059, miroc5, Mar Anomaly, NPL
0.48132, 2040-2059, miroc5, Apr Anomaly, NPL
-0.4511, 2040-2059, miroc5, May Anomaly, NPL
0.40661, 2040-2059, miroc5, Jun Anomaly, NPL
0.27819, 2040-2059, miroc5, Jul Anomaly, NPL
-2.9507, 2040-2059, miroc5, Aug Anomaly, NPL
-9.5723, 2040-2059, miroc5, Sep Anomaly, NPL
-10.469, 2040-2059, miroc5, Oct Anomaly, NPL
-0.1521, 2040-2059, miroc5, Nov Anomaly, NPL
-0.367, 2040-2059, miroc5, Dec Anomaly, NPL
0.95328, 2040-2059, miroc_esm, Jan Anomaly, NPL
0.51458, 2040-2059, miroc_esm, Feb Anomaly, NPL
-0.1167, 2040-2059, miroc_esm, Mar Anomaly, NPL
0.85551, 2040-2059, miroc_esm, Apr Anomaly, NPL
-0.4293, 2040-2059, miroc_esm, May Anomaly, NPL
0.85016, 2040-2059, miroc_esm, Jun Anomaly, NPL
5.96017, 2040-2059, miroc_esm, Jul Anomaly, NPL
3.70353, 2040-2059, miroc_esm, Aug Anomaly, NPL
1.58284, 2040-2059, miroc_esm, Sep Anomaly, NPL
0.48497, 2040-2059, miroc_esm, Oct Anomaly, NPL
0.18068, 2040-2059, miroc_esm, Nov Anomaly, NPL
1.44945, 2040-2059, miroc_esm, Dec Anomaly, NPL
0.03841, 2040-2059, mri_cgcm3, Jan Anomaly, NPL
-0.2977, 2040-2059, mri_cgcm3, Feb Anomaly, NPL
0.05796, 2040-2059, mri_cgcm3, Mar Anomaly, NPL
0.79771, 2040-2059, mri_cgcm3, Apr Anomaly, NPL
0.2444, 2040-2059, mri_cgcm3, May Anomaly, NPL
-0.7427, 2040-2059, mri_cgcm3, Jun Anomaly, NPL
-0.5295, 2040-2059, mri_cgcm3, Jul Anomaly, NPL
-1.8063, 2040-2059, mri_cgcm3, Aug Anomaly, NPL
-0.4579, 2040-2059, mri_cgcm3, Sep Anomaly, NPL
0.22146, 2040-2059, mri_cgcm3, Oct Anomaly, NPL
-0.4253, 2040-2059, mri_cgcm3, Nov Anomaly, NPL
-1.1736, 2040-2059, mri_cgcm3, Dec Anomaly, NPL
0.148, 2040-2059, noresm1_m, Jan Anomaly, NPL
-0.3479, 2040-2059, noresm1_m, Feb Anomaly, NPL
-0.2174, 2040-2059, noresm1_m, Mar Anomaly, NPL
-1.3748, 2040-2059, noresm1_m, Apr Anomaly, NPL
0.05816, 2040-2059, noresm1_m, May Anomaly, NPL
3.80783, 2040-2059, noresm1_m, Jun Anomaly, NPL
3.96633, 2040-2059, noresm1_m, Jul Anomaly, NPL
3.66415, 2040-2059, noresm1_m, Aug Anomaly, NPL
7.24747, 2040-2059, noresm1_m, Sep Anomaly, NPL
0.79263, 2040-2059, noresm1_m, Oct Anomaly, NPL
0.09147, 2040-2059, noresm1_m, Nov Anomaly, NPL
-0.4607, 2040-2059, noresm1_m, Dec Anomaly, NPL
-0.9015, 2040-2059, Ensemble (10th Percentile), Jan Anomaly, NPL
-1.4429, 2040-2059, Ensemble (10th Percentile), Feb Anomaly, NPL
-1.5581, 2040-2059, Ensemble (10th Percentile), Mar Anomaly, NPL
-1.7589, 2040-2059, Ensemble (10th Percentile), Apr Anomaly, NPL
-3.416, 2040-2059, Ensemble (10th Percentile), May Anomaly, NPL
-10.448, 2040-2059, Ensemble (10th Percentile), Jun Anomaly, NPL
-22.933, 2040-2059, Ensemble (10th Percentile), Jul Anomaly, NPL
-37.89, 2040-2059, Ensemble (10th Percentile), Aug Anomaly, NPL
-50.054, 2040-2059, Ensemble (10th Percentile), Sep Anomaly, NPL
-13.535, 2040-2059, Ensemble (10th Percentile), Oct Anomaly, NPL
-1.7021, 2040-2059, Ensemble (10th Percentile), Nov Anomaly, NPL
-1.5222, 2040-2059, Ensemble (10th Percentile), Dec Anomaly, NPL
0.05898, 2040-2059, Ensemble (50th Percentile), Jan Anomaly, NPL
0.02507, 2040-2059, Ensemble (50th Percentile), Feb Anomaly, NPL
-0.3596, 2040-2059, Ensemble (50th Percentile), Mar Anomaly, NPL
-0.438, 2040-2059, Ensemble (50th Percentile), Apr Anomaly, NPL
-0.4602, 2040-2059, Ensemble (50th Percentile), May Anomaly, NPL
0.5745, 2040-2059, Ensemble (50th Percentile), Jun Anomaly, NPL
0.19817, 2040-2059, Ensemble (50th Percentile), Jul Anomaly, NPL
-0.1852, 2040-2059, Ensemble (50th Percentile), Aug Anomaly, NPL
2.40686, 2040-2059, Ensemble (50th Percentile), Sep Anomaly, NPL
3.35813, 2040-2059, Ensemble (50th Percentile), Oct Anomaly, NPL
-0.0592, 2040-2059, Ensemble (50th Percentile), Nov Anomaly, NPL
-0.2301, 2040-2059, Ensemble (50th Percentile), Dec Anomaly, NPL
1.87682, 2040-2059, Ensemble (90th Percentile), Jan Anomaly, NPL
2.98792, 2040-2059, Ensemble (90th Percentile), Feb Anomaly, NPL
5.83183, 2040-2059, Ensemble (90th Percentile), Mar Anomaly, NPL
12.4879, 2040-2059, Ensemble (90th Percentile), Apr Anomaly, NPL
21.3769, 2040-2059, Ensemble (90th Percentile), May Anomaly, NPL
21.4544, 2040-2059, Ensemble (90th Percentile), Jun Anomaly, NPL
24.3877, 2040-2059, Ensemble (90th Percentile), Jul Anomaly, NPL
28.8847, 2040-2059, Ensemble (90th Percentile), Aug Anomaly, NPL
38.5305, 2040-2059, Ensemble (90th Percentile), Sep Anomaly, NPL
39.8637, 2040-2059, Ensemble (90th Percentile), Oct Anomaly, NPL
4.37619, 2040-2059, Ensemble (90th Percentile), Nov Anomaly, NPL
2.88921, 2040-2059, Ensemble (90th Percentile), Dec Anomaly, NPL
-5.6874, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
4.86416, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
-4.6296, 2040-2059, ccsm4, Annual Anomaly, NPL
-4.5163, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-0.623, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
1.94895, 2040-2059, gfdl_cm3, Annual Anomaly, NPL
-10.864, 2040-2059, gfdl_esm2g, Annual Anomaly, NPL
-8.2102, 2040-2059, gfdl_esm2m, Annual Anomaly, NPL
5.44227, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
-11.456, 2040-2059, hadgem2_es, Annual Anomaly, NPL
-6.885, 2040-2059, miroc5, Annual Anomaly, NPL
4.3744, 2040-2059, miroc_esm, Annual Anomaly, NPL
-1.009, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
4.88298, 2040-2059, noresm1_m, Annual Anomaly, NPL
-49.16, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
1.61137, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
31.5462, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
