Maximum Length of Consecutive Wet Spell - (Days), Year, Model, Statistics, ISO3
-0.9789, 2080-2099, access1_0, Jan Anomaly, NPL
-0.2146, 2080-2099, access1_0, Feb Anomaly, NPL
-0.8906, 2080-2099, access1_0, Mar Anomaly, NPL
-2.9467, 2080-2099, access1_0, Apr Anomaly, NPL
0.68391, 2080-2099, access1_0, May Anomaly, NPL
7.02977, 2080-2099, access1_0, Jun Anomaly, NPL
5.24819, 2080-2099, access1_0, Jul Anomaly, NPL
3.25497, 2080-2099, access1_0, Aug Anomaly, NPL
4.0988, 2080-2099, access1_0, Sep Anomaly, NPL
-6.7079, 2080-2099, access1_0, Oct Anomaly, NPL
-0.7428, 2080-2099, access1_0, Nov Anomaly, NPL
-1.7703, 2080-2099, access1_0, Dec Anomaly, NPL
-0.1257, 2080-2099, access1_3, Jan Anomaly, NPL
-0.2293, 2080-2099, access1_3, Feb Anomaly, NPL
-0.0851, 2080-2099, access1_3, Mar Anomaly, NPL
-5.3164, 2080-2099, access1_3, Apr Anomaly, NPL
-4.7183, 2080-2099, access1_3, May Anomaly, NPL
0.36302, 2080-2099, access1_3, Jun Anomaly, NPL
1.52313, 2080-2099, access1_3, Jul Anomaly, NPL
1.91552, 2080-2099, access1_3, Aug Anomaly, NPL
5.63982, 2080-2099, access1_3, Sep Anomaly, NPL
11.0674, 2080-2099, access1_3, Oct Anomaly, NPL
1.25343, 2080-2099, access1_3, Nov Anomaly, NPL
-0.0109, 2080-2099, access1_3, Dec Anomaly, NPL
-0.0292, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-1.1198, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-0.0232, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-0.4472, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
0.82408, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
0.47129, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
-2.3254, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
-5.8216, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
-0.363, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
2.1949, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-0.4555, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
-0.5767, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
-0.2807, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
-0.1844, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
0.13863, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
-0.0194, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
-0.2352, 2080-2099, bcc_csm1_1, May Anomaly, NPL
-0.4301, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
0.38873, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
5.32508, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
3.80568, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
0.13321, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
0.8357, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
0.5281, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
-0.4393, 2080-2099, bnu_esm, Jan Anomaly, NPL
-0.1863, 2080-2099, bnu_esm, Feb Anomaly, NPL
0.06597, 2080-2099, bnu_esm, Mar Anomaly, NPL
1.01298, 2080-2099, bnu_esm, Apr Anomaly, NPL
1.09645, 2080-2099, bnu_esm, May Anomaly, NPL
1.5396, 2080-2099, bnu_esm, Jun Anomaly, NPL
-0.0691, 2080-2099, bnu_esm, Jul Anomaly, NPL
-1.1557, 2080-2099, bnu_esm, Aug Anomaly, NPL
4.57143, 2080-2099, bnu_esm, Sep Anomaly, NPL
12.1365, 2080-2099, bnu_esm, Oct Anomaly, NPL
-0.2892, 2080-2099, bnu_esm, Nov Anomaly, NPL
1.09913, 2080-2099, bnu_esm, Dec Anomaly, NPL
-0.2212, 2080-2099, canesm2, Jan Anomaly, NPL
0.19132, 2080-2099, canesm2, Feb Anomaly, NPL
0.63588, 2080-2099, canesm2, Mar Anomaly, NPL
0.02624, 2080-2099, canesm2, Apr Anomaly, NPL
-0.374, 2080-2099, canesm2, May Anomaly, NPL
0.07045, 2080-2099, canesm2, Jun Anomaly, NPL
0.68984, 2080-2099, canesm2, Jul Anomaly, NPL
-1.0894, 2080-2099, canesm2, Aug Anomaly, NPL
-1.8066, 2080-2099, canesm2, Sep Anomaly, NPL
6.69927, 2080-2099, canesm2, Oct Anomaly, NPL
0.52373, 2080-2099, canesm2, Nov Anomaly, NPL
-0.0137, 2080-2099, canesm2, Dec Anomaly, NPL
0.59832, 2080-2099, ccsm4, Jan Anomaly, NPL
-0.7974, 2080-2099, ccsm4, Feb Anomaly, NPL
-0.4534, 2080-2099, ccsm4, Mar Anomaly, NPL
-0.163, 2080-2099, ccsm4, Apr Anomaly, NPL
-0.5569, 2080-2099, ccsm4, May Anomaly, NPL
-1.142, 2080-2099, ccsm4, Jun Anomaly, NPL
-1.2626, 2080-2099, ccsm4, Jul Anomaly, NPL
-2.2764, 2080-2099, ccsm4, Aug Anomaly, NPL
-6.9118, 2080-2099, ccsm4, Sep Anomaly, NPL
-15.323, 2080-2099, ccsm4, Oct Anomaly, NPL
-0.7926, 2080-2099, ccsm4, Nov Anomaly, NPL
-2.08, 2080-2099, ccsm4, Dec Anomaly, NPL
-0.2973, 2080-2099, cesm1_bgc, Jan Anomaly, NPL
-0.0403, 2080-2099, cesm1_bgc, Feb Anomaly, NPL
0.17806, 2080-2099, cesm1_bgc, Mar Anomaly, NPL
-0.1042, 2080-2099, cesm1_bgc, Apr Anomaly, NPL
-0.6735, 2080-2099, cesm1_bgc, May Anomaly, NPL
-2.0572, 2080-2099, cesm1_bgc, Jun Anomaly, NPL
-5.0797, 2080-2099, cesm1_bgc, Jul Anomaly, NPL
-10.075, 2080-2099, cesm1_bgc, Aug Anomaly, NPL
-14.701, 2080-2099, cesm1_bgc, Sep Anomaly, NPL
1.7235, 2080-2099, cesm1_bgc, Oct Anomaly, NPL
-0.3103, 2080-2099, cesm1_bgc, Nov Anomaly, NPL
0.06317, 2080-2099, cesm1_bgc, Dec Anomaly, NPL
-0.9186, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
0.08873, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
0.11729, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
-0.4234, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
-2.3529, 2080-2099, cesm1_cam5, May Anomaly, NPL
-3.1869, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
-1.41, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
-3.2626, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
-9.1883, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
-8.2807, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
-0.9994, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
0.27271, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
-0.8664, 2080-2099, cnrm_cm5, Jan Anomaly, NPL
-0.0017, 2080-2099, cnrm_cm5, Feb Anomaly, NPL
-0.0057, 2080-2099, cnrm_cm5, Mar Anomaly, NPL
0.21609, 2080-2099, cnrm_cm5, Apr Anomaly, NPL
2.86917, 2080-2099, cnrm_cm5, May Anomaly, NPL
3.20887, 2080-2099, cnrm_cm5, Jun Anomaly, NPL
6.32666, 2080-2099, cnrm_cm5, Jul Anomaly, NPL
8.04296, 2080-2099, cnrm_cm5, Aug Anomaly, NPL
9.77127, 2080-2099, cnrm_cm5, Sep Anomaly, NPL
5.58422, 2080-2099, cnrm_cm5, Oct Anomaly, NPL
0.22519, 2080-2099, cnrm_cm5, Nov Anomaly, NPL
-0.0844, 2080-2099, cnrm_cm5, Dec Anomaly, NPL
-0.5373, 2080-2099, csiro_mk3_6_0, Jan Anomaly, NPL
-0.1534, 2080-2099, csiro_mk3_6_0, Feb Anomaly, NPL
-0.03, 2080-2099, csiro_mk3_6_0, Mar Anomaly, NPL
-0.01, 2080-2099, csiro_mk3_6_0, Apr Anomaly, NPL
0.83379, 2080-2099, csiro_mk3_6_0, May Anomaly, NPL
-1.7537, 2080-2099, csiro_mk3_6_0, Jun Anomaly, NPL
-2.0303, 2080-2099, csiro_mk3_6_0, Jul Anomaly, NPL
-1.572, 2080-2099, csiro_mk3_6_0, Aug Anomaly, NPL
5.79645, 2080-2099, csiro_mk3_6_0, Sep Anomaly, NPL
4.59751, 2080-2099, csiro_mk3_6_0, Oct Anomaly, NPL
0.4219, 2080-2099, csiro_mk3_6_0, Nov Anomaly, NPL
0.12755, 2080-2099, csiro_mk3_6_0, Dec Anomaly, NPL
0.32619, 2080-2099, gfdl_cm3, Jan Anomaly, NPL
-0.3519, 2080-2099, gfdl_cm3, Feb Anomaly, NPL
0.32798, 2080-2099, gfdl_cm3, Mar Anomaly, NPL
-0.1026, 2080-2099, gfdl_cm3, Apr Anomaly, NPL
-0.1926, 2080-2099, gfdl_cm3, May Anomaly, NPL
4.26818, 2080-2099, gfdl_cm3, Jun Anomaly, NPL
8.66718, 2080-2099, gfdl_cm3, Jul Anomaly, NPL
10.675, 2080-2099, gfdl_cm3, Aug Anomaly, NPL
20.1176, 2080-2099, gfdl_cm3, Sep Anomaly, NPL
32.8111, 2080-2099, gfdl_cm3, Oct Anomaly, NPL
0.4546, 2080-2099, gfdl_cm3, Nov Anomaly, NPL
-1.1189, 2080-2099, gfdl_cm3, Dec Anomaly, NPL
0.35355, 2080-2099, gfdl_esm2g, Jan Anomaly, NPL
-0.0255, 2080-2099, gfdl_esm2g, Feb Anomaly, NPL
0.03286, 2080-2099, gfdl_esm2g, Mar Anomaly, NPL
-0.4058, 2080-2099, gfdl_esm2g, Apr Anomaly, NPL
-0.344, 2080-2099, gfdl_esm2g, May Anomaly, NPL
-0.2724, 2080-2099, gfdl_esm2g, Jun Anomaly, NPL
-2.4128, 2080-2099, gfdl_esm2g, Jul Anomaly, NPL
-2.1354, 2080-2099, gfdl_esm2g, Aug Anomaly, NPL
-6.4633, 2080-2099, gfdl_esm2g, Sep Anomaly, NPL
-18.01, 2080-2099, gfdl_esm2g, Oct Anomaly, NPL
1.57089, 2080-2099, gfdl_esm2g, Nov Anomaly, NPL
0.11948, 2080-2099, gfdl_esm2g, Dec Anomaly, NPL
0.48486, 2080-2099, gfdl_esm2m, Jan Anomaly, NPL
0.16485, 2080-2099, gfdl_esm2m, Feb Anomaly, NPL
-0.1267, 2080-2099, gfdl_esm2m, Mar Anomaly, NPL
-0.6311, 2080-2099, gfdl_esm2m, Apr Anomaly, NPL
-0.7386, 2080-2099, gfdl_esm2m, May Anomaly, NPL
-0.4071, 2080-2099, gfdl_esm2m, Jun Anomaly, NPL
-1.6908, 2080-2099, gfdl_esm2m, Jul Anomaly, NPL
-5.9071, 2080-2099, gfdl_esm2m, Aug Anomaly, NPL
-4.5995, 2080-2099, gfdl_esm2m, Sep Anomaly, NPL
7.12556, 2080-2099, gfdl_esm2m, Oct Anomaly, NPL
0.42411, 2080-2099, gfdl_esm2m, Nov Anomaly, NPL
0.79015, 2080-2099, gfdl_esm2m, Dec Anomaly, NPL
-0.4764, 2080-2099, hadgem2_ao, Jan Anomaly, NPL
-1.147, 2080-2099, hadgem2_ao, Feb Anomaly, NPL
-1.4714, 2080-2099, hadgem2_ao, Mar Anomaly, NPL
-5.4118, 2080-2099, hadgem2_ao, Apr Anomaly, NPL
-3.7642, 2080-2099, hadgem2_ao, May Anomaly, NPL
-0.0193, 2080-2099, hadgem2_ao, Jun Anomaly, NPL
1.65618, 2080-2099, hadgem2_ao, Jul Anomaly, NPL
4.19889, 2080-2099, hadgem2_ao, Aug Anomaly, NPL
13.2725, 2080-2099, hadgem2_ao, Sep Anomaly, NPL
11.1356, 2080-2099, hadgem2_ao, Oct Anomaly, NPL
-0.6329, 2080-2099, hadgem2_ao, Nov Anomaly, NPL
-0.5797, 2080-2099, hadgem2_ao, Dec Anomaly, NPL
-1.2062, 2080-2099, hadgem2_cc, Jan Anomaly, NPL
-0.895, 2080-2099, hadgem2_cc, Feb Anomaly, NPL
-0.6001, 2080-2099, hadgem2_cc, Mar Anomaly, NPL
-2.3509, 2080-2099, hadgem2_cc, Apr Anomaly, NPL
-7.1453, 2080-2099, hadgem2_cc, May Anomaly, NPL
-12.323, 2080-2099, hadgem2_cc, Jun Anomaly, NPL
-10.213, 2080-2099, hadgem2_cc, Jul Anomaly, NPL
-10.671, 2080-2099, hadgem2_cc, Aug Anomaly, NPL
-0.6902, 2080-2099, hadgem2_cc, Sep Anomaly, NPL
4.45181, 2080-2099, hadgem2_cc, Oct Anomaly, NPL
-1.7685, 2080-2099, hadgem2_cc, Nov Anomaly, NPL
-1.4041, 2080-2099, hadgem2_cc, Dec Anomaly, NPL
-0.7382, 2080-2099, inmcm4, Jan Anomaly, NPL
-0.2537, 2080-2099, inmcm4, Feb Anomaly, NPL
0.75718, 2080-2099, inmcm4, Mar Anomaly, NPL
0.59583, 2080-2099, inmcm4, Apr Anomaly, NPL
1.22451, 2080-2099, inmcm4, May Anomaly, NPL
1.93873, 2080-2099, inmcm4, Jun Anomaly, NPL
2.10779, 2080-2099, inmcm4, Jul Anomaly, NPL
3.52747, 2080-2099, inmcm4, Aug Anomaly, NPL
5.28693, 2080-2099, inmcm4, Sep Anomaly, NPL
-6.09, 2080-2099, inmcm4, Oct Anomaly, NPL
0.3556, 2080-2099, inmcm4, Nov Anomaly, NPL
0.68023, 2080-2099, inmcm4, Dec Anomaly, NPL
-0.0524, 2080-2099, miroc5, Jan Anomaly, NPL
0.28699, 2080-2099, miroc5, Feb Anomaly, NPL
