Maximum Length of Consecutive Wet Spell - (Days), Year, Model, Statistics, ISO3
0.03967, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-0.097, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-0.2827, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-0.3863, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
0.03338, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
-0.791, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
-2.1375, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
-4.741, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
2.5651, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
-0.2563, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-0.104, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
-0.7085, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
-0.1016, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
-0.4236, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
0.00173, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
-0.016, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
0.37831, 2080-2099, bcc_csm1_1, May Anomaly, NPL
0.31617, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
-1.2219, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
4.15369, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
1.17359, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
0.05938, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
-0.2951, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
-0.0062, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
0.02578, 2080-2099, bnu_esm, Jan Anomaly, NPL
-0.4704, 2080-2099, bnu_esm, Feb Anomaly, NPL
0.16947, 2080-2099, bnu_esm, Mar Anomaly, NPL
0.85664, 2080-2099, bnu_esm, Apr Anomaly, NPL
1.60591, 2080-2099, bnu_esm, May Anomaly, NPL
-0.9852, 2080-2099, bnu_esm, Jun Anomaly, NPL
-3.1698, 2080-2099, bnu_esm, Jul Anomaly, NPL
-10.056, 2080-2099, bnu_esm, Aug Anomaly, NPL
-6.431, 2080-2099, bnu_esm, Sep Anomaly, NPL
6.86376, 2080-2099, bnu_esm, Oct Anomaly, NPL
0.41288, 2080-2099, bnu_esm, Nov Anomaly, NPL
0.00774, 2080-2099, bnu_esm, Dec Anomaly, NPL
0.19468, 2080-2099, canesm2, Jan Anomaly, NPL
0.26266, 2080-2099, canesm2, Feb Anomaly, NPL
1.09456, 2080-2099, canesm2, Mar Anomaly, NPL
0.51291, 2080-2099, canesm2, Apr Anomaly, NPL
-0.9526, 2080-2099, canesm2, May Anomaly, NPL
-2.6159, 2080-2099, canesm2, Jun Anomaly, NPL
-0.8825, 2080-2099, canesm2, Jul Anomaly, NPL
-3.1646, 2080-2099, canesm2, Aug Anomaly, NPL
-5.751, 2080-2099, canesm2, Sep Anomaly, NPL
4.21395, 2080-2099, canesm2, Oct Anomaly, NPL
-0.0893, 2080-2099, canesm2, Nov Anomaly, NPL
0.19765, 2080-2099, canesm2, Dec Anomaly, NPL
0.59468, 2080-2099, ccsm4, Jan Anomaly, NPL
-0.7549, 2080-2099, ccsm4, Feb Anomaly, NPL
-0.9726, 2080-2099, ccsm4, Mar Anomaly, NPL
0.59502, 2080-2099, ccsm4, Apr Anomaly, NPL
-1.4413, 2080-2099, ccsm4, May Anomaly, NPL
-1.5316, 2080-2099, ccsm4, Jun Anomaly, NPL
-3.6957, 2080-2099, ccsm4, Jul Anomaly, NPL
-4.3446, 2080-2099, ccsm4, Aug Anomaly, NPL
-3.5046, 2080-2099, ccsm4, Sep Anomaly, NPL
