City,Altitude (masl),Date,Time,PM10(µg/m3),TSP(µg/m3),NO2(µg/m3),Co(µg/m3),pb(µg/m3)
Pokhara,827,11/26/2000,10:00-18:00,90.2,118.5,9.1,NA,0.11
Birganj,91,11/30/2000,10:00-18:00,482.9,567.8,23,378,0.27
Biratnagar,125,12/4/2000,08:00-16:00,961.4,1024.3,24.5,1145.48,0.24
Janakpur,90,11/7/2000,11:00-19:00,1820.9,2019.5,20.7,859.11,0.53
Narayanghat,256,12/10/2000,08:00-16:00,196.3,260.3,14.8,NA,0.04
Butawal,205,12/19/2000,07:00-15:00,1076.6,1150.2,21.38,229.09,0.09
Bhairahawa,110,12/22/2000,07:00-15:00,864.8,926.41,23.28,1145.48,0.13
Nepalganj,144,12/26/2000,07:00-15:00,2104.8,2222.5,17.78,1445.48,0.23
Mahendranagar,176,12/29/2000,08:00-16:00,355.05,378.54,17.14,NA,0.04
