Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.09097, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
0.07723, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
-0.0145, 2060-2079, bnu_esm, Annual Anomaly, NPL
0.0823, 2060-2079, canesm2, Annual Anomaly, NPL
0.07221, 2060-2079, ccsm4, Annual Anomaly, NPL
-0.0215, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
0.18658, 2060-2079, cnrm_cm5, Annual Anomaly, NPL
0.28025, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
0.07064, 2060-2079, gfdl_cm3, Annual Anomaly, NPL
0.14098, 2060-2079, gfdl_esm2g, Annual Anomaly, NPL
0.13998, 2060-2079, gfdl_esm2m, Annual Anomaly, NPL
0.06116, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
0.11557, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.0052, 2060-2079, miroc5, Annual Anomaly, NPL
0.13849, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
-0.0637, 2060-2079, miroc_esm, Annual Anomaly, NPL
0.15947, 2060-2079, mpi_esm_mr, Annual Anomaly, NPL
0.10927, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
0.03169, 2060-2079, noresm1_m, Annual Anomaly, NPL
-0.0268, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
0.07698, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
0.30454, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
