Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.0482, 2080-2099, access1_3, Annual Anomaly, NPL
0.10707, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
0.11424, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
-0.0299, 2080-2099, bnu_esm, Annual Anomaly, NPL
-0.0523, 2080-2099, canesm2, Annual Anomaly, NPL
-0.0117, 2080-2099, ccsm4, Annual Anomaly, NPL
0.06577, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
0.02756, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
0.08377, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
0.29231, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
0.09365, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
0.17874, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
0.05876, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
-0.0238, 2080-2099, inmcm4, Annual Anomaly, NPL
0.04048, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
0.06713, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.0061, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
-0.0329, 2080-2099, miroc5, Annual Anomaly, NPL
0.146, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
-0.04, 2080-2099, miroc_esm, Annual Anomaly, NPL
0.16956, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
0.30164, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
0.04664, 2080-2099, noresm1_m, Annual Anomaly, NPL
-0.0268, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
0.05014, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
0.27604, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
