Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.13353, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
0.009, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
-0.0035, 2060-2079, ccsm4, Annual Anomaly, NPL
-0.0452, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
0.15396, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
0.12453, 2060-2079, gfdl_cm3, Annual Anomaly, NPL
0.05024, 2060-2079, gfdl_esm2g, Annual Anomaly, NPL
0.21571, 2060-2079, gfdl_esm2m, Annual Anomaly, NPL
0.18464, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
0.07109, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.0247, 2060-2079, miroc5, Annual Anomaly, NPL
0.10412, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
0.06455, 2060-2079, miroc_esm, Annual Anomaly, NPL
0.07945, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
0.05971, 2060-2079, noresm1_m, Annual Anomaly, NPL
-0.0268, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
0.07104, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
0.28759, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
