Expected Daily Rainfall Maximum in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
39.5379, 2080-2099, access1_0, Annual Anomaly, NPL
62.4265, 2080-2099, access1_3, Annual Anomaly, NPL
41.2441, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
43.7629, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
30.8885, 2080-2099, bnu_esm, Annual Anomaly, NPL
89.504, 2080-2099, canesm2, Annual Anomaly, NPL
95.5691, 2080-2099, ccsm4, Annual Anomaly, NPL
79.7469, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
182.129, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
5.44453, 2080-2099, cmcc_cesm, Annual Anomaly, NPL
176.417, 2080-2099, cmcc_cm, Annual Anomaly, NPL
16.9946, 2080-2099, cmcc_cms, Annual Anomaly, NPL
28.0488, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
10.0646, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
56.6464, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
42.8099, 2080-2099, hadgem2_cc, Annual Anomaly, NPL
34.6368, 2080-2099, hadgem2_es, Annual Anomaly, NPL
4.25648, 2080-2099, inmcm4, Annual Anomaly, NPL
21.9542, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
82.4628, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
14.7068, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
64.3626, 2080-2099, miroc5, Annual Anomaly, NPL
29.9879, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
20.1938, 2080-2099, miroc_esm, Annual Anomaly, NPL
19.8933, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
24.2401, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
48.9707, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
63.9567, 2080-2099, mri_esm1, Annual Anomaly, NPL
57.0966, 2080-2099, noresm1_m, Annual Anomaly, NPL
-39.45, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
45.106, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
244.36, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
