Expected Daily Rainfall Maximum in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
11.2092, 2020-2039, access1_0, Annual Anomaly, NPL
9.73532, 2020-2039, access1_3, Annual Anomaly, NPL
-7.7076, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
16.2766, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
10.3686, 2020-2039, bnu_esm, Annual Anomaly, NPL
17.0955, 2020-2039, canesm2, Annual Anomaly, NPL
38.4874, 2020-2039, ccsm4, Annual Anomaly, NPL
9.71529, 2020-2039, cesm1_bgc, Annual Anomaly, NPL
15.6807, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
-18.406, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
-2.8363, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
6.18475, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
7.25842, 2020-2039, hadgem2_cc, Annual Anomaly, NPL
4.28759, 2020-2039, inmcm4, Annual Anomaly, NPL
-2.5403, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
15.487, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
-10.345, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, NPL
16.851, 2020-2039, miroc5, Annual Anomaly, NPL
11.5956, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
4.23643, 2020-2039, miroc_esm, Annual Anomaly, NPL
17.9749, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
5.77632, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
16.4992, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
29.3975, 2020-2039, noresm1_m, Annual Anomaly, NPL
-52.025, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
1.05448, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
164.153, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
