Expected Daily Rainfall Maximum in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
9.79318, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
18.6136, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
9.9565, 2080-2099, bnu_esm, Annual Anomaly, NPL
35.3994, 2080-2099, canesm2, Annual Anomaly, NPL
27.6288, 2080-2099, ccsm4, Annual Anomaly, NPL
81.0664, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
-21.238, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
4.50291, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
22.4512, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
10.9703, 2080-2099, hadgem2_es, Annual Anomaly, NPL
1.17077, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
19.7481, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
8.64516, 2080-2099, miroc5, Annual Anomaly, NPL
20.5446, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
7.32544, 2080-2099, miroc_esm, Annual Anomaly, NPL
-4.0724, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
-0.974, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
21.2063, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
18.9197, 2080-2099, noresm1_m, Annual Anomaly, NPL
-43.188, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
17.8384, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
155.489, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
