Expected Daily Rainfall Maximum in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
28.2866, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
24.3947, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
62.9963, 2060-2079, ccsm4, Annual Anomaly, NPL
78.7306, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
1.80042, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
20.2353, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
11.1926, 2060-2079, hadgem2_es, Annual Anomaly, NPL
6.03913, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
26.6535, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
26.949, 2060-2079, miroc5, Annual Anomaly, NPL
27.5418, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
7.11464, 2060-2079, miroc_esm, Annual Anomaly, NPL
31.8323, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
21.1059, 2060-2079, noresm1_m, Annual Anomaly, NPL
-37.229, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
19.1863, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
222.471, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
