Expected Daily Rainfall Maximum in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
10.1975, 2020-2039, access1_0, Annual Anomaly, NPL
12.8844, 2020-2039, access1_3, Annual Anomaly, NPL
21.9297, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
17.6772, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
8.47658, 2020-2039, bnu_esm, Annual Anomaly, NPL
14.0037, 2020-2039, canesm2, Annual Anomaly, NPL
21.9816, 2020-2039, ccsm4, Annual Anomaly, NPL
12.8705, 2020-2039, cesm1_bgc, Annual Anomaly, NPL
32.3795, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
0.46761, 2020-2039, cmcc_cesm, Annual Anomaly, NPL
32.4412, 2020-2039, cmcc_cm, Annual Anomaly, NPL
-12.161, 2020-2039, cmcc_cms, Annual Anomaly, NPL
-14.678, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
5.02102, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
17.8213, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
10.7713, 2020-2039, hadgem2_cc, Annual Anomaly, NPL
4.79882, 2020-2039, hadgem2_es, Annual Anomaly, NPL
4.95005, 2020-2039, inmcm4, Annual Anomaly, NPL
8.34797, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
17.1942, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
1.16573, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, NPL
5.53321, 2020-2039, miroc5, Annual Anomaly, NPL
9.20177, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
6.8553, 2020-2039, miroc_esm, Annual Anomaly, NPL
11.5855, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
4.61546, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
27.2928, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
9.27197, 2020-2039, mri_esm1, Annual Anomaly, NPL
23.5545, 2020-2039, noresm1_m, Annual Anomaly, NPL
-45.421, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
10.9645, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
163.05, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
