TEMPERATURE(CELSIUS),YEAR,MONTH_STATISTICS,COUNTRY,ISO3
4.6,1961, Jan Average, Nepal, NPL
4.5,1961, Feb Average, Nepal, NPL
10.5,1961, Mar Average, Nepal, NPL
14.4,1961, Apr Average, Nepal, NPL
17.2,1961, May Average, Nepal, NPL
18.8,1961, Jun Average, Nepal, NPL
19.1,1961, Jul Average, Nepal, NPL
18.8,1961, Aug Average, Nepal, NPL
17.4,1961, Sep Average, Nepal, NPL
13.6,1961, Oct Average, Nepal, NPL
7.5,1961, Nov Average, Nepal, NPL
3,1961, Dec Average, Nepal, NPL
3.3,1962, Jan Average, Nepal, NPL
5.1,1962, Feb Average, Nepal, NPL
9.2,1962, Mar Average, Nepal, NPL
14.1,1962, Apr Average, Nepal, NPL
16.5,1962, May Average, Nepal, NPL
19.2,1962, Jun Average, Nepal, NPL
19.4,1962, Jul Average, Nepal, NPL
18.2,1962, Aug Average, Nepal, NPL
17.1,1962, Sep Average, Nepal, NPL
12.9,1962, Oct Average, Nepal, NPL
9,1962, Nov Average, Nepal, NPL
5.1,1962, Dec Average, Nepal, NPL
3.1,1963, Jan Average, Nepal, NPL
6.1,1963, Feb Average, Nepal, NPL
8.9,1963, Mar Average, Nepal, NPL
13.1,1963, Apr Average, Nepal, NPL
15.9,1963, May Average, Nepal, NPL
18.4,1963, Jun Average, Nepal, NPL
19.2,1963, Jul Average, Nepal, NPL
18.5,1963, Aug Average, Nepal, NPL
16.9,1963, Sep Average, Nepal, NPL
13.8,1963, Oct Average, Nepal, NPL
9.2,1963, Nov Average, Nepal, NPL
5.5,1963, Dec Average, Nepal, NPL
4,1964, Jan Average, Nepal, NPL
5.6,1964, Feb Average, Nepal, NPL
10.9,1964, Mar Average, Nepal, NPL
14.9,1964, Apr Average, Nepal, NPL
15.5,1964, May Average, Nepal, NPL
19.1,1964, Jun Average, Nepal, NPL
18.2,1964, Jul Average, Nepal, NPL
18.7,1964, Aug Average, Nepal, NPL
17.3,1964, Sep Average, Nepal, NPL
14.6,1964, Oct Average, Nepal, NPL
8.9,1964, Nov Average, Nepal, NPL
5.4,1964, Dec Average, Nepal, NPL
4.7,1965, Jan Average, Nepal, NPL
4.8,1965, Feb Average, Nepal, NPL
8.4,1965, Mar Average, Nepal, NPL
13.3,1965, Apr Average, Nepal, NPL
16.8,1965, May Average, Nepal, NPL
19.7,1965, Jun Average, Nepal, NPL
18.7,1965, Jul Average, Nepal, NPL
18.2,1965, Aug Average, Nepal, NPL
16.8,1965, Sep Average, Nepal, NPL
13,1965, Oct Average, Nepal, NPL
8.8,1965, Nov Average, Nepal, NPL
4.8,1965, Dec Average, Nepal, NPL
3.8,1966, Jan Average, Nepal, NPL
7.1,1966, Feb Average, Nepal, NPL
10.2,1966, Mar Average, Nepal, NPL
14.3,1966, Apr Average, Nepal, NPL
17.5,1966, May Average, Nepal, NPL
18.8,1966, Jun Average, Nepal, NPL
19.3,1966, Jul Average, Nepal, NPL
18.5,1966, Aug Average, Nepal, NPL
16.7,1966, Sep Average, Nepal, NPL
12.7,1966, Oct Average, Nepal, NPL
9.5,1966, Nov Average, Nepal, NPL
5.2,1966, Dec Average, Nepal, NPL
3.9,1967, Jan Average, Nepal, NPL
6.7,1967, Feb Average, Nepal, NPL
