TEMPERATURE(CELSIUS),YEAR,MONTH_STATISTICS,COUNTRY,ISO3
2.8,1991, Jan Average, Nepal, NPL
6.6,1991, Feb Average, Nepal, NPL
10.6,1991, Mar Average, Nepal, NPL
13.8,1991, Apr Average, Nepal, NPL
17.2,1991, May Average, Nepal, NPL
17.9,1991, Jun Average, Nepal, NPL
19.5,1991, Jul Average, Nepal, NPL
18.2,1991, Aug Average, Nepal, NPL
17,1991, Sep Average, Nepal, NPL
13.6,1991, Oct Average, Nepal, NPL
8.9,1991, Nov Average, Nepal, NPL
5,1991, Dec Average, Nepal, NPL
4,1992, Jan Average, Nepal, NPL
4,1992, Feb Average, Nepal, NPL
11.5,1992, Mar Average, Nepal, NPL
14.4,1992, Apr Average, Nepal, NPL
15.6,1992, May Average, Nepal, NPL
18.4,1992, Jun Average, Nepal, NPL
18.4,1992, Jul Average, Nepal, NPL
18.1,1992, Aug Average, Nepal, NPL
17,1992, Sep Average, Nepal, NPL
13.5,1992, Oct Average, Nepal, NPL
8.7,1992, Nov Average, Nepal, NPL
5,1992, Dec Average, Nepal, NPL
5.2,1993, Jan Average, Nepal, NPL
7,1993, Feb Average, Nepal, NPL
8.3,1993, Mar Average, Nepal, NPL
13.1,1993, Apr Average, Nepal, NPL
16.8,1993, May Average, Nepal, NPL
18.9,1993, Jun Average, Nepal, NPL
19.2,1993, Jul Average, Nepal, NPL
18.7,1993, Aug Average, Nepal, NPL
16.6,1993, Sep Average, Nepal, NPL
14.2,1993, Oct Average, Nepal, NPL
9.7,1993, Nov Average, Nepal, NPL
6.2,1993, Dec Average, Nepal, NPL
5.1,1994, Jan Average, Nepal, NPL
5,1994, Feb Average, Nepal, NPL
11.3,1994, Mar Average, Nepal, NPL
13.4,1994, Apr Average, Nepal, NPL
17.3,1994, May Average, Nepal, NPL
19.1,1994, Jun Average, Nepal, NPL
18.8,1994, Jul Average, Nepal, NPL
18.6,1994, Aug Average, Nepal, NPL
17.9,1994, Sep Average, Nepal, NPL
13.5,1994, Oct Average, Nepal, NPL
8.5,1994, Nov Average, Nepal, NPL
5.9,1994, Dec Average, Nepal, NPL
2.7,1995, Jan Average, Nepal, NPL
5.9,1995, Feb Average, Nepal, NPL
10.2,1995, Mar Average, Nepal, NPL
13.9,1995, Apr Average, Nepal, NPL
18.6,1995, May Average, Nepal, NPL
20.1,1995, Jun Average, Nepal, NPL
19.2,1995, Jul Average, Nepal, NPL
18.2,1995, Aug Average, Nepal, NPL
17.5,1995, Sep Average, Nepal, NPL
14.5,1995, Oct Average, Nepal, NPL
9,1995, Nov Average, Nepal, NPL
5.9,1995, Dec Average, Nepal, NPL
5,1996, Jan Average, Nepal, NPL
5.7,1996, Feb Average, Nepal, NPL
11.4,1996, Mar Average, Nepal, NPL
14.3,1996, Apr Average, Nepal, NPL
17.7,1996, May Average, Nepal, NPL
18.3,1996, Jun Average, Nepal, NPL
19.1,1996, Jul Average, Nepal, NPL
18.1,1996, Aug Average, Nepal, NPL
17.2,1996, Sep Average, Nepal, NPL
13.9,1996, Oct Average, Nepal, NPL
