Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
76.84305, 2020-2039, bcc_csm1_1, Jan Average, Nepal, NPL
39.054123, 2020-2039, bcc_csm1_1, Feb Average, Nepal, NPL
41.004803, 2020-2039, bcc_csm1_1, Mar Average, Nepal, NPL
10.433112, 2020-2039, bcc_csm1_1, Apr Average, Nepal, NPL
11.451065, 2020-2039, bcc_csm1_1, May Average, Nepal, NPL
58.09887, 2020-2039, bcc_csm1_1, Jun Average, Nepal, NPL
237.88176, 2020-2039, bcc_csm1_1, Jul Average, Nepal, NPL
192.24545, 2020-2039, bcc_csm1_1, Aug Average, Nepal, NPL
69.33884, 2020-2039, bcc_csm1_1, Sep Average, Nepal, NPL
44.4809, 2020-2039, bcc_csm1_1, Oct Average, Nepal, NPL
86.65599, 2020-2039, bcc_csm1_1, Nov Average, Nepal, NPL
75.26914, 2020-2039, bcc_csm1_1, Dec Average, Nepal, NPL
72.01765, 2020-2039, bcc_csm1_1_m, Jan Average, Nepal, NPL
48.8608, 2020-2039, bcc_csm1_1_m, Feb Average, Nepal, NPL
43.884907, 2020-2039, bcc_csm1_1_m, Mar Average, Nepal, NPL
17.785934, 2020-2039, bcc_csm1_1_m, Apr Average, Nepal, NPL
24.751362, 2020-2039, bcc_csm1_1_m, May Average, Nepal, NPL
110.57431, 2020-2039, bcc_csm1_1_m, Jun Average, Nepal, NPL
221.54704, 2020-2039, bcc_csm1_1_m, Jul Average, Nepal, NPL
242.67072, 2020-2039, bcc_csm1_1_m, Aug Average, Nepal, NPL
151.76714, 2020-2039, bcc_csm1_1_m, Sep Average, Nepal, NPL
77.66473, 2020-2039, bcc_csm1_1_m, Oct Average, Nepal, NPL
41.843838, 2020-2039, bcc_csm1_1_m, Nov Average, Nepal, NPL
56.456783, 2020-2039, bcc_csm1_1_m, Dec Average, Nepal, NPL
36.38739, 2020-2039, ccsm4, Jan Average, Nepal, NPL
29.57832, 2020-2039, ccsm4, Feb Average, Nepal, NPL
24.91657, 2020-2039, ccsm4, Mar Average, Nepal, NPL
19.80198, 2020-2039, ccsm4, Apr Average, Nepal, NPL
64.706345, 2020-2039, ccsm4, May Average, Nepal, NPL
400.27097, 2020-2039, ccsm4, Jun Average, Nepal, NPL
525.83484, 2020-2039, ccsm4, Jul Average, Nepal, NPL
463.37503, 2020-2039, ccsm4, Aug Average, Nepal, NPL
