Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
72.57065, 2080-2099, bcc_csm1_1, Jan Average, Nepal, NPL
41.23503, 2080-2099, bcc_csm1_1, Feb Average, Nepal, NPL
29.347559, 2080-2099, bcc_csm1_1, Mar Average, Nepal, NPL
23.854216, 2080-2099, bcc_csm1_1, Apr Average, Nepal, NPL
18.500055, 2080-2099, bcc_csm1_1, May Average, Nepal, NPL
42.94673, 2080-2099, bcc_csm1_1, Jun Average, Nepal, NPL
250.95842, 2080-2099, bcc_csm1_1, Jul Average, Nepal, NPL
281.8724, 2080-2099, bcc_csm1_1, Aug Average, Nepal, NPL
50.656013, 2080-2099, bcc_csm1_1, Sep Average, Nepal, NPL
57.45641, 2080-2099, bcc_csm1_1, Oct Average, Nepal, NPL
65.57719, 2080-2099, bcc_csm1_1, Nov Average, Nepal, NPL
96.73355, 2080-2099, bcc_csm1_1, Dec Average, Nepal, NPL
64.90263, 2080-2099, bcc_csm1_1_m, Jan Average, Nepal, NPL
46.21859, 2080-2099, bcc_csm1_1_m, Feb Average, Nepal, NPL
36.386845, 2080-2099, bcc_csm1_1_m, Mar Average, Nepal, NPL
18.936728, 2080-2099, bcc_csm1_1_m, Apr Average, Nepal, NPL
24.37862, 2080-2099, bcc_csm1_1_m, May Average, Nepal, NPL
66.30754, 2080-2099, bcc_csm1_1_m, Jun Average, Nepal, NPL
244.33601, 2080-2099, bcc_csm1_1_m, Jul Average, Nepal, NPL
227.79877, 2080-2099, bcc_csm1_1_m, Aug Average, Nepal, NPL
140.13593, 2080-2099, bcc_csm1_1_m, Sep Average, Nepal, NPL
63.26604, 2080-2099, bcc_csm1_1_m, Oct Average, Nepal, NPL
61.25058, 2080-2099, bcc_csm1_1_m, Nov Average, Nepal, NPL
55.235832, 2080-2099, bcc_csm1_1_m, Dec Average, Nepal, NPL
57.137466, 2080-2099, ccsm4, Jan Average, Nepal, NPL
25.570564, 2080-2099, ccsm4, Feb Average, Nepal, NPL
16.072664, 2080-2099, ccsm4, Mar Average, Nepal, NPL
23.483604, 2080-2099, ccsm4, Apr Average, Nepal, NPL
46.98618, 2080-2099, ccsm4, May Average, Nepal, NPL
341.66248, 2080-2099, ccsm4, Jun Average, Nepal, NPL
549.04285, 2080-2099, ccsm4, Jul Average, Nepal, NPL
529.9381, 2080-2099, ccsm4, Aug Average, Nepal, NPL
308.90076, 2080-2099, ccsm4, Sep Average, Nepal, NPL
127.83727, 2080-2099, ccsm4, Oct Average, Nepal, NPL
46.880283, 2080-2099, ccsm4, Nov Average, Nepal, NPL
56.439884, 2080-2099, ccsm4, Dec Average, Nepal, NPL
25.056934, 2080-2099, cesm1_cam5, Jan Average, Nepal, NPL
14.717062, 2080-2099, cesm1_cam5, Feb Average, Nepal, NPL
17.33965, 2080-2099, cesm1_cam5, Mar Average, Nepal, NPL
36.522476, 2080-2099, cesm1_cam5, Apr Average, Nepal, NPL
123.21238, 2080-2099, cesm1_cam5, May Average, Nepal, NPL
336.12244, 2080-2099, cesm1_cam5, Jun Average, Nepal, NPL
695.42694, 2080-2099, cesm1_cam5, Jul Average, Nepal, NPL
577.4764, 2080-2099, cesm1_cam5, Aug Average, Nepal, NPL
331.04846, 2080-2099, cesm1_cam5, Sep Average, Nepal, NPL
106.280815, 2080-2099, cesm1_cam5, Oct Average, Nepal, NPL
21.716545, 2080-2099, cesm1_cam5, Nov Average, Nepal, NPL
24.448996, 2080-2099, cesm1_cam5, Dec Average, Nepal, NPL
12.348176, 2080-2099, csiro_mk3_6_0, Jan Average, Nepal, NPL
16.399862, 2080-2099, csiro_mk3_6_0, Feb Average, Nepal, NPL
17.44366, 2080-2099, csiro_mk3_6_0, Mar Average, Nepal, NPL
9.839754, 2080-2099, csiro_mk3_6_0, Apr Average, Nepal, NPL
10.105032, 2080-2099, csiro_mk3_6_0, May Average, Nepal, NPL
18.48219, 2080-2099, csiro_mk3_6_0, Jun Average, Nepal, NPL
115.37165, 2080-2099, csiro_mk3_6_0, Jul Average, Nepal, NPL
155.01152, 2080-2099, csiro_mk3_6_0, Aug Average, Nepal, NPL
108.338936, 2080-2099, csiro_mk3_6_0, Sep Average, Nepal, NPL
47.625134, 2080-2099, csiro_mk3_6_0, Oct Average, Nepal, NPL
17.834438, 2080-2099, csiro_mk3_6_0, Nov Average, Nepal, NPL
10.933592, 2080-2099, csiro_mk3_6_0, Dec Average, Nepal, NPL
63.03369, 2080-2099, fio_esm, Jan Average, Nepal, NPL
56.530785, 2080-2099, fio_esm, Feb Average, Nepal, NPL
54.50682, 2080-2099, fio_esm, Mar Average, Nepal, NPL
27.336596, 2080-2099, fio_esm, Apr Average, Nepal, NPL
28.470324, 2080-2099, fio_esm, May Average, Nepal, NPL
51.897316, 2080-2099, fio_esm, Jun Average, Nepal, NPL
272.91257, 2080-2099, fio_esm, Jul Average, Nepal, NPL
298.28983, 2080-2099, fio_esm, Aug Average, Nepal, NPL
159.39479, 2080-2099, fio_esm, Sep Average, Nepal, NPL
43.826668, 2080-2099, fio_esm, Oct Average, Nepal, NPL
52.054787, 2080-2099, fio_esm, Nov Average, Nepal, NPL
44.00366, 2080-2099, fio_esm, Dec Average, Nepal, NPL
25.380812, 2080-2099, gfdl_cm3, Jan Average, Nepal, NPL
20.116068, 2080-2099, gfdl_cm3, Feb Average, Nepal, NPL
16.88103, 2080-2099, gfdl_cm3, Mar Average, Nepal, NPL
21.715096, 2080-2099, gfdl_cm3, Apr Average, Nepal, NPL
59.515434, 2080-2099, gfdl_cm3, May Average, Nepal, NPL
139.4342, 2080-2099, gfdl_cm3, Jun Average, Nepal, NPL
