Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
-19.09479, 2040-2059, bcc_csm1_1, Jan Anomaly, Nepal, NPL
4.714327, 2040-2059, bcc_csm1_1, Feb Anomaly, Nepal, NPL
-8.124289, 2040-2059, bcc_csm1_1, Mar Anomaly, Nepal, NPL
-2.3069086, 2040-2059, bcc_csm1_1, Apr Anomaly, Nepal, NPL
10.813967, 2040-2059, bcc_csm1_1, May Anomaly, Nepal, NPL
18.472975, 2040-2059, bcc_csm1_1, Jun Anomaly, Nepal, NPL
45.877502, 2040-2059, bcc_csm1_1, Jul Anomaly, Nepal, NPL
39.172897, 2040-2059, bcc_csm1_1, Aug Anomaly, Nepal, NPL
37.544636, 2040-2059, bcc_csm1_1, Sep Anomaly, Nepal, NPL
-1.9153767, 2040-2059, bcc_csm1_1, Oct Anomaly, Nepal, NPL
18.26148, 2040-2059, bcc_csm1_1, Nov Anomaly, Nepal, NPL
14.083575, 2040-2059, bcc_csm1_1, Dec Anomaly, Nepal, NPL
-9.409501, 2040-2059, bcc_csm1_1_m, Jan Anomaly, Nepal, NPL
11.585623, 2040-2059, bcc_csm1_1_m, Feb Anomaly, Nepal, NPL
-11.810871, 2040-2059, bcc_csm1_1_m, Mar Anomaly, Nepal, NPL
-10.026261, 2040-2059, bcc_csm1_1_m, Apr Anomaly, Nepal, NPL
4.0016394, 2040-2059, bcc_csm1_1_m, May Anomaly, Nepal, NPL
16.415882, 2040-2059, bcc_csm1_1_m, Jun Anomaly, Nepal, NPL
-3.3169098, 2040-2059, bcc_csm1_1_m, Jul Anomaly, Nepal, NPL
5.742255, 2040-2059, bcc_csm1_1_m, Aug Anomaly, Nepal, NPL
20.408821, 2040-2059, bcc_csm1_1_m, Sep Anomaly, Nepal, NPL
12.86541, 2040-2059, bcc_csm1_1_m, Oct Anomaly, Nepal, NPL
-1.1021355, 2040-2059, bcc_csm1_1_m, Nov Anomaly, Nepal, NPL
-38.637123, 2040-2059, bcc_csm1_1_m, Dec Anomaly, Nepal, NPL
9.604493, 2040-2059, ccsm4, Jan Anomaly, Nepal, NPL
-7.7854066, 2040-2059, ccsm4, Feb Anomaly, Nepal, NPL
-11.622423, 2040-2059, ccsm4, Mar Anomaly, Nepal, NPL
14.893308, 2040-2059, ccsm4, Apr Anomaly, Nepal, NPL
11.017902, 2040-2059, ccsm4, May Anomaly, Nepal, NPL
-21.661047, 2040-2059, ccsm4, Jun Anomaly, Nepal, NPL
