Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-0.5887, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
0.13592, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
0.68057, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
