Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
0.24739, 2040-2059, access1_3, Annual Anomaly, NPL
-0.2221, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
0.52659, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
0.74883, 2040-2059, bnu_esm, Annual Anomaly, NPL
0.42738, 2040-2059, canesm2, Annual Anomaly, NPL
-0.0663, 2040-2059, ccsm4, Annual Anomaly, NPL
0.58638, 2040-2059, cesm1_bgc, Annual Anomaly, NPL
0.45725, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-0.137, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
-0.275, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
-0.1448, 2040-2059, gfdl_cm3, Annual Anomaly, NPL
-0.0812, 2040-2059, gfdl_esm2g, Annual Anomaly, NPL
-0.1877, 2040-2059, gfdl_esm2m, Annual Anomaly, NPL
-0.3264, 2040-2059, inmcm4, Annual Anomaly, NPL
0.03334, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
0.26405, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
0.23328, 2040-2059, ipsl_cm5b_lr, Annual Anomaly, NPL
0.25945, 2040-2059, miroc5, Annual Anomaly, NPL
-0.3332, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
-0.1314, 2040-2059, miroc_esm, Annual Anomaly, NPL
-0.3433, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
0.22108, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
0.46263, 2040-2059, noresm1_m, Annual Anomaly, NPL
-0.4697, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
0.1193, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
0.66371, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
