Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-0.7838, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
0.13929, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
0.81208, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
