Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
0.50288, 2080-2099, access1_3, Annual Anomaly, NPL
-0.3341, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
0.34992, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
0.83204, 2080-2099, bnu_esm, Annual Anomaly, NPL
0.53065, 2080-2099, canesm2, Annual Anomaly, NPL
0.16173, 2080-2099, ccsm4, Annual Anomaly, NPL
0.26443, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
0.2284, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
0.10043, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
-0.2186, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
0.75534, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
0.03395, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
0.24409, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
0.52885, 2080-2099, inmcm4, Annual Anomaly, NPL
-0.0443, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
0.40201, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
0.24648, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
0.52626, 2080-2099, miroc5, Annual Anomaly, NPL
-0.1326, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
0.34941, 2080-2099, miroc_esm, Annual Anomaly, NPL
-0.145, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
-0.502, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
0.46687, 2080-2099, noresm1_m, Annual Anomaly, NPL
-0.4616, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
0.22793, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
0.85065, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
