Maximum of Daily Max-Temperature - (Celsius), Year, Model, Statistics, ISO3
2.7911, 2040-2059, access1_0, Jan Anomaly, NPL
3.02753, 2040-2059, access1_0, Feb Anomaly, NPL
3.06172, 2040-2059, access1_0, Mar Anomaly, NPL
2.37815, 2040-2059, access1_0, Apr Anomaly, NPL
1.30966, 2040-2059, access1_0, May Anomaly, NPL
1.53542, 2040-2059, access1_0, Jun Anomaly, NPL
1.64747, 2040-2059, access1_0, Jul Anomaly, NPL
1.97506, 2040-2059, access1_0, Aug Anomaly, NPL
2.08977, 2040-2059, access1_0, Sep Anomaly, NPL
2.86254, 2040-2059, access1_0, Oct Anomaly, NPL
2.64499, 2040-2059, access1_0, Nov Anomaly, NPL
3.09607, 2040-2059, access1_0, Dec Anomaly, NPL
2.40888, 2040-2059, access1_3, Jan Anomaly, NPL
2.40455, 2040-2059, access1_3, Feb Anomaly, NPL
2.99532, 2040-2059, access1_3, Mar Anomaly, NPL
3.35323, 2040-2059, access1_3, Apr Anomaly, NPL
2.74052, 2040-2059, access1_3, May Anomaly, NPL
1.30615, 2040-2059, access1_3, Jun Anomaly, NPL
1.06267, 2040-2059, access1_3, Jul Anomaly, NPL
1.68937, 2040-2059, access1_3, Aug Anomaly, NPL
1.86366, 2040-2059, access1_3, Sep Anomaly, NPL
1.97306, 2040-2059, access1_3, Oct Anomaly, NPL
1.34536, 2040-2059, access1_3, Nov Anomaly, NPL
2.57271, 2040-2059, access1_3, Dec Anomaly, NPL
2.17162, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
2.20767, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
2.35011, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
3.47694, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
2.72372, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
2.04099, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
2.92357, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
2.14989, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
1.49263, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
1.19389, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
1.91244, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
1.984, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
3.14357, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
1.17253, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
2.44233, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
3.08528, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
2.80604, 2040-2059, bcc_csm1_1, May Anomaly, NPL
2.76469, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
2.01131, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
1.8321, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
1.6827, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
2.1134, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
1.96996, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
1.29541, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
3.15918, 2040-2059, bnu_esm, Jan Anomaly, NPL
2.41095, 2040-2059, bnu_esm, Feb Anomaly, NPL
4.06502, 2040-2059, bnu_esm, Mar Anomaly, NPL
3.2938, 2040-2059, bnu_esm, Apr Anomaly, NPL
1.94007, 2040-2059, bnu_esm, May Anomaly, NPL
3.24596, 2040-2059, bnu_esm, Jun Anomaly, NPL
2.71453, 2040-2059, bnu_esm, Jul Anomaly, NPL
2.24154, 2040-2059, bnu_esm, Aug Anomaly, NPL
1.82315, 2040-2059, bnu_esm, Sep Anomaly, NPL
1.56862, 2040-2059, bnu_esm, Oct Anomaly, NPL
2.23953, 2040-2059, bnu_esm, Nov Anomaly, NPL
3.17874, 2040-2059, bnu_esm, Dec Anomaly, NPL
2.59142, 2040-2059, canesm2, Jan Anomaly, NPL
2.5231, 2040-2059, canesm2, Feb Anomaly, NPL
3.66659, 2040-2059, canesm2, Mar Anomaly, NPL
2.86337, 2040-2059, canesm2, Apr Anomaly, NPL
4.35582, 2040-2059, canesm2, May Anomaly, NPL
4.33859, 2040-2059, canesm2, Jun Anomaly, NPL
3.90321, 2040-2059, canesm2, Jul Anomaly, NPL
2.82691, 2040-2059, canesm2, Aug Anomaly, NPL
2.64367, 2040-2059, canesm2, Sep Anomaly, NPL
2.25327, 2040-2059, canesm2, Oct Anomaly, NPL
2.28731, 2040-2059, canesm2, Nov Anomaly, NPL
3.31878, 2040-2059, canesm2, Dec Anomaly, NPL
2.50741, 2040-2059, ccsm4, Jan Anomaly, NPL
2.43139, 2040-2059, ccsm4, Feb Anomaly, NPL
3.71534, 2040-2059, ccsm4, Mar Anomaly, NPL
2.57282, 2040-2059, ccsm4, Apr Anomaly, NPL
2.11461, 2040-2059, ccsm4, May Anomaly, NPL
3.03993, 2040-2059, ccsm4, Jun Anomaly, NPL
1.92236, 2040-2059, ccsm4, Jul Anomaly, NPL
2.44752, 2040-2059, ccsm4, Aug Anomaly, NPL
1.23566, 2040-2059, ccsm4, Sep Anomaly, NPL
2.29495, 2040-2059, ccsm4, Oct Anomaly, NPL
1.68462, 2040-2059, ccsm4, Nov Anomaly, NPL
1.29501, 2040-2059, ccsm4, Dec Anomaly, NPL
1.18347, 2040-2059, cesm1_bgc, Jan Anomaly, NPL
2.50619, 2040-2059, cesm1_bgc, Feb Anomaly, NPL
2.43436, 2040-2059, cesm1_bgc, Mar Anomaly, NPL
2.76684, 2040-2059, cesm1_bgc, Apr Anomaly, NPL
2.86853, 2040-2059, cesm1_bgc, May Anomaly, NPL
1.67879, 2040-2059, cesm1_bgc, Jun Anomaly, NPL
3.30808, 2040-2059, cesm1_bgc, Jul Anomaly, NPL
1.79787, 2040-2059, cesm1_bgc, Aug Anomaly, NPL
2.57022, 2040-2059, cesm1_bgc, Sep Anomaly, NPL
2.12998, 2040-2059, cesm1_bgc, Oct Anomaly, NPL
1.6154, 2040-2059, cesm1_bgc, Nov Anomaly, NPL
1.32334, 2040-2059, cesm1_bgc, Dec Anomaly, NPL
2.06221, 2040-2059, cesm1_cam5, Jan Anomaly, NPL
2.45246, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
2.28584, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
2.31781, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
3.01795, 2040-2059, cesm1_cam5, May Anomaly, NPL
2.84882, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
2.6731, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
2.56684, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
2.83474, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
2.33584, 2040-2059, cesm1_cam5, Oct Anomaly, NPL
2.12597, 2040-2059, cesm1_cam5, Nov Anomaly, NPL
0.95177, 2040-2059, cesm1_cam5, Dec Anomaly, NPL
3.01765, 2040-2059, cmcc_cesm, Jan Anomaly, NPL
1.90442, 2040-2059, cmcc_cesm, Feb Anomaly, NPL
3.2303, 2040-2059, cmcc_cesm, Mar Anomaly, NPL
3.13113, 2040-2059, cmcc_cesm, Apr Anomaly, NPL
3.0549, 2040-2059, cmcc_cesm, May Anomaly, NPL
2.83559, 2040-2059, cmcc_cesm, Jun Anomaly, NPL
2.83303, 2040-2059, cmcc_cesm, Jul Anomaly, NPL
2.2932, 2040-2059, cmcc_cesm, Aug Anomaly, NPL
2.22393, 2040-2059, cmcc_cesm, Sep Anomaly, NPL
1.89958, 2040-2059, cmcc_cesm, Oct Anomaly, NPL
1.9206, 2040-2059, cmcc_cesm, Nov Anomaly, NPL
1.81646, 2040-2059, cmcc_cesm, Dec Anomaly, NPL
1.98843, 2040-2059, cmcc_cm, Jan Anomaly, NPL
2.01365, 2040-2059, cmcc_cm, Feb Anomaly, NPL
2.87187, 2040-2059, cmcc_cm, Mar Anomaly, NPL
2.68505, 2040-2059, cmcc_cm, Apr Anomaly, NPL
2.83275, 2040-2059, cmcc_cm, May Anomaly, NPL
2.14018, 2040-2059, cmcc_cm, Jun Anomaly, NPL
2.07916, 2040-2059, cmcc_cm, Jul Anomaly, NPL
