Maximum of Daily Max-Temperature - (Celsius), Year, Model, Statistics, ISO3
0.75437, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
0.24016, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
0.69778, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
2.08507, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
1.61409, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
2.01222, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
1.89956, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
1.69872, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
0.43868, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
1.89308, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
1.27261, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
0.84911, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
2.30718, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
0.18267, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
1.74943, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
1.91115, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
1.32148, 2080-2099, bcc_csm1_1, May Anomaly, NPL
0.94624, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
1.14116, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
-0.0209, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
0.708, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
2.1756, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
0.6941, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
0.55687, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
1.19105, 2080-2099, bnu_esm, Jan Anomaly, NPL
0.2083, 2080-2099, bnu_esm, Feb Anomaly, NPL
1.80947, 2080-2099, bnu_esm, Mar Anomaly, NPL
0.75465, 2080-2099, bnu_esm, Apr Anomaly, NPL
0.83017, 2080-2099, bnu_esm, May Anomaly, NPL
1.85819, 2080-2099, bnu_esm, Jun Anomaly, NPL
2.07069, 2080-2099, bnu_esm, Jul Anomaly, NPL
0.78687, 2080-2099, bnu_esm, Aug Anomaly, NPL
0.42783, 2080-2099, bnu_esm, Sep Anomaly, NPL
0.94755, 2080-2099, bnu_esm, Oct Anomaly, NPL
1.94312, 2080-2099, bnu_esm, Nov Anomaly, NPL
1.14221, 2080-2099, bnu_esm, Dec Anomaly, NPL
1.56851, 2080-2099, canesm2, Jan Anomaly, NPL
0.75516, 2080-2099, canesm2, Feb Anomaly, NPL
0.90447, 2080-2099, canesm2, Mar Anomaly, NPL
0.51162, 2080-2099, canesm2, Apr Anomaly, NPL
2.20153, 2080-2099, canesm2, May Anomaly, NPL
2.66591, 2080-2099, canesm2, Jun Anomaly, NPL
2.65716, 2080-2099, canesm2, Jul Anomaly, NPL
2.17724, 2080-2099, canesm2, Aug Anomaly, NPL
1.60729, 2080-2099, canesm2, Sep Anomaly, NPL
1.6268, 2080-2099, canesm2, Oct Anomaly, NPL
1.97127, 2080-2099, canesm2, Nov Anomaly, NPL
1.82495, 2080-2099, canesm2, Dec Anomaly, NPL
1.252, 2080-2099, ccsm4, Jan Anomaly, NPL
1.13869, 2080-2099, ccsm4, Feb Anomaly, NPL
2.36929, 2080-2099, ccsm4, Mar Anomaly, NPL
1.43776, 2080-2099, ccsm4, Apr Anomaly, NPL
1.42526, 2080-2099, ccsm4, May Anomaly, NPL
1.4044, 2080-2099, ccsm4, Jun Anomaly, NPL
1.82248, 2080-2099, ccsm4, Jul Anomaly, NPL
1.11411, 2080-2099, ccsm4, Aug Anomaly, NPL
0.55294, 2080-2099, ccsm4, Sep Anomaly, NPL
1.19519, 2080-2099, ccsm4, Oct Anomaly, NPL
0.74351, 2080-2099, ccsm4, Nov Anomaly, NPL
0.71676, 2080-2099, ccsm4, Dec Anomaly, NPL
1.79112, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
1.83935, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
0.43075, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
0.61265, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
1.38631, 2080-2099, cesm1_cam5, May Anomaly, NPL
2.45139, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
2.3267, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
2.33393, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
2.2865, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
2.02068, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
1.12568, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
0.38907, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
2.5069, 2080-2099, cnrm_cm5, Jan Anomaly, NPL
2.22489, 2080-2099, cnrm_cm5, Feb Anomaly, NPL
1.61851, 2080-2099, cnrm_cm5, Mar Anomaly, NPL
1.93205, 2080-2099, cnrm_cm5, Apr Anomaly, NPL
1.63286, 2080-2099, cnrm_cm5, May Anomaly, NPL
