Maximum of Daily Max-Temperature - (Celsius), Year, Model, Statistics, ISO3
6.38352, 2080-2099, access1_0, Jan Anomaly, NPL
6.2437, 2080-2099, access1_0, Feb Anomaly, NPL
7.32686, 2080-2099, access1_0, Mar Anomaly, NPL
5.42411, 2080-2099, access1_0, Apr Anomaly, NPL
2.97349, 2080-2099, access1_0, May Anomaly, NPL
3.41049, 2080-2099, access1_0, Jun Anomaly, NPL
3.93521, 2080-2099, access1_0, Jul Anomaly, NPL
4.10883, 2080-2099, access1_0, Aug Anomaly, NPL
4.5911, 2080-2099, access1_0, Sep Anomaly, NPL
4.93595, 2080-2099, access1_0, Oct Anomaly, NPL
5.12834, 2080-2099, access1_0, Nov Anomaly, NPL
5.82046, 2080-2099, access1_0, Dec Anomaly, NPL
4.75385, 2080-2099, access1_3, Jan Anomaly, NPL
5.01603, 2080-2099, access1_3, Feb Anomaly, NPL
7.45904, 2080-2099, access1_3, Mar Anomaly, NPL
6.58609, 2080-2099, access1_3, Apr Anomaly, NPL
5.84451, 2080-2099, access1_3, May Anomaly, NPL
4.47332, 2080-2099, access1_3, Jun Anomaly, NPL
2.59118, 2080-2099, access1_3, Jul Anomaly, NPL
3.71526, 2080-2099, access1_3, Aug Anomaly, NPL
4.12972, 2080-2099, access1_3, Sep Anomaly, NPL
4.56394, 2080-2099, access1_3, Oct Anomaly, NPL
4.34012, 2080-2099, access1_3, Nov Anomaly, NPL
4.98666, 2080-2099, access1_3, Dec Anomaly, NPL
4.33499, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
3.68671, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
4.76363, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
6.64541, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
4.86797, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
5.2414, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
5.69379, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
5.43277, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
3.45741, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
4.37203, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
3.828, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
4.61863, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
6.28745, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
4.27496, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
5.68361, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
5.0034, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
5.07175, 2080-2099, bcc_csm1_1, May Anomaly, NPL
4.92879, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
3.0756, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
3.44379, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
4.73636, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
5.09733, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
4.60908, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
4.16554, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
6.77546, 2080-2099, bnu_esm, Jan Anomaly, NPL
7.06497, 2080-2099, bnu_esm, Feb Anomaly, NPL
6.89109, 2080-2099, bnu_esm, Mar Anomaly, NPL
