Maximum of Daily Max-Temperature - (Celsius), Year, Model, Statistics, ISO3
1.47949, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
1.1882, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
2.23851, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
2.53142, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
2.63454, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
2.49916, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
3.4019, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
1.86687, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
1.05369, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
1.65737, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
1.23616, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
2.25681, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
2.24648, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
0.65158, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
1.17804, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
1.70202, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
2.44898, 2040-2059, bcc_csm1_1, May Anomaly, NPL
1.92253, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
1.22, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
0.29032, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
0.87314, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
1.20926, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
0.69972, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
0.60272, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
0.82736, 2040-2059, ccsm4, Jan Anomaly, NPL
0.38784, 2040-2059, ccsm4, Feb Anomaly, NPL
3.30274, 2040-2059, ccsm4, Mar Anomaly, NPL
2.58585, 2040-2059, ccsm4, Apr Anomaly, NPL
1.79698, 2040-2059, ccsm4, May Anomaly, NPL
1.6997, 2040-2059, ccsm4, Jun Anomaly, NPL
2.12691, 2040-2059, ccsm4, Jul Anomaly, NPL
1.47004, 2040-2059, ccsm4, Aug Anomaly, NPL
0.77095, 2040-2059, ccsm4, Sep Anomaly, NPL
1.49847, 2040-2059, ccsm4, Oct Anomaly, NPL
0.45584, 2040-2059, ccsm4, Nov Anomaly, NPL
0.10268, 2040-2059, ccsm4, Dec Anomaly, NPL
1.48743, 2040-2059, cesm1_cam5, Jan Anomaly, NPL
2.10684, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
0.57131, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
0.50591, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
0.82757, 2040-2059, cesm1_cam5, May Anomaly, NPL
1.81732, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
2.35455, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
1.85161, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
1.67709, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
1.63537, 2040-2059, cesm1_cam5, Oct Anomaly, NPL
0.9985, 2040-2059, cesm1_cam5, Nov Anomaly, NPL
0.65031, 2040-2059, cesm1_cam5, Dec Anomaly, NPL
2.04684, 2040-2059, csiro_mk3_6_0, Jan Anomaly, NPL
1.68551, 2040-2059, csiro_mk3_6_0, Feb Anomaly, NPL
1.0231, 2040-2059, csiro_mk3_6_0, Mar Anomaly, NPL
1.08365, 2040-2059, csiro_mk3_6_0, Apr Anomaly, NPL
1.16158, 2040-2059, csiro_mk3_6_0, May Anomaly, NPL
1.14645, 2040-2059, csiro_mk3_6_0, Jun Anomaly, NPL
2.87313, 2040-2059, csiro_mk3_6_0, Jul Anomaly, NPL
1.80258, 2040-2059, csiro_mk3_6_0, Aug Anomaly, NPL
0.936, 2040-2059, csiro_mk3_6_0, Sep Anomaly, NPL
0.16625, 2040-2059, csiro_mk3_6_0, Oct Anomaly, NPL
1.3548, 2040-2059, csiro_mk3_6_0, Nov Anomaly, NPL
1.29814, 2040-2059, csiro_mk3_6_0, Dec Anomaly, NPL
3.16929, 2040-2059, gfdl_cm3, Jan Anomaly, NPL
2.91035, 2040-2059, gfdl_cm3, Feb Anomaly, NPL
2.16506, 2040-2059, gfdl_cm3, Mar Anomaly, NPL
3.19358, 2040-2059, gfdl_cm3, Apr Anomaly, NPL
2.75423, 2040-2059, gfdl_cm3, May Anomaly, NPL
2.6705, 2040-2059, gfdl_cm3, Jun Anomaly, NPL
2.10154, 2040-2059, gfdl_cm3, Jul Anomaly, NPL
2.29626, 2040-2059, gfdl_cm3, Aug Anomaly, NPL
1.60168, 2040-2059, gfdl_cm3, Sep Anomaly, NPL
1.83644, 2040-2059, gfdl_cm3, Oct Anomaly, NPL
2.9618, 2040-2059, gfdl_cm3, Nov Anomaly, NPL
2.26661, 2040-2059, gfdl_cm3, Dec Anomaly, NPL
1.60306, 2040-2059, gfdl_esm2g, Jan Anomaly, NPL
0.92813, 2040-2059, gfdl_esm2g, Feb Anomaly, NPL
1.33724, 2040-2059, gfdl_esm2g, Mar Anomaly, NPL
2.46059, 2040-2059, gfdl_esm2g, Apr Anomaly, NPL
1.20534, 2040-2059, gfdl_esm2g, May Anomaly, NPL
2.34837, 2040-2059, gfdl_esm2g, Jun Anomaly, NPL
0.69787, 2040-2059, gfdl_esm2g, Jul Anomaly, NPL
1.7242, 2040-2059, gfdl_esm2g, Aug Anomaly, NPL
1.38618, 2040-2059, gfdl_esm2g, Sep Anomaly, NPL
1.56686, 2040-2059, gfdl_esm2g, Oct Anomaly, NPL
1.51325, 2040-2059, gfdl_esm2g, Nov Anomaly, NPL
1.70961, 2040-2059, gfdl_esm2g, Dec Anomaly, NPL
1.69677, 2040-2059, gfdl_esm2m, Jan Anomaly, NPL
1.69793, 2040-2059, gfdl_esm2m, Feb Anomaly, NPL
1.93565, 2040-2059, gfdl_esm2m, Mar Anomaly, NPL
1.50915, 2040-2059, gfdl_esm2m, Apr Anomaly, NPL
1.49472, 2040-2059, gfdl_esm2m, May Anomaly, NPL
1.72458, 2040-2059, gfdl_esm2m, Jun Anomaly, NPL
2.69073, 2040-2059, gfdl_esm2m, Jul Anomaly, NPL
2.33015, 2040-2059, gfdl_esm2m, Aug Anomaly, NPL
2.07816, 2040-2059, gfdl_esm2m, Sep Anomaly, NPL
2.30575, 2040-2059, gfdl_esm2m, Oct Anomaly, NPL
1.64284, 2040-2059, gfdl_esm2m, Nov Anomaly, NPL
1.25418, 2040-2059, gfdl_esm2m, Dec Anomaly, NPL
0.35225, 2040-2059, hadgem2_ao, Jan Anomaly, NPL
1.79139, 2040-2059, hadgem2_ao, Feb Anomaly, NPL
1.56339, 2040-2059, hadgem2_ao, Mar Anomaly, NPL
1.28767, 2040-2059, hadgem2_ao, Apr Anomaly, NPL
0.79457, 2040-2059, hadgem2_ao, May Anomaly, NPL
0.36755, 2040-2059, hadgem2_ao, Jun Anomaly, NPL
0.66175, 2040-2059, hadgem2_ao, Jul Anomaly, NPL
1.10638, 2040-2059, hadgem2_ao, Aug Anomaly, NPL
0.77031, 2040-2059, hadgem2_ao, Sep Anomaly, NPL
0.99544, 2040-2059, hadgem2_ao, Oct Anomaly, NPL
1.19037, 2040-2059, hadgem2_ao, Nov Anomaly, NPL
1.88593, 2040-2059, hadgem2_ao, Dec Anomaly, NPL
1.71476, 2040-2059, hadgem2_es, Jan Anomaly, NPL
2.17466, 2040-2059, hadgem2_es, Feb Anomaly, NPL
1.76512, 2040-2059, hadgem2_es, Mar Anomaly, NPL
1.6689, 2040-2059, hadgem2_es, Apr Anomaly, NPL
1.4994, 2040-2059, hadgem2_es, May Anomaly, NPL
1.97083, 2040-2059, hadgem2_es, Jun Anomaly, NPL
1.25401, 2040-2059, hadgem2_es, Jul Anomaly, NPL
1.59673, 2040-2059, hadgem2_es, Aug Anomaly, NPL
1.87455, 2040-2059, hadgem2_es, Sep Anomaly, NPL
1.46484, 2040-2059, hadgem2_es, Oct Anomaly, NPL
2.16735, 2040-2059, hadgem2_es, Nov Anomaly, NPL
1.84267, 2040-2059, hadgem2_es, Dec Anomaly, NPL
1.51302, 2040-2059, ipsl_cm5a_lr, Jan Anomaly, NPL
2.63535, 2040-2059, ipsl_cm5a_lr, Feb Anomaly, NPL
