Maximum of Daily Max-Temperature - (Celsius), Year, Model, Statistics, ISO3
1.58272, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
0.29115, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
0.7601, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
2.47888, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
1.36814, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
1.502, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
1.54132, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
1.86575, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
1.1403, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
1.90702, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
1.5667, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
2.64436, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
2.57552, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
0.6828, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
1.90488, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
2.05446, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
1.3242, 2040-2059, bcc_csm1_1, May Anomaly, NPL
1.61449, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
0.91906, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
0.61995, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
0.58253, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
0.73072, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
0.11342, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
0.61229, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
1.47857, 2040-2059, bnu_esm, Jan Anomaly, NPL
1.21223, 2040-2059, bnu_esm, Feb Anomaly, NPL
2.43671, 2040-2059, bnu_esm, Mar Anomaly, NPL
1.85365, 2040-2059, bnu_esm, Apr Anomaly, NPL
1.21975, 2040-2059, bnu_esm, May Anomaly, NPL
2.59074, 2040-2059, bnu_esm, Jun Anomaly, NPL
2.09604, 2040-2059, bnu_esm, Jul Anomaly, NPL
0.97719, 2040-2059, bnu_esm, Aug Anomaly, NPL
0.79, 2040-2059, bnu_esm, Sep Anomaly, NPL
0.74978, 2040-2059, bnu_esm, Oct Anomaly, NPL
1.87237, 2040-2059, bnu_esm, Nov Anomaly, NPL
1.66506, 2040-2059, bnu_esm, Dec Anomaly, NPL
2.08873, 2040-2059, canesm2, Jan Anomaly, NPL
0.89887, 2040-2059, canesm2, Feb Anomaly, NPL
1.47819, 2040-2059, canesm2, Mar Anomaly, NPL
2.08113, 2040-2059, canesm2, Apr Anomaly, NPL
2.38601, 2040-2059, canesm2, May Anomaly, NPL
2.40754, 2040-2059, canesm2, Jun Anomaly, NPL
2.08168, 2040-2059, canesm2, Jul Anomaly, NPL
2.0029, 2040-2059, canesm2, Aug Anomaly, NPL
2.03538, 2040-2059, canesm2, Sep Anomaly, NPL
1.4436, 2040-2059, canesm2, Oct Anomaly, NPL
1.29966, 2040-2059, canesm2, Nov Anomaly, NPL
2.42941, 2040-2059, canesm2, Dec Anomaly, NPL
1.06621, 2040-2059, ccsm4, Jan Anomaly, NPL
0.96716, 2040-2059, ccsm4, Feb Anomaly, NPL
2.17627, 2040-2059, ccsm4, Mar Anomaly, NPL
2.14549, 2040-2059, ccsm4, Apr Anomaly, NPL
1.59395, 2040-2059, ccsm4, May Anomaly, NPL
0.94861, 2040-2059, ccsm4, Jun Anomaly, NPL
1.75518, 2040-2059, ccsm4, Jul Anomaly, NPL
1.06395, 2040-2059, ccsm4, Aug Anomaly, NPL
0.2069, 2040-2059, ccsm4, Sep Anomaly, NPL
1.10319, 2040-2059, ccsm4, Oct Anomaly, NPL
0.80129, 2040-2059, ccsm4, Nov Anomaly, NPL
-0.1029, 2040-2059, ccsm4, Dec Anomaly, NPL
1.36134, 2040-2059, cesm1_cam5, Jan Anomaly, NPL
1.651, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
0.40334, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
1.0838, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
1.456, 2040-2059, cesm1_cam5, May Anomaly, NPL
1.62715, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
1.20419, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
1.57082, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
1.79583, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
1.23892, 2040-2059, cesm1_cam5, Oct Anomaly, NPL
0.65464, 2040-2059, cesm1_cam5, Nov Anomaly, NPL
0.83215, 2040-2059, cesm1_cam5, Dec Anomaly, NPL
0.5098, 2040-2059, cnrm_cm5, Jan Anomaly, NPL
1.30367, 2040-2059, cnrm_cm5, Feb Anomaly, NPL
1.62187, 2040-2059, cnrm_cm5, Mar Anomaly, NPL
1.51659, 2040-2059, cnrm_cm5, Apr Anomaly, NPL
1.37957, 2040-2059, cnrm_cm5, May Anomaly, NPL
1.28226, 2040-2059, cnrm_cm5, Jun Anomaly, NPL
1.36125, 2040-2059, cnrm_cm5, Jul Anomaly, NPL
0.90915, 2040-2059, cnrm_cm5, Aug Anomaly, NPL
0.29062, 2040-2059, cnrm_cm5, Sep Anomaly, NPL
1.07567, 2040-2059, cnrm_cm5, Oct Anomaly, NPL
-0.0144, 2040-2059, cnrm_cm5, Nov Anomaly, NPL
1.27595, 2040-2059, cnrm_cm5, Dec Anomaly, NPL
2.41211, 2040-2059, csiro_mk3_6_0, Jan Anomaly, NPL
2.40482, 2040-2059, csiro_mk3_6_0, Feb Anomaly, NPL
1.23154, 2040-2059, csiro_mk3_6_0, Mar Anomaly, NPL
2.37955, 2040-2059, csiro_mk3_6_0, Apr Anomaly, NPL
1.78702, 2040-2059, csiro_mk3_6_0, May Anomaly, NPL
1.6517, 2040-2059, csiro_mk3_6_0, Jun Anomaly, NPL
2.42202, 2040-2059, csiro_mk3_6_0, Jul Anomaly, NPL
1.25223, 2040-2059, csiro_mk3_6_0, Aug Anomaly, NPL
0.1181, 2040-2059, csiro_mk3_6_0, Sep Anomaly, NPL
1.02421, 2040-2059, csiro_mk3_6_0, Oct Anomaly, NPL
1.60309, 2040-2059, csiro_mk3_6_0, Nov Anomaly, NPL
2.22721, 2040-2059, csiro_mk3_6_0, Dec Anomaly, NPL
2.85355, 2040-2059, gfdl_cm3, Jan Anomaly, NPL
2.3831, 2040-2059, gfdl_cm3, Feb Anomaly, NPL
1.57132, 2040-2059, gfdl_cm3, Mar Anomaly, NPL
2.79906, 2040-2059, gfdl_cm3, Apr Anomaly, NPL
2.79404, 2040-2059, gfdl_cm3, May Anomaly, NPL
2.4981, 2040-2059, gfdl_cm3, Jun Anomaly, NPL
2.42916, 2040-2059, gfdl_cm3, Jul Anomaly, NPL
2.58379, 2040-2059, gfdl_cm3, Aug Anomaly, NPL
1.9781, 2040-2059, gfdl_cm3, Sep Anomaly, NPL
2.0582, 2040-2059, gfdl_cm3, Oct Anomaly, NPL
1.85393, 2040-2059, gfdl_cm3, Nov Anomaly, NPL
3.26022, 2040-2059, gfdl_cm3, Dec Anomaly, NPL
1.35981, 2040-2059, gfdl_esm2g, Jan Anomaly, NPL
0.46491, 2040-2059, gfdl_esm2g, Feb Anomaly, NPL
2.16371, 2040-2059, gfdl_esm2g, Mar Anomaly, NPL
0.78828, 2040-2059, gfdl_esm2g, Apr Anomaly, NPL
1.06199, 2040-2059, gfdl_esm2g, May Anomaly, NPL
0.7192, 2040-2059, gfdl_esm2g, Jun Anomaly, NPL
1.41431, 2040-2059, gfdl_esm2g, Jul Anomaly, NPL
1.39969, 2040-2059, gfdl_esm2g, Aug Anomaly, NPL
0.99851, 2040-2059, gfdl_esm2g, Sep Anomaly, NPL
1.29107, 2040-2059, gfdl_esm2g, Oct Anomaly, NPL
1.72378, 2040-2059, gfdl_esm2g, Nov Anomaly, NPL
1.22295, 2040-2059, gfdl_esm2g, Dec Anomaly, NPL
0.88658, 2040-2059, gfdl_esm2m, Jan Anomaly, NPL
0.61219, 2040-2059, gfdl_esm2m, Feb Anomaly, NPL
1.30078, 2040-2059, gfdl_esm2m, Mar Anomaly, NPL
1.08892, 2040-2059, gfdl_esm2m, Apr Anomaly, NPL
1.78495, 2040-2059, gfdl_esm2m, May Anomaly, NPL
1.75744, 2040-2059, gfdl_esm2m, Jun Anomaly, NPL
2.70757, 2040-2059, gfdl_esm2m, Jul Anomaly, NPL
2.50018, 2040-2059, gfdl_esm2m, Aug Anomaly, NPL
1.36755, 2040-2059, gfdl_esm2m, Sep Anomaly, NPL
1.43342, 2040-2059, gfdl_esm2m, Oct Anomaly, NPL
1.1194, 2040-2059, gfdl_esm2m, Nov Anomaly, NPL
0.55113, 2040-2059, gfdl_esm2m, Dec Anomaly, NPL
0.87559, 2040-2059, hadgem2_ao, Jan Anomaly, NPL
1.53714, 2040-2059, hadgem2_ao, Feb Anomaly, NPL
1.67914, 2040-2059, hadgem2_ao, Mar Anomaly, NPL
0.11149, 2040-2059, hadgem2_ao, Apr Anomaly, NPL
0.20186, 2040-2059, hadgem2_ao, May Anomaly, NPL
0.94188, 2040-2059, hadgem2_ao, Jun Anomaly, NPL
0.32614, 2040-2059, hadgem2_ao, Jul Anomaly, NPL
0.62683, 2040-2059, hadgem2_ao, Aug Anomaly, NPL
0.8308, 2040-2059, hadgem2_ao, Sep Anomaly, NPL
0.99613, 2040-2059, hadgem2_ao, Oct Anomaly, NPL
1.99995, 2040-2059, hadgem2_ao, Nov Anomaly, NPL
2.02038, 2040-2059, hadgem2_ao, Dec Anomaly, NPL
2.70972, 2040-2059, hadgem2_es, Jan Anomaly, NPL
2.25584, 2040-2059, hadgem2_es, Feb Anomaly, NPL
1.69768, 2040-2059, hadgem2_es, Mar Anomaly, NPL
0.84782, 2040-2059, hadgem2_es, Apr Anomaly, NPL
0.7984, 2040-2059, hadgem2_es, May Anomaly, NPL
1.81785, 2040-2059, hadgem2_es, Jun Anomaly, NPL
1.10816, 2040-2059, hadgem2_es, Jul Anomaly, NPL
1.35194, 2040-2059, hadgem2_es, Aug Anomaly, NPL
1.55558, 2040-2059, hadgem2_es, Sep Anomaly, NPL
1.21838, 2040-2059, hadgem2_es, Oct Anomaly, NPL
2.23221, 2040-2059, hadgem2_es, Nov Anomaly, NPL
1.16751, 2040-2059, hadgem2_es, Dec Anomaly, NPL
