Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-0.2926, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
0.59329, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
0.56079, 2080-2099, bnu_esm, Annual Anomaly, NPL
0.54829, 2080-2099, canesm2, Annual Anomaly, NPL
0.01287, 2080-2099, ccsm4, Annual Anomaly, NPL
0.26899, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
-0.2804, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
-0.3133, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
0.74176, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
0.25968, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
0.08424, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
-0.2203, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
0.38128, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
0.41831, 2080-2099, miroc5, Annual Anomaly, NPL
0.44324, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
0.45048, 2080-2099, miroc_esm, Annual Anomaly, NPL
-0.0063, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
-0.2631, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
0.27233, 2080-2099, noresm1_m, Annual Anomaly, NPL
-0.4764, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
0.27084, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
0.75101, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
