Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-0.4697, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
0.1193, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
0.66371, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
