Number of Days without Noticeable Wind - (Days), Year, Model, Statistics, ISO3
0.2418, 2080-2099, access1_0, Jan Anomaly, NPL
-0.9957, 2080-2099, access1_0, Feb Anomaly, NPL
-1.9603, 2080-2099, access1_0, Mar Anomaly, NPL
-0.923, 2080-2099, access1_0, Apr Anomaly, NPL
-0.1486, 2080-2099, access1_0, May Anomaly, NPL
0.03429, 2080-2099, access1_0, Jun Anomaly, NPL
-0.0589, 2080-2099, access1_0, Jul Anomaly, NPL
0.15717, 2080-2099, access1_0, Aug Anomaly, NPL
0.49491, 2080-2099, access1_0, Sep Anomaly, NPL
0.4287, 2080-2099, access1_0, Oct Anomaly, NPL
-0.3336, 2080-2099, access1_0, Nov Anomaly, NPL
-0.0641, 2080-2099, access1_0, Dec Anomaly, NPL
0.70209, 2080-2099, access1_3, Jan Anomaly, NPL
0.80775, 2080-2099, access1_3, Feb Anomaly, NPL
0.38113, 2080-2099, access1_3, Mar Anomaly, NPL
0.1423, 2080-2099, access1_3, Apr Anomaly, NPL
0.13509, 2080-2099, access1_3, May Anomaly, NPL
-0.0134, 2080-2099, access1_3, Jun Anomaly, NPL
-0.0712, 2080-2099, access1_3, Jul Anomaly, NPL
-0.1365, 2080-2099, access1_3, Aug Anomaly, NPL
0.68848, 2080-2099, access1_3, Sep Anomaly, NPL
1.3693, 2080-2099, access1_3, Oct Anomaly, NPL
1.2314, 2080-2099, access1_3, Nov Anomaly, NPL
0.64572, 2080-2099, access1_3, Dec Anomaly, NPL
0.81277, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
0.14874, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-0.0354, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
0.0861, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
0.2831, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
-0.329, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
-0.2665, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
0.4554, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
-0.0278, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
1.19939, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
0.51979, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
0.63816, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
-0.2221, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
-0.1743, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
-0.3092, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
-0.0961, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
0.19282, 2080-2099, bcc_csm1_1, May Anomaly, NPL
0.06144, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
0.33357, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
0.06952, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
0.05731, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
0.55165, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
0.23791, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
0.34685, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
1.7995, 2080-2099, bnu_esm, Jan Anomaly, NPL
0.37539, 2080-2099, bnu_esm, Feb Anomaly, NPL
-0.2434, 2080-2099, bnu_esm, Mar Anomaly, NPL
0.00454, 2080-2099, bnu_esm, Apr Anomaly, NPL
-0.3319, 2080-2099, bnu_esm, May Anomaly, NPL
-0.2604, 2080-2099, bnu_esm, Jun Anomaly, NPL
-0.0266, 2080-2099, bnu_esm, Jul Anomaly, NPL
0.01708, 2080-2099, bnu_esm, Aug Anomaly, NPL
-0.0538, 2080-2099, bnu_esm, Sep Anomaly, NPL
0.17326, 2080-2099, bnu_esm, Oct Anomaly, NPL
2.44937, 2080-2099, bnu_esm, Nov Anomaly, NPL
3.33177, 2080-2099, bnu_esm, Dec Anomaly, NPL
0.03981, 2080-2099, canesm2, Jan Anomaly, NPL
0.01362, 2080-2099, canesm2, Feb Anomaly, NPL
0.34878, 2080-2099, canesm2, Mar Anomaly, NPL
-0.3688, 2080-2099, canesm2, Apr Anomaly, NPL
-0.4664, 2080-2099, canesm2, May Anomaly, NPL
