Number of Days without Noticeable Wind - (Days), Year, Model, Statistics, ISO3
0.43086, 2080-2099, access1_0, Jan Anomaly, NPL
-0.9974, 2080-2099, access1_0, Feb Anomaly, NPL
-1.0751, 2080-2099, access1_0, Mar Anomaly, NPL
-0.6679, 2080-2099, access1_0, Apr Anomaly, NPL
-0.1852, 2080-2099, access1_0, May Anomaly, NPL
0.01786, 2080-2099, access1_0, Jun Anomaly, NPL
-0.0436, 2080-2099, access1_0, Jul Anomaly, NPL
0.12216, 2080-2099, access1_0, Aug Anomaly, NPL
0.12193, 2080-2099, access1_0, Sep Anomaly, NPL
0.35536, 2080-2099, access1_0, Oct Anomaly, NPL
-0.7279, 2080-2099, access1_0, Nov Anomaly, NPL
0.30962, 2080-2099, access1_0, Dec Anomaly, NPL
0.73054, 2080-2099, access1_3, Jan Anomaly, NPL
0.36504, 2080-2099, access1_3, Feb Anomaly, NPL
0.12087, 2080-2099, access1_3, Mar Anomaly, NPL
2.0E-5, 2080-2099, access1_3, Apr Anomaly, NPL
-0.1726, 2080-2099, access1_3, May Anomaly, NPL
-0.041, 2080-2099, access1_3, Jun Anomaly, NPL
-0.0554, 2080-2099, access1_3, Jul Anomaly, NPL
-0.0636, 2080-2099, access1_3, Aug Anomaly, NPL
0.2101, 2080-2099, access1_3, Sep Anomaly, NPL
1.446, 2080-2099, access1_3, Oct Anomaly, NPL
0.78916, 2080-2099, access1_3, Nov Anomaly, NPL
0.317, 2080-2099, access1_3, Dec Anomaly, NPL
0.25, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
0.30693, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
0.31477, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-0.1708, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0459, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
-0.1766, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
-0.3048, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
0.22097, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
0.18658, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
0.10034, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-0.0481, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
0.56669, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
-0.0717, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
0.11129, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
0.17176, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
0.06037, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
0.03335, 2080-2099, bcc_csm1_1, May Anomaly, NPL
0.03739, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
0.22772, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
-0.0756, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
0.30387, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
0.24609, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
0.41552, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
-0.2756, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
-0.1494, 2080-2099, bnu_esm, Jan Anomaly, NPL
0.63593, 2080-2099, bnu_esm, Feb Anomaly, NPL
-0.0961, 2080-2099, bnu_esm, Mar Anomaly, NPL
-0.0569, 2080-2099, bnu_esm, Apr Anomaly, NPL
-0.0519, 2080-2099, bnu_esm, May Anomaly, NPL
-0.2516, 2080-2099, bnu_esm, Jun Anomaly, NPL
-0.0056, 2080-2099, bnu_esm, Jul Anomaly, NPL
0.17679, 2080-2099, bnu_esm, Aug Anomaly, NPL
0.68863, 2080-2099, bnu_esm, Sep Anomaly, NPL
0.9006, 2080-2099, bnu_esm, Oct Anomaly, NPL
1.08844, 2080-2099, bnu_esm, Nov Anomaly, NPL
0.71515, 2080-2099, bnu_esm, Dec Anomaly, NPL
0.50513, 2080-2099, canesm2, Jan Anomaly, NPL
0.05754, 2080-2099, canesm2, Feb Anomaly, NPL
0.41972, 2080-2099, canesm2, Mar Anomaly, NPL
-0.0111, 2080-2099, canesm2, Apr Anomaly, NPL
0.1512, 2080-2099, canesm2, May Anomaly, NPL
0.45426, 2080-2099, canesm2, Jun Anomaly, NPL
0.01176, 2080-2099, canesm2, Jul Anomaly, NPL
0.12955, 2080-2099, canesm2, Aug Anomaly, NPL
0.46592, 2080-2099, canesm2, Sep Anomaly, NPL
0.97886, 2080-2099, canesm2, Oct Anomaly, NPL
0.99864, 2080-2099, canesm2, Nov Anomaly, NPL
0.43643, 2080-2099, canesm2, Dec Anomaly, NPL
2.41106, 2080-2099, cnrm_cm5, Jan Anomaly, NPL
1.39933, 2080-2099, cnrm_cm5, Feb Anomaly, NPL
0.52233, 2080-2099, cnrm_cm5, Mar Anomaly, NPL
0.5115, 2080-2099, cnrm_cm5, Apr Anomaly, NPL
-1.6414, 2080-2099, cnrm_cm5, May Anomaly, NPL
