Number of Days without Noticeable Wind - (Days), Year, Model, Statistics, ISO3
0.37288, 2020-2039, access1_0, Jan Anomaly, NPL
0.08422, 2020-2039, access1_0, Feb Anomaly, NPL
-1.2903, 2020-2039, access1_0, Mar Anomaly, NPL
-0.3243, 2020-2039, access1_0, Apr Anomaly, NPL
-0.0963, 2020-2039, access1_0, May Anomaly, NPL
0.04954, 2020-2039, access1_0, Jun Anomaly, NPL
-0.1434, 2020-2039, access1_0, Jul Anomaly, NPL
0.05577, 2020-2039, access1_0, Aug Anomaly, NPL
0.10946, 2020-2039, access1_0, Sep Anomaly, NPL
0.03211, 2020-2039, access1_0, Oct Anomaly, NPL
-0.47, 2020-2039, access1_0, Nov Anomaly, NPL
0.10337, 2020-2039, access1_0, Dec Anomaly, NPL
0.41633, 2020-2039, access1_3, Jan Anomaly, NPL
0.49392, 2020-2039, access1_3, Feb Anomaly, NPL
-0.0866, 2020-2039, access1_3, Mar Anomaly, NPL
0.07494, 2020-2039, access1_3, Apr Anomaly, NPL
0.12972, 2020-2039, access1_3, May Anomaly, NPL
0.11851, 2020-2039, access1_3, Jun Anomaly, NPL
0.00117, 2020-2039, access1_3, Jul Anomaly, NPL
-0.0292, 2020-2039, access1_3, Aug Anomaly, NPL
0.13088, 2020-2039, access1_3, Sep Anomaly, NPL
0.23078, 2020-2039, access1_3, Oct Anomaly, NPL
-8.0E-4, 2020-2039, access1_3, Nov Anomaly, NPL
0.31676, 2020-2039, access1_3, Dec Anomaly, NPL
0.17457, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
0.0896, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
-0.0126, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
-0.0703, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
-0.1109, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
-0.0671, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
0.03907, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
-0.1992, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
0.37798, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
0.19867, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
-0.1596, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
0.45954, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
-0.1919, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
0.31493, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
-0.1368, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
-0.1195, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
0.06331, 2020-2039, bcc_csm1_1, May Anomaly, NPL
0.13759, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
0.00185, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
0.04428, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
0.13896, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
0.55069, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
-0.0564, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
-0.1152, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
0.33678, 2020-2039, bnu_esm, Jan Anomaly, NPL
0.42581, 2020-2039, bnu_esm, Feb Anomaly, NPL
-0.0283, 2020-2039, bnu_esm, Mar Anomaly, NPL
-0.0346, 2020-2039, bnu_esm, Apr Anomaly, NPL
0.07116, 2020-2039, bnu_esm, May Anomaly, NPL
-0.2115, 2020-2039, bnu_esm, Jun Anomaly, NPL
0.09729, 2020-2039, bnu_esm, Jul Anomaly, NPL
0.05783, 2020-2039, bnu_esm, Aug Anomaly, NPL
0.06659, 2020-2039, bnu_esm, Sep Anomaly, NPL
0.02769, 2020-2039, bnu_esm, Oct Anomaly, NPL
-0.1418, 2020-2039, bnu_esm, Nov Anomaly, NPL
-0.7365, 2020-2039, bnu_esm, Dec Anomaly, NPL
-0.2683, 2020-2039, canesm2, Jan Anomaly, NPL
-0.2222, 2020-2039, canesm2, Feb Anomaly, NPL
-0.1008, 2020-2039, canesm2, Mar Anomaly, NPL
-0.0501, 2020-2039, canesm2, Apr Anomaly, NPL
0.1491, 2020-2039, canesm2, May Anomaly, NPL
0.16593, 2020-2039, canesm2, Jun Anomaly, NPL
0.01584, 2020-2039, canesm2, Jul Anomaly, NPL
0.17137, 2020-2039, canesm2, Aug Anomaly, NPL
0.44551, 2020-2039, canesm2, Sep Anomaly, NPL
0.81143, 2020-2039, canesm2, Oct Anomaly, NPL
0.36835, 2020-2039, canesm2, Nov Anomaly, NPL
0.12505, 2020-2039, canesm2, Dec Anomaly, NPL
-0.0538, 2020-2039, cnrm_cm5, Jan Anomaly, NPL
0.12317, 2020-2039, cnrm_cm5, Feb Anomaly, NPL
0.52141, 2020-2039, cnrm_cm5, Mar Anomaly, NPL
1.61406, 2020-2039, cnrm_cm5, Apr Anomaly, NPL
-1.6226, 2020-2039, cnrm_cm5, May Anomaly, NPL
-1.4422, 2020-2039, cnrm_cm5, Jun Anomaly, NPL
-1.0417, 2020-2039, cnrm_cm5, Jul Anomaly, NPL
-0.1046, 2020-2039, cnrm_cm5, Aug Anomaly, NPL
0.95031, 2020-2039, cnrm_cm5, Sep Anomaly, NPL
0.0189, 2020-2039, cnrm_cm5, Oct Anomaly, NPL
0.2976, 2020-2039, cnrm_cm5, Nov Anomaly, NPL
1.15195, 2020-2039, cnrm_cm5, Dec Anomaly, NPL
-0.1402, 2020-2039, csiro_mk3_6_0, Jan Anomaly, NPL
-0.2617, 2020-2039, csiro_mk3_6_0, Feb Anomaly, NPL
-0.2523, 2020-2039, csiro_mk3_6_0, Mar Anomaly, NPL
-0.161, 2020-2039, csiro_mk3_6_0, Apr Anomaly, NPL
0.50404, 2020-2039, csiro_mk3_6_0, May Anomaly, NPL
0.06211, 2020-2039, csiro_mk3_6_0, Jun Anomaly, NPL
0.6231, 2020-2039, csiro_mk3_6_0, Jul Anomaly, NPL
1.66371, 2020-2039, csiro_mk3_6_0, Aug Anomaly, NPL
0.98509, 2020-2039, csiro_mk3_6_0, Sep Anomaly, NPL
-0.4209, 2020-2039, csiro_mk3_6_0, Oct Anomaly, NPL
-0.1457, 2020-2039, csiro_mk3_6_0, Nov Anomaly, NPL
-0.0618, 2020-2039, csiro_mk3_6_0, Dec Anomaly, NPL
0.37924, 2020-2039, gfdl_cm3, Jan Anomaly, NPL
-0.5116, 2020-2039, gfdl_cm3, Feb Anomaly, NPL
-0.3633, 2020-2039, gfdl_cm3, Mar Anomaly, NPL
-0.9057, 2020-2039, gfdl_cm3, Apr Anomaly, NPL
-1.7887, 2020-2039, gfdl_cm3, May Anomaly, NPL
-5.4049, 2020-2039, gfdl_cm3, Jun Anomaly, NPL
-3.2207, 2020-2039, gfdl_cm3, Jul Anomaly, NPL
-1.8952, 2020-2039, gfdl_cm3, Aug Anomaly, NPL
-0.3701, 2020-2039, gfdl_cm3, Sep Anomaly, NPL
-0.2742, 2020-2039, gfdl_cm3, Oct Anomaly, NPL
-0.809, 2020-2039, gfdl_cm3, Nov Anomaly, NPL
1.82373, 2020-2039, gfdl_cm3, Dec Anomaly, NPL
-0.3089, 2020-2039, gfdl_esm2g, Jan Anomaly, NPL
0.58035, 2020-2039, gfdl_esm2g, Feb Anomaly, NPL
0.99564, 2020-2039, gfdl_esm2g, Mar Anomaly, NPL
-0.0013, 2020-2039, gfdl_esm2g, Apr Anomaly, NPL
