Number of Days without Noticeable Wind - (Days), Year, Model, Statistics, ISO3
0.38073, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
0.17984, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
0.30542, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-0.131, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
-0.1954, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
-0.3578, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
-0.3211, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
-0.2286, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
-0.0114, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
0.8333, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-0.1211, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
0.71789, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
-0.2771, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
0.53135, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
0.30355, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
0.16132, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
0.14821, 2080-2099, bcc_csm1_1, May Anomaly, NPL
0.11325, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
0.20238, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
0.16551, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
-0.2128, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
0.41765, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
0.06311, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
-0.3915, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
0.93932, 2080-2099, bnu_esm, Jan Anomaly, NPL
0.93408, 2080-2099, bnu_esm, Feb Anomaly, NPL
-0.0229, 2080-2099, bnu_esm, Mar Anomaly, NPL
-0.2324, 2080-2099, bnu_esm, Apr Anomaly, NPL
0.26287, 2080-2099, bnu_esm, May Anomaly, NPL
-0.0443, 2080-2099, bnu_esm, Jun Anomaly, NPL
0.04745, 2080-2099, bnu_esm, Jul Anomaly, NPL
0.17851, 2080-2099, bnu_esm, Aug Anomaly, NPL
-0.1479, 2080-2099, bnu_esm, Sep Anomaly, NPL
0.02257, 2080-2099, bnu_esm, Oct Anomaly, NPL
0.47346, 2080-2099, bnu_esm, Nov Anomaly, NPL
-0.9095, 2080-2099, bnu_esm, Dec Anomaly, NPL
-0.3245, 2080-2099, canesm2, Jan Anomaly, NPL
0.07677, 2080-2099, canesm2, Feb Anomaly, NPL
0.39141, 2080-2099, canesm2, Mar Anomaly, NPL
0.27557, 2080-2099, canesm2, Apr Anomaly, NPL
0.12347, 2080-2099, canesm2, May Anomaly, NPL
-0.281, 2080-2099, canesm2, Jun Anomaly, NPL
-0.0352, 2080-2099, canesm2, Jul Anomaly, NPL
0.30987, 2080-2099, canesm2, Aug Anomaly, NPL
0.23839, 2080-2099, canesm2, Sep Anomaly, NPL
0.65456, 2080-2099, canesm2, Oct Anomaly, NPL
0.21933, 2080-2099, canesm2, Nov Anomaly, NPL
-0.0176, 2080-2099, canesm2, Dec Anomaly, NPL
1.09224, 2080-2099, cnrm_cm5, Jan Anomaly, NPL
0.24153, 2080-2099, cnrm_cm5, Feb Anomaly, NPL
0.65381, 2080-2099, cnrm_cm5, Mar Anomaly, NPL
1.14388, 2080-2099, cnrm_cm5, Apr Anomaly, NPL
-1.3361, 2080-2099, cnrm_cm5, May Anomaly, NPL
-1.5461, 2080-2099, cnrm_cm5, Jun Anomaly, NPL
-2.37, 2080-2099, cnrm_cm5, Jul Anomaly, NPL
-1.7591, 2080-2099, cnrm_cm5, Aug Anomaly, NPL
-0.1048, 2080-2099, cnrm_cm5, Sep Anomaly, NPL
0.03325, 2080-2099, cnrm_cm5, Oct Anomaly, NPL
1.91205, 2080-2099, cnrm_cm5, Nov Anomaly, NPL
0.89533, 2080-2099, cnrm_cm5, Dec Anomaly, NPL
-0.267, 2080-2099, csiro_mk3_6_0, Jan Anomaly, NPL
-0.3845, 2080-2099, csiro_mk3_6_0, Feb Anomaly, NPL
-0.0741, 2080-2099, csiro_mk3_6_0, Mar Anomaly, NPL
-0.0266, 2080-2099, csiro_mk3_6_0, Apr Anomaly, NPL
0.28751, 2080-2099, csiro_mk3_6_0, May Anomaly, NPL
-0.8229, 2080-2099, csiro_mk3_6_0, Jun Anomaly, NPL
2.27298, 2080-2099, csiro_mk3_6_0, Jul Anomaly, NPL
2.25231, 2080-2099, csiro_mk3_6_0, Aug Anomaly, NPL
0.21919, 2080-2099, csiro_mk3_6_0, Sep Anomaly, NPL
-0.0242, 2080-2099, csiro_mk3_6_0, Oct Anomaly, NPL
0.17366, 2080-2099, csiro_mk3_6_0, Nov Anomaly, NPL
-0.1481, 2080-2099, csiro_mk3_6_0, Dec Anomaly, NPL
0.36582, 2080-2099, gfdl_cm3, Jan Anomaly, NPL
-0.7208, 2080-2099, gfdl_cm3, Feb Anomaly, NPL
-0.5057, 2080-2099, gfdl_cm3, Mar Anomaly, NPL
-0.2402, 2080-2099, gfdl_cm3, Apr Anomaly, NPL
-2.7672, 2080-2099, gfdl_cm3, May Anomaly, NPL
-6.4356, 2080-2099, gfdl_cm3, Jun Anomaly, NPL
-4.9694, 2080-2099, gfdl_cm3, Jul Anomaly, NPL
-7.1669, 2080-2099, gfdl_cm3, Aug Anomaly, NPL
-7.6499, 2080-2099, gfdl_cm3, Sep Anomaly, NPL
-2.9498, 2080-2099, gfdl_cm3, Oct Anomaly, NPL
-0.2849, 2080-2099, gfdl_cm3, Nov Anomaly, NPL
2.58824, 2080-2099, gfdl_cm3, Dec Anomaly, NPL
1.14759, 2080-2099, gfdl_esm2g, Jan Anomaly, NPL
1.09962, 2080-2099, gfdl_esm2g, Feb Anomaly, NPL
0.78351, 2080-2099, gfdl_esm2g, Mar Anomaly, NPL
-0.1048, 2080-2099, gfdl_esm2g, Apr Anomaly, NPL
-0.6027, 2080-2099, gfdl_esm2g, May Anomaly, NPL
0.42694, 2080-2099, gfdl_esm2g, Jun Anomaly, NPL
0.13484, 2080-2099, gfdl_esm2g, Jul Anomaly, NPL
-0.549, 2080-2099, gfdl_esm2g, Aug Anomaly, NPL
1.41871, 2080-2099, gfdl_esm2g, Sep Anomaly, NPL
2.07588, 2080-2099, gfdl_esm2g, Oct Anomaly, NPL
2.55378, 2080-2099, gfdl_esm2g, Nov Anomaly, NPL
-0.6641, 2080-2099, gfdl_esm2g, Dec Anomaly, NPL
0.21022, 2080-2099, gfdl_esm2m, Jan Anomaly, NPL
0.14854, 2080-2099, gfdl_esm2m, Feb Anomaly, NPL
0.77003, 2080-2099, gfdl_esm2m, Mar Anomaly, NPL
-1.9264, 2080-2099, gfdl_esm2m, Apr Anomaly, NPL
0.34854, 2080-2099, gfdl_esm2m, May Anomaly, NPL
-0.8369, 2080-2099, gfdl_esm2m, Jun Anomaly, NPL
-1.2435, 2080-2099, gfdl_esm2m, Jul Anomaly, NPL
-1.8318, 2080-2099, gfdl_esm2m, Aug Anomaly, NPL
-1.6272, 2080-2099, gfdl_esm2m, Sep Anomaly, NPL
-0.3745, 2080-2099, gfdl_esm2m, Oct Anomaly, NPL
1.69234, 2080-2099, gfdl_esm2m, Nov Anomaly, NPL
0.64232, 2080-2099, gfdl_esm2m, Dec Anomaly, NPL
1.87703, 2080-2099, hadgem2_ao, Jan Anomaly, NPL
3.10539, 2080-2099, hadgem2_ao, Feb Anomaly, NPL
1.33476, 2080-2099, hadgem2_ao, Mar Anomaly, NPL
-1.0672, 2080-2099, hadgem2_ao, Apr Anomaly, NPL
-0.1818, 2080-2099, hadgem2_ao, May Anomaly, NPL
-0.1434, 2080-2099, hadgem2_ao, Jun Anomaly, NPL
0.22461, 2080-2099, hadgem2_ao, Jul Anomaly, NPL
0.64984, 2080-2099, hadgem2_ao, Aug Anomaly, NPL
0.25886, 2080-2099, hadgem2_ao, Sep Anomaly, NPL
1.66177, 2080-2099, hadgem2_ao, Oct Anomaly, NPL
3.64172, 2080-2099, hadgem2_ao, Nov Anomaly, NPL
2.39575, 2080-2099, hadgem2_ao, Dec Anomaly, NPL
0.35469, 2080-2099, hadgem2_es, Jan Anomaly, NPL
