Number of Days without Noticeable Wind - (Days), Year, Model, Statistics, ISO3
0.34908, 2080-2099, hadgem2_es, Aug Anomaly, NPL
0.80765, 2080-2099, hadgem2_es, Sep Anomaly, NPL
2.4726, 2080-2099, hadgem2_es, Oct Anomaly, NPL
1.48305, 2080-2099, hadgem2_es, Nov Anomaly, NPL
0.69698, 2080-2099, hadgem2_es, Dec Anomaly, NPL
2.38468, 2080-2099, ipsl_cm5a_lr, Jan Anomaly, NPL
0.90511, 2080-2099, ipsl_cm5a_lr, Feb Anomaly, NPL
1.31855, 2080-2099, ipsl_cm5a_lr, Mar Anomaly, NPL
-0.0099, 2080-2099, ipsl_cm5a_lr, Apr Anomaly, NPL
0.15954, 2080-2099, ipsl_cm5a_lr, May Anomaly, NPL
-0.8491, 2080-2099, ipsl_cm5a_lr, Jun Anomaly, NPL
-2.8245, 2080-2099, ipsl_cm5a_lr, Jul Anomaly, NPL
-0.6695, 2080-2099, ipsl_cm5a_lr, Aug Anomaly, NPL
1.73036, 2080-2099, ipsl_cm5a_lr, Sep Anomaly, NPL
3.83837, 2080-2099, ipsl_cm5a_lr, Oct Anomaly, NPL
4.93892, 2080-2099, ipsl_cm5a_lr, Nov Anomaly, NPL
3.2636, 2080-2099, ipsl_cm5a_lr, Dec Anomaly, NPL
1.36979, 2080-2099, ipsl_cm5a_mr, Jan Anomaly, NPL
2.20381, 2080-2099, ipsl_cm5a_mr, Feb Anomaly, NPL
2.66262, 2080-2099, ipsl_cm5a_mr, Mar Anomaly, NPL
1.37516, 2080-2099, ipsl_cm5a_mr, Apr Anomaly, NPL
-0.5848, 2080-2099, ipsl_cm5a_mr, May Anomaly, NPL
-1.6337, 2080-2099, ipsl_cm5a_mr, Jun Anomaly, NPL
0.55316, 2080-2099, ipsl_cm5a_mr, Jul Anomaly, NPL
-1.0851, 2080-2099, ipsl_cm5a_mr, Aug Anomaly, NPL
0.08151, 2080-2099, ipsl_cm5a_mr, Sep Anomaly, NPL
0.53558, 2080-2099, ipsl_cm5a_mr, Oct Anomaly, NPL
1.62899, 2080-2099, ipsl_cm5a_mr, Nov Anomaly, NPL
3.76994, 2080-2099, ipsl_cm5a_mr, Dec Anomaly, NPL
3.41168, 2080-2099, miroc5, Jan Anomaly, NPL
3.53878, 2080-2099, miroc5, Feb Anomaly, NPL
2.05104, 2080-2099, miroc5, Mar Anomaly, NPL
0.11633, 2080-2099, miroc5, Apr Anomaly, NPL
-1.8466, 2080-2099, miroc5, May Anomaly, NPL
-2.6335, 2080-2099, miroc5, Jun Anomaly, NPL
-1.1329, 2080-2099, miroc5, Jul Anomaly, NPL
0.13308, 2080-2099, miroc5, Aug Anomaly, NPL
-1.3544, 2080-2099, miroc5, Sep Anomaly, NPL
-1.7701, 2080-2099, miroc5, Oct Anomaly, NPL
0.99977, 2080-2099, miroc5, Nov Anomaly, NPL
0.69956, 2080-2099, miroc5, Dec Anomaly, NPL
5.55762, 2080-2099, miroc_esm_chem, Jan Anomaly, NPL
3.37848, 2080-2099, miroc_esm_chem, Feb Anomaly, NPL
3.34658, 2080-2099, miroc_esm_chem, Mar Anomaly, NPL
3.38692, 2080-2099, miroc_esm_chem, Apr Anomaly, NPL
4.20311, 2080-2099, miroc_esm_chem, May Anomaly, NPL
2.05711, 2080-2099, miroc_esm_chem, Jun Anomaly, NPL
-2.4297, 2080-2099, miroc_esm_chem, Jul Anomaly, NPL
0.89533, 2080-2099, miroc_esm_chem, Aug Anomaly, NPL
1.4573, 2080-2099, miroc_esm_chem, Sep Anomaly, NPL
3.41602, 2080-2099, miroc_esm_chem, Oct Anomaly, NPL
3.46638, 2080-2099, miroc_esm_chem, Nov Anomaly, NPL
5.94686, 2080-2099, miroc_esm_chem, Dec Anomaly, NPL
4.80819, 2080-2099, miroc_esm, Jan Anomaly, NPL
3.65661, 2080-2099, miroc_esm, Feb Anomaly, NPL
4.02547, 2080-2099, miroc_esm, Mar Anomaly, NPL
4.42864, 2080-2099, miroc_esm, Apr Anomaly, NPL
3.7096, 2080-2099, miroc_esm, May Anomaly, NPL
2.72794, 2080-2099, miroc_esm, Jun Anomaly, NPL
-1.9568, 2080-2099, miroc_esm, Jul Anomaly, NPL
-0.0558, 2080-2099, miroc_esm, Aug Anomaly, NPL
0.43994, 2080-2099, miroc_esm, Sep Anomaly, NPL
3.82541, 2080-2099, miroc_esm, Oct Anomaly, NPL
5.05574, 2080-2099, miroc_esm, Nov Anomaly, NPL
5.55433, 2080-2099, miroc_esm, Dec Anomaly, NPL
1.30895, 2080-2099, mri_cgcm3, Jan Anomaly, NPL
1.11039, 2080-2099, mri_cgcm3, Feb Anomaly, NPL
1.02779, 2080-2099, mri_cgcm3, Mar Anomaly, NPL
-0.1502, 2080-2099, mri_cgcm3, Apr Anomaly, NPL
-0.2518, 2080-2099, mri_cgcm3, May Anomaly, NPL
0.3656, 2080-2099, mri_cgcm3, Jun Anomaly, NPL
0.0355, 2080-2099, mri_cgcm3, Jul Anomaly, NPL
-0.6184, 2080-2099, mri_cgcm3, Aug Anomaly, NPL
0.38451, 2080-2099, mri_cgcm3, Sep Anomaly, NPL
0.8165, 2080-2099, mri_cgcm3, Oct Anomaly, NPL
1.39043, 2080-2099, mri_cgcm3, Nov Anomaly, NPL
1.16505, 2080-2099, mri_cgcm3, Dec Anomaly, NPL
-3.4714, 2080-2099, Ensemble (10th Percentile), Jan Anomaly, NPL
-2.0369, 2080-2099, Ensemble (10th Percentile), Feb Anomaly, NPL
-2.118, 2080-2099, Ensemble (10th Percentile), Mar Anomaly, NPL
-2.2794, 2080-2099, Ensemble (10th Percentile), Apr Anomaly, NPL
-2.4435, 2080-2099, Ensemble (10th Percentile), May Anomaly, NPL
-2.5753, 2080-2099, Ensemble (10th Percentile), Jun Anomaly, NPL
-2.5625, 2080-2099, Ensemble (10th Percentile), Jul Anomaly, NPL
-2.8474, 2080-2099, Ensemble (10th Percentile), Aug Anomaly, NPL
-4.5779, 2080-2099, Ensemble (10th Percentile), Sep Anomaly, NPL
-5.814, 2080-2099, Ensemble (10th Percentile), Oct Anomaly, NPL
-5.0102, 2080-2099, Ensemble (10th Percentile), Nov Anomaly, NPL
-4.732, 2080-2099, Ensemble (10th Percentile), Dec Anomaly, NPL
4.83226, 2080-2099, Ensemble (50th Percentile), Jan Anomaly, NPL
3.15808, 2080-2099, Ensemble (50th Percentile), Feb Anomaly, NPL
3.11917, 2080-2099, Ensemble (50th Percentile), Mar Anomaly, NPL
2.7367, 2080-2099, Ensemble (50th Percentile), Apr Anomaly, NPL
2.45608, 2080-2099, Ensemble (50th Percentile), May Anomaly, NPL
1.41356, 2080-2099, Ensemble (50th Percentile), Jun Anomaly, NPL
-0.1782, 2080-2099, Ensemble (50th Percentile), Jul Anomaly, NPL
1.28365, 2080-2099, Ensemble (50th Percentile), Aug Anomaly, NPL
2.84284, 2080-2099, Ensemble (50th Percentile), Sep Anomaly, NPL
6.84047, 2080-2099, Ensemble (50th Percentile), Oct Anomaly, NPL
7.40288, 2080-2099, Ensemble (50th Percentile), Nov Anomaly, NPL
5.37115, 2080-2099, Ensemble (50th Percentile), Dec Anomaly, NPL
20.2774, 2080-2099, Ensemble (90th Percentile), Jan Anomaly, NPL
24.3625, 2080-2099, Ensemble (90th Percentile), Feb Anomaly, NPL
26.9863, 2080-2099, Ensemble (90th Percentile), Mar Anomaly, NPL
26.728, 2080-2099, Ensemble (90th Percentile), Apr Anomaly, NPL
28.004, 2080-2099, Ensemble (90th Percentile), May Anomaly, NPL
27.0557, 2080-2099, Ensemble (90th Percentile), Jun Anomaly, NPL
28.0642, 2080-2099, Ensemble (90th Percentile), Jul Anomaly, NPL
27.5348, 2080-2099, Ensemble (90th Percentile), Aug Anomaly, NPL
23.7465, 2080-2099, Ensemble (90th Percentile), Sep Anomaly, NPL
21.5808, 2080-2099, Ensemble (90th Percentile), Oct Anomaly, NPL
20.4645, 2080-2099, Ensemble (90th Percentile), Nov Anomaly, NPL
22.5591, 2080-2099, Ensemble (90th Percentile), Dec Anomaly, NPL
2.55064, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
1.89459, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
-43.287, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
7.72094, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
-4.7069, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
6.19997, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
10.2197, 2080-2099, hadgem2_es, Annual Anomaly, NPL
14.186, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
10.8769, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
2.21257, 2080-2099, miroc5, Annual Anomaly, NPL
34.6812, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
36.2222, 2080-2099, miroc_esm, Annual Anomaly, NPL
6.57277, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
-46.101, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
10.4378, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
109.496, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
