Number of Days without Noticeable Wind - (Days), Year, Model, Statistics, ISO3
0.51124, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
0.21715, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
-0.2764, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
-0.2535, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
-0.2575, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
-0.5833, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
-0.3778, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
-0.1395, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
0.32363, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
0.68088, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
0.38494, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
0.39801, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
-0.1478, 2040-2059, csiro_mk3_6_0, Jan Anomaly, NPL
-0.1656, 2040-2059, csiro_mk3_6_0, Feb Anomaly, NPL
-0.128, 2040-2059, csiro_mk3_6_0, Mar Anomaly, NPL
-0.2206, 2040-2059, csiro_mk3_6_0, Apr Anomaly, NPL
0.07919, 2040-2059, csiro_mk3_6_0, May Anomaly, NPL
-0.247, 2040-2059, csiro_mk3_6_0, Jun Anomaly, NPL
0.80859, 2040-2059, csiro_mk3_6_0, Jul Anomaly, NPL
2.37914, 2040-2059, csiro_mk3_6_0, Aug Anomaly, NPL
1.09461, 2040-2059, csiro_mk3_6_0, Sep Anomaly, NPL
0.17739, 2040-2059, csiro_mk3_6_0, Oct Anomaly, NPL
-0.0446, 2040-2059, csiro_mk3_6_0, Nov Anomaly, NPL
-0.0065, 2040-2059, csiro_mk3_6_0, Dec Anomaly, NPL
0.00838, 2040-2059, gfdl_esm2g, Jan Anomaly, NPL
0.91603, 2040-2059, gfdl_esm2g, Feb Anomaly, NPL
0.78117, 2040-2059, gfdl_esm2g, Mar Anomaly, NPL
-0.5103, 2040-2059, gfdl_esm2g, Apr Anomaly, NPL
-0.6243, 2040-2059, gfdl_esm2g, May Anomaly, NPL
-1.0931, 2040-2059, gfdl_esm2g, Jun Anomaly, NPL
-0.4027, 2040-2059, gfdl_esm2g, Jul Anomaly, NPL
-1.2372, 2040-2059, gfdl_esm2g, Aug Anomaly, NPL
-0.1028, 2040-2059, gfdl_esm2g, Sep Anomaly, NPL
1.11141, 2040-2059, gfdl_esm2g, Oct Anomaly, NPL
0.55562, 2040-2059, gfdl_esm2g, Nov Anomaly, NPL
-0.4957, 2040-2059, gfdl_esm2g, Dec Anomaly, NPL
1.79676, 2040-2059, hadgem2_ao, Jan Anomaly, NPL
0.10219, 2040-2059, hadgem2_ao, Feb Anomaly, NPL
0.14555, 2040-2059, hadgem2_ao, Mar Anomaly, NPL
-0.9594, 2040-2059, hadgem2_ao, Apr Anomaly, NPL
-0.0872, 2040-2059, hadgem2_ao, May Anomaly, NPL
-0.0922, 2040-2059, hadgem2_ao, Jun Anomaly, NPL
0.34889, 2040-2059, hadgem2_ao, Jul Anomaly, NPL
0.24884, 2040-2059, hadgem2_ao, Aug Anomaly, NPL
0.44014, 2040-2059, hadgem2_ao, Sep Anomaly, NPL
1.65039, 2040-2059, hadgem2_ao, Oct Anomaly, NPL
3.55119, 2040-2059, hadgem2_ao, Nov Anomaly, NPL
1.78215, 2040-2059, hadgem2_ao, Dec Anomaly, NPL
0.29615, 2040-2059, hadgem2_es, Jan Anomaly, NPL
1.37572, 2040-2059, hadgem2_es, Feb Anomaly, NPL
0.46559, 2040-2059, hadgem2_es, Mar Anomaly, NPL
-0.0633, 2040-2059, hadgem2_es, Apr Anomaly, NPL
0.42881, 2040-2059, hadgem2_es, May Anomaly, NPL
0.05999, 2040-2059, hadgem2_es, Jun Anomaly, NPL
0.22043, 2040-2059, hadgem2_es, Jul Anomaly, NPL
0.2003, 2040-2059, hadgem2_es, Aug Anomaly, NPL
0.30229, 2040-2059, hadgem2_es, Sep Anomaly, NPL
1.65412, 2040-2059, hadgem2_es, Oct Anomaly, NPL
-0.5253, 2040-2059, hadgem2_es, Nov Anomaly, NPL
-1.2637, 2040-2059, hadgem2_es, Dec Anomaly, NPL
1.52631, 2040-2059, ipsl_cm5a_mr, Jan Anomaly, NPL
0.95634, 2040-2059, ipsl_cm5a_mr, Feb Anomaly, NPL
0.42744, 2040-2059, ipsl_cm5a_mr, Mar Anomaly, NPL
0.76321, 2040-2059, ipsl_cm5a_mr, Apr Anomaly, NPL
-0.5091, 2040-2059, ipsl_cm5a_mr, May Anomaly, NPL
-1.0522, 2040-2059, ipsl_cm5a_mr, Jun Anomaly, NPL
-0.6874, 2040-2059, ipsl_cm5a_mr, Jul Anomaly, NPL
-0.8576, 2040-2059, ipsl_cm5a_mr, Aug Anomaly, NPL
0.70777, 2040-2059, ipsl_cm5a_mr, Sep Anomaly, NPL
0.71411, 2040-2059, ipsl_cm5a_mr, Oct Anomaly, NPL
0.25877, 2040-2059, ipsl_cm5a_mr, Nov Anomaly, NPL
1.37507, 2040-2059, ipsl_cm5a_mr, Dec Anomaly, NPL
0.42219, 2040-2059, miroc5, Jan Anomaly, NPL
1.06636, 2040-2059, miroc5, Feb Anomaly, NPL
1.29284, 2040-2059, miroc5, Mar Anomaly, NPL
-0.4338, 2040-2059, miroc5, Apr Anomaly, NPL
-1.0367, 2040-2059, miroc5, May Anomaly, NPL
-1.1412, 2040-2059, miroc5, Jun Anomaly, NPL
-0.792, 2040-2059, miroc5, Jul Anomaly, NPL
0.08374, 2040-2059, miroc5, Aug Anomaly, NPL
-1.4351, 2040-2059, miroc5, Sep Anomaly, NPL
-0.6533, 2040-2059, miroc5, Oct Anomaly, NPL
-0.3821, 2040-2059, miroc5, Nov Anomaly, NPL
0.36499, 2040-2059, miroc5, Dec Anomaly, NPL
1.58646, 2040-2059, miroc_esm_chem, Jan Anomaly, NPL
1.14, 2040-2059, miroc_esm_chem, Feb Anomaly, NPL
0.37948, 2040-2059, miroc_esm_chem, Mar Anomaly, NPL
1.26985, 2040-2059, miroc_esm_chem, Apr Anomaly, NPL
