Number of Days without Noticeable Wind - (Days), Year, Model, Statistics, ISO3
0.91743, 2020-2039, access1_0, Jan Anomaly, NPL
0.58057, 2020-2039, access1_0, Feb Anomaly, NPL
-0.5637, 2020-2039, access1_0, Mar Anomaly, NPL
-0.3273, 2020-2039, access1_0, Apr Anomaly, NPL
-0.0933, 2020-2039, access1_0, May Anomaly, NPL
0.0158, 2020-2039, access1_0, Jun Anomaly, NPL
-0.1563, 2020-2039, access1_0, Jul Anomaly, NPL
-0.1025, 2020-2039, access1_0, Aug Anomaly, NPL
0.09225, 2020-2039, access1_0, Sep Anomaly, NPL
0.42444, 2020-2039, access1_0, Oct Anomaly, NPL
-0.0291, 2020-2039, access1_0, Nov Anomaly, NPL
-0.9907, 2020-2039, access1_0, Dec Anomaly, NPL
-0.1668, 2020-2039, access1_3, Jan Anomaly, NPL
0.21518, 2020-2039, access1_3, Feb Anomaly, NPL
0.17487, 2020-2039, access1_3, Mar Anomaly, NPL
0.08972, 2020-2039, access1_3, Apr Anomaly, NPL
0.06245, 2020-2039, access1_3, May Anomaly, NPL
0.0415, 2020-2039, access1_3, Jun Anomaly, NPL
-0.0164, 2020-2039, access1_3, Jul Anomaly, NPL
-0.028, 2020-2039, access1_3, Aug Anomaly, NPL
0.32018, 2020-2039, access1_3, Sep Anomaly, NPL
0.13097, 2020-2039, access1_3, Oct Anomaly, NPL
0.17719, 2020-2039, access1_3, Nov Anomaly, NPL
0.0267, 2020-2039, access1_3, Dec Anomaly, NPL
0.68828, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
0.0966, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
-0.1493, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
-0.0193, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
-0.2457, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
-0.1893, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
-0.1584, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
-0.1635, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
0.11746, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
0.89403, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
0.67519, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
0.44468, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
-0.2713, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
-0.0749, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
-0.0153, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
-0.0284, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
0.0655, 2020-2039, bcc_csm1_1, May Anomaly, NPL
0.19813, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
0.14732, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
