Number of Days without Noticeable Wind - (Days), Year, Model, Statistics, ISO3
0.10638, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
0.16979, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
-0.1144, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
-0.1144, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
-0.038, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
0.0223, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
-0.5281, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
0.56739, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
-0.1667, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
0.78307, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
0.32642, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
0.27959, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
0.42501, 2020-2039, bnu_esm, Jan Anomaly, NPL
0.55776, 2020-2039, bnu_esm, Feb Anomaly, NPL
-0.1248, 2020-2039, bnu_esm, Mar Anomaly, NPL
-0.1178, 2020-2039, bnu_esm, Apr Anomaly, NPL
-0.0895, 2020-2039, bnu_esm, May Anomaly, NPL
-0.2253, 2020-2039, bnu_esm, Jun Anomaly, NPL
0.12197, 2020-2039, bnu_esm, Jul Anomaly, NPL
0.07094, 2020-2039, bnu_esm, Aug Anomaly, NPL
-0.129, 2020-2039, bnu_esm, Sep Anomaly, NPL
-0.1528, 2020-2039, bnu_esm, Oct Anomaly, NPL
-1.0933, 2020-2039, bnu_esm, Nov Anomaly, NPL
0.14034, 2020-2039, bnu_esm, Dec Anomaly, NPL
1.0987, 2020-2039, cnrm_cm5, Jan Anomaly, NPL
0.51972, 2020-2039, cnrm_cm5, Feb Anomaly, NPL
0.13302, 2020-2039, cnrm_cm5, Mar Anomaly, NPL
1.01782, 2020-2039, cnrm_cm5, Apr Anomaly, NPL
-0.5014, 2020-2039, cnrm_cm5, May Anomaly, NPL
-1.0124, 2020-2039, cnrm_cm5, Jun Anomaly, NPL
-0.1407, 2020-2039, cnrm_cm5, Jul Anomaly, NPL
0.56534, 2020-2039, cnrm_cm5, Aug Anomaly, NPL
0.75644, 2020-2039, cnrm_cm5, Sep Anomaly, NPL
0.40586, 2020-2039, cnrm_cm5, Oct Anomaly, NPL
0.91393, 2020-2039, cnrm_cm5, Nov Anomaly, NPL
1.72328, 2020-2039, cnrm_cm5, Dec Anomaly, NPL
1.25421, 2020-2039, gfdl_cm3, Jan Anomaly, NPL
0.25801, 2020-2039, gfdl_cm3, Feb Anomaly, NPL
0.4213, 2020-2039, gfdl_cm3, Mar Anomaly, NPL
-0.247, 2020-2039, gfdl_cm3, Apr Anomaly, NPL
-0.8119, 2020-2039, gfdl_cm3, May Anomaly, NPL
-4.7903, 2020-2039, gfdl_cm3, Jun Anomaly, NPL
-2.6983, 2020-2039, gfdl_cm3, Jul Anomaly, NPL
-0.3335, 2020-2039, gfdl_cm3, Aug Anomaly, NPL
1.18821, 2020-2039, gfdl_cm3, Sep Anomaly, NPL
0.74785, 2020-2039, gfdl_cm3, Oct Anomaly, NPL
0.47213, 2020-2039, gfdl_cm3, Nov Anomaly, NPL
2.14041, 2020-2039, gfdl_cm3, Dec Anomaly, NPL
0.99419, 2020-2039, gfdl_esm2g, Jan Anomaly, NPL
1.60144, 2020-2039, gfdl_esm2g, Feb Anomaly, NPL
