Name of glacier lake,Area (M2),Volume (M3),Mean depth (M),Type of lake
Gruben Lake 5,10000,50000,5,Thermokarst
Gruben Lake 1,23000,240000,10.4,Moraine-dammed
Lac d' Arsine,59000,800000,13.6,Moraine-dammed
Nostetuko lake,262200,7500000,28.6,Moraine-dammed
Gjanupsvatn,600000,20000000,33.3,Ice-dammed
Abmachimai Cho,565000,19400000,34.3,Moraine-dammed
Gokyo Lake,400000,21000000,40,Ice-dammed
Gelhaipu Cho,580000,25500000,42,Moraine-dammed
Thulagi,760000,31800000,42,Moraine-dammed
Lower Barun,600000,28000000,47,Moraine-dammed
Imja Tsho,750000,33480000,48,Moraine-dammed
Tsho Rolpa,1390000,76600000,55.1,Moraine-dammed
Quangzongk Cho,760000,21700000,29,Moraine-dammed
