FID,id_punto,agno,anomalia_etp_anual,geom
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e78,40335,2001,-7.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e79,40335,2002,-22.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e7a,40335,2003,-31.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e7b,40335,2004,10.88,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e7c,40335,2005,-13.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e7d,40335,2006,-1.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e7e,40335,2007,4.88,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e7f,40335,2008,-31.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e80,40335,2009,16.88,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e81,40335,2010,-4.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e82,40335,2011,-28.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e83,40335,2012,-7.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e84,40336,2001,-17.19,POINT (8989048.88155684 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e85,40336,2002,-29.19,POINT (8989048.88155684 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e86,40336,2003,-29.19,POINT (8989048.88155684 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e87,40336,2004,-2.19,POINT (8989048.88155684 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e88,40336,2005,-11.19,POINT (8989048.88155684 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e89,40336,2006,-5.19,POINT (8989048.88155684 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e8a,40336,2007,9.8,POINT (8989048.88155684 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e8b,40336,2008,-20.19,POINT (8989048.88155684 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e8c,40336,2009,9.8,POINT (8989048.88155684 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e8d,40336,2010,-2.19,POINT (8989048.88155684 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e8e,40336,2011,-26.19,POINT (8989048.88155684 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e8f,40336,2012,-2.19,POINT (8989048.88155684 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e90,40337,2001,-17.07,POINT (9044708.626953477 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e91,40337,2002,-41.07,POINT (9044708.626953477 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e92,40337,2003,-32.07,POINT (9044708.626953477 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e93,40337,2004,-5.07,POINT (9044708.626953477 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e94,40337,2005,-14.07,POINT (9044708.626953477 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e95,40337,2006,-14.07,POINT (9044708.626953477 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e96,40337,2007,15.92,POINT (9044708.626953477 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e97,40337,2008,-17.07,POINT (9044708.626953477 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e98,40337,2009,-8.07,POINT (9044708.626953477 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e99,40337,2010,-8.07,POINT (9044708.626953477 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e9a,40337,2011,-26.07,POINT (9044708.626953477 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e9b,40337,2012,-11.07,POINT (9044708.626953477 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e9c,40338,2001,-11.97,POINT (9100368.372350115 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e9d,40338,2002,-35.97,POINT (9100368.372350115 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e9e,40338,2003,-29.97,POINT (9100368.372350115 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7e9f,40338,2004,3.02,POINT (9100368.372350115 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7ea0,40338,2005,-8.97,POINT (9100368.372350115 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7ea1,40338,2006,-5.97,POINT (9100368.372350115 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7ea2,40338,2007,15.02,POINT (9100368.372350115 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7ea3,40338,2008,-14.97,POINT (9100368.372350115 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7ea4,40338,2009,3.02,POINT (9100368.372350115 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7ea5,40338,2010,-5.97,POINT (9100368.372350115 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7ea6,40338,2011,-23.97,POINT (9100368.372350115 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7ea7,40338,2012,-8.97,POINT (9100368.372350115 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7ea8,40339,2001,-13.35,POINT (9156028.117746752 3535725.659799159)
