FID,id_punto,agno,anomalia_temp_max_anual,geom
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7278,40335,2001,0.4,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7279,40335,2002,0.5,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_727a,40335,2003,0.38,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_727b,40335,2004,1.13,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_727c,40335,2005,0.33,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_727d,40335,2006,0.91,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_727e,40335,2007,0.94,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_727f,40335,2008,0.43,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7280,40335,2009,0.97,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7281,40335,2010,1.07,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7282,40335,2011,0.16,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7283,40335,2012,-0.01,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7284,40336,2001,0.42,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7285,40336,2002,0.52,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7286,40336,2003,0.43,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7287,40336,2004,1.15,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7288,40336,2005,0.34,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7289,40336,2006,0.92,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_728a,40336,2007,0.99,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_728b,40336,2008,0.5,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_728c,40336,2009,0.95,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_728d,40336,2010,1.1,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_728e,40336,2011,0.2,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_728f,40336,2012,0.07,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7290,40337,2001,0.48,POINT (9044708.626953477 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7291,40337,2002,0.54,POINT (9044708.626953477 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7292,40337,2003,0.46,POINT (9044708.626953477 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7293,40337,2004,1.15,POINT (9044708.626953477 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7294,40337,2005,0.4,POINT (9044708.626953477 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7295,40337,2006,0.95,POINT (9044708.626953477 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7296,40337,2007,1.13,POINT (9044708.626953477 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7297,40337,2008,0.61,POINT (9044708.626953477 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7298,40337,2009,1,POINT (9044708.626953477 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7299,40337,2010,1.23,POINT (9044708.626953477 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_729a,40337,2011,0.29,POINT (9044708.626953477 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_729b,40337,2012,0.2,POINT (9044708.626953477 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_729c,40338,2001,0.53,POINT (9100368.372350115 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_729d,40338,2002,0.54,POINT (9100368.372350115 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_729e,40338,2003,0.51,POINT (9100368.372350115 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_729f,40338,2004,1.13,POINT (9100368.372350115 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72a0,40338,2005,0.41,POINT (9100368.372350115 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72a1,40338,2006,0.96,POINT (9100368.372350115 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72a2,40338,2007,1.21,POINT (9100368.372350115 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72a3,40338,2008,0.69,POINT (9100368.372350115 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72a4,40338,2009,1,POINT (9100368.372350115 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72a5,40338,2010,1.29,POINT (9100368.372350115 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72a6,40338,2011,0.37,POINT (9100368.372350115 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72a7,40338,2012,0.3,POINT (9100368.372350115 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72a8,40339,2001,0.62,POINT (9156028.117746752 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72a9,40339,2002,0.58,POINT (9156028.117746752 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72aa,40339,2003,0.55,POINT (9156028.117746752 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72ab,40339,2004,1.14,POINT (9156028.117746752 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72ac,40339,2005,0.46,POINT (9156028.117746752 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72ad,40339,2006,0.97,POINT (9156028.117746752 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72ae,40339,2007,1.33,POINT (9156028.117746752 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72af,40339,2008,0.79,POINT (9156028.117746752 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72b0,40339,2009,1.02,POINT (9156028.117746752 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72b1,40339,2010,1.37,POINT (9156028.117746752 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72b2,40339,2011,0.46,POINT (9156028.117746752 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72b3,40339,2012,0.42,POINT (9156028.117746752 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72b4,40340,2001,0.67,POINT (9211687.863143386 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72b5,40340,2002,0.59,POINT (9211687.863143386 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72b6,40340,2003,0.61,POINT (9211687.863143386 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72b7,40340,2004,1.12,POINT (9211687.863143386 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72b8,40340,2005,0.48,POINT (9211687.863143386 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72b9,40340,2006,0.97,POINT (9211687.863143386 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72ba,40340,2007,1.38,POINT (9211687.863143386 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72bb,40340,2008,0.8,POINT (9211687.863143386 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72bc,40340,2009,1.08,POINT (9211687.863143386 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72bd,40340,2010,1.44,POINT (9211687.863143386 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72be,40340,2011,0.51,POINT (9211687.863143386 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72bf,40340,2012,0.47,POINT (9211687.863143386 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72c0,40341,2001,0.74,POINT (9267347.608540025 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72c1,40341,2002,0.62,POINT (9267347.608540025 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72c2,40341,2003,0.66,POINT (9267347.608540025 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72c3,40341,2004,1.15,POINT (9267347.608540025 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72c4,40341,2005,0.49,POINT (9267347.608540025 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72c5,40341,2006,0.97,POINT (9267347.608540025 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72c6,40341,2007,1.39,POINT (9267347.608540025 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72c7,40341,2008,0.79,POINT (9267347.608540025 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72c8,40341,2009,1.12,POINT (9267347.608540025 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72c9,40341,2010,1.47,POINT (9267347.608540025 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72ca,40341,2011,0.51,POINT (9267347.608540025 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72cb,40341,2012,0.47,POINT (9267347.608540025 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72cc,40342,2001,0.83,POINT (9323007.353936663 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72cd,40342,2002,0.6,POINT (9323007.353936663 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72ce,40342,2003,0.73,POINT (9323007.353936663 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72cf,40342,2004,1.16,POINT (9323007.353936663 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72d0,40342,2005,0.55,POINT (9323007.353936663 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72d1,40342,2006,0.98,POINT (9323007.353936663 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72d2,40342,2007,1.38,POINT (9323007.353936663 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_72d3,40342,2008,0.74,POINT (9323007.353936663 3535725.659799159)
