FID,id_punto,agno,seasonality_index,geom
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b87,40335,2001,0.77,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b86,40335,2002,0.73,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b85,40335,2003,0.64,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b84,40335,2004,0.74,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b83,40335,2005,0.82,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b82,40335,2006,0.87,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b81,40335,2007,0.79,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b80,40335,2008,0.97,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b7f,40335,2009,0.84,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b7e,40335,2010,0.94,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b7d,40335,2011,0.85,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b7c,40335,2012,0.94,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b7b,40336,2001,0.72,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b7a,40336,2002,0.64,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b79,40336,2003,0.55,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b78,40336,2004,0.66,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b77,40336,2005,0.72,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b76,40336,2006,0.83,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b75,40336,2007,0.79,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b74,40336,2008,0.92,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b73,40336,2009,0.78,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b72,40336,2010,0.88,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b71,40336,2011,0.78,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b70,40336,2012,0.85,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b6f,40337,2001,0.68,POINT (9044708.626953477 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b6e,40337,2002,0.59,POINT (9044708.626953477 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b6d,40337,2003,0.54,POINT (9044708.626953477 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b6c,40337,2004,0.55,POINT (9044708.626953477 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b6b,40337,2005,0.64,POINT (9044708.626953477 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b6a,40337,2006,0.79,POINT (9044708.626953477 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b69,40337,2007,0.78,POINT (9044708.626953477 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b68,40337,2008,0.89,POINT (9044708.626953477 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b67,40337,2009,0.75,POINT (9044708.626953477 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b66,40337,2010,0.83,POINT (9044708.626953477 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b65,40337,2011,0.75,POINT (9044708.626953477 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b64,40337,2012,0.78,POINT (9044708.626953477 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b63,40338,2001,0.67,POINT (9100368.372350115 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b62,40338,2002,0.6,POINT (9100368.372350115 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b61,40338,2003,0.58,POINT (9100368.372350115 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b60,40338,2004,0.52,POINT (9100368.372350115 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b5f,40338,2005,0.62,POINT (9100368.372350115 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b5e,40338,2006,0.79,POINT (9100368.372350115 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b5d,40338,2007,0.73,POINT (9100368.372350115 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b5c,40338,2008,0.92,POINT (9100368.372350115 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b5b,40338,2009,0.81,POINT (9100368.372350115 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b5a,40338,2010,0.81,POINT (9100368.372350115 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_17a375593c2_-7b59,40338,2011,0.81,POINT (9100368.372350115 3535725.659799159)
