FID,id_punto,agno,pre_anual,geom
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_3878,40335,2001,496.5,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_3879,40335,2002,630.3,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_387a,40335,2003,692.4,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_387b,40335,2004,352.5,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_387c,40335,2005,516,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_387d,40335,2006,572.2,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_387e,40335,2007,608.6,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_387f,40335,2008,508.5,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_3880,40335,2009,553.7,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_3881,40335,2010,510.9,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_3882,40335,2011,881,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_3883,40335,2012,612.3,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_3884,40335,2013,1245.4,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_3885,40335,2014,1101.3,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_3886,40335,2015,1094.4,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_3887,40335,2016,1059.4,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_3888,40335,2017,1129.4,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_3889,40335,2018,1194.8,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_388a,40335,2019,1100.2,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_388b,40335,2020,1095.4,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_388c,40336,2001,443.5,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_388d,40336,2002,530.4,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_388e,40336,2003,581.7,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_388f,40336,2004,329.3,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_3890,40336,2005,453.7,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_3891,40336,2006,500.2,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_3892,40336,2007,566.8,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_3893,40336,2008,453.7,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_3894,40336,2009,465.5,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_3895,40336,2010,473.9,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_3896,40336,2011,724,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_3897,40336,2012,525.2,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_3898,40336,2013,1245.4,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_3899,40336,2014,1101.3,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_389a,40336,2015,1094.4,POINT (8989048.88155684 3535725.659799159)
