FID,id_punto,agno,temp_max_anual,geom
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6c90,40337,2001,2.78,POINT (9044708.626953477 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6c91,40337,2002,2.84,POINT (9044708.626953477 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6c92,40337,2003,2.76,POINT (9044708.626953477 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6c93,40337,2004,3.45,POINT (9044708.626953477 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6c94,40337,2005,2.7,POINT (9044708.626953477 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6c95,40337,2006,3.25,POINT (9044708.626953477 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6c96,40337,2007,3.43,POINT (9044708.626953477 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6c97,40337,2008,2.91,POINT (9044708.626953477 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6c98,40337,2009,3.3,POINT (9044708.626953477 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6c99,40337,2010,3.53,POINT (9044708.626953477 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6c9a,40337,2011,2.59,POINT (9044708.626953477 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6c9b,40337,2012,2.5,POINT (9044708.626953477 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6c9c,40338,2001,5.43,POINT (9100368.372350115 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6c9d,40338,2002,5.44,POINT (9100368.372350115 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6c9e,40338,2003,5.41,POINT (9100368.372350115 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6c9f,40338,2004,6.03,POINT (9100368.372350115 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ca0,40338,2005,5.31,POINT (9100368.372350115 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ca1,40338,2006,5.86,POINT (9100368.372350115 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ca2,40338,2007,6.11,POINT (9100368.372350115 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ca3,40338,2008,5.59,POINT (9100368.372350115 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ca4,40338,2009,5.9,POINT (9100368.372350115 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ca5,40338,2010,6.19,POINT (9100368.372350115 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ca6,40338,2011,5.27,POINT (9100368.372350115 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ca7,40338,2012,5.2,POINT (9100368.372350115 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ca8,40339,2001,4.25,POINT (9156028.117746752 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ca9,40339,2002,4.21,POINT (9156028.117746752 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6caa,40339,2003,4.18,POINT (9156028.117746752 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cab,40339,2004,4.77,POINT (9156028.117746752 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cac,40339,2005,4.09,POINT (9156028.117746752 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cad,40339,2006,4.6,POINT (9156028.117746752 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cae,40339,2007,4.96,POINT (9156028.117746752 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6caf,40339,2008,4.42,POINT (9156028.117746752 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cb0,40339,2009,4.65,POINT (9156028.117746752 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cb1,40339,2010,5,POINT (9156028.117746752 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cb2,40339,2011,4.09,POINT (9156028.117746752 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cb3,40339,2012,4.05,POINT (9156028.117746752 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cb4,40340,2001,5.8,POINT (9211687.863143386 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cb5,40340,2002,5.72,POINT (9211687.863143386 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cb6,40340,2003,5.74,POINT (9211687.863143386 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cb7,40340,2004,6.25,POINT (9211687.863143386 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cb8,40340,2005,5.61,POINT (9211687.863143386 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cb9,40340,2006,6.1,POINT (9211687.863143386 3535725.659799159)
