FID,id_punto,agno,temp_anual,geom
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c78,40335,2001,4.06,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c79,40335,2002,4.15,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c7a,40335,2003,3.81,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c7b,40335,2004,4.55,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c7c,40335,2005,3.82,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c7d,40335,2006,4.6,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c7e,40335,2007,4.32,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c7f,40335,2008,4.15,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c80,40335,2009,4.49,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c81,40335,2010,4.54,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c82,40335,2011,3.93,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c83,40335,2012,3.93,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c84,40335,2013,0.2,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c85,40335,2014,2.13,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c86,40335,2015,2.89,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c87,40335,2016,3.54,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c88,40335,2017,3.04,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c89,40335,2018,2.55,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c8a,40335,2019,2.4,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c8b,40335,2020,2.18,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c8c,40336,2001,-0.65,POINT (8989048.88155684 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c8d,40336,2002,-0.58,POINT (8989048.88155684 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c8e,40336,2003,-0.88,POINT (8989048.88155684 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c8f,40336,2004,-0.19,POINT (8989048.88155684 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c90,40336,2005,-0.88,POINT (8989048.88155684 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c91,40336,2006,-0.15,POINT (8989048.88155684 3535725.659799159)
