FID,id_punto,agno,temp_min_anual,geom
temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6078,40335,2001,-1.6,POINT (8933389.136160204 3535725.659799159)
temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6079,40335,2002,-1.55,POINT (8933389.136160204 3535725.659799159)
temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_607a,40335,2003,-2.08,POINT (8933389.136160204 3535725.659799159)
temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_607b,40335,2004,-1.38,POINT (8933389.136160204 3535725.659799159)
temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_607c,40335,2005,-2.05,POINT (8933389.136160204 3535725.659799159)
temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_607d,40335,2006,-1.06,POINT (8933389.136160204 3535725.659799159)
temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_607e,40335,2007,-1.65,POINT (8933389.136160204 3535725.659799159)
temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_607f,40335,2008,-1.5,POINT (8933389.136160204 3535725.659799159)
temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6080,40335,2009,-1.31,POINT (8933389.136160204 3535725.659799159)
temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6081,40335,2010,-1.34,POINT (8933389.136160204 3535725.659799159)
temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6082,40335,2011,-1.63,POINT (8933389.136160204 3535725.659799159)
temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6083,40335,2012,-1.48,POINT (8933389.136160204 3535725.659799159)
temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6084,40336,2001,-6.83,POINT (8989048.88155684 3535725.659799159)
temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6085,40336,2002,-6.79,POINT (8989048.88155684 3535725.659799159)
temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6086,40336,2003,-7.3,POINT (8989048.88155684 3535725.659799159)
temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6087,40336,2004,-6.63,POINT (8989048.88155684 3535725.659799159)
temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6088,40336,2005,-7.22,POINT (8989048.88155684 3535725.659799159)
temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6089,40336,2006,-6.35,POINT (8989048.88155684 3535725.659799159)
temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_608a,40336,2007,-6.84,POINT (8989048.88155684 3535725.659799159)
temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_608b,40336,2008,-6.68,POINT (8989048.88155684 3535725.659799159)
temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_608c,40336,2009,-6.59,POINT (8989048.88155684 3535725.659799159)
