FID,id_punto,agno,etp_anual,geom
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7878,40335,2001,936,POINT (8933389.136160204 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7879,40335,2002,921,POINT (8933389.136160204 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_787a,40335,2003,912,POINT (8933389.136160204 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_787b,40335,2004,954,POINT (8933389.136160204 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_787c,40335,2005,930,POINT (8933389.136160204 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_787d,40335,2006,942,POINT (8933389.136160204 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_787e,40335,2007,948,POINT (8933389.136160204 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_787f,40335,2008,912,POINT (8933389.136160204 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7880,40335,2009,960,POINT (8933389.136160204 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7881,40335,2010,939,POINT (8933389.136160204 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7882,40335,2011,915,POINT (8933389.136160204 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7883,40335,2012,936,POINT (8933389.136160204 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7884,40336,2001,822,POINT (8989048.88155684 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7885,40336,2002,810,POINT (8989048.88155684 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7886,40336,2003,810,POINT (8989048.88155684 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7887,40336,2004,837,POINT (8989048.88155684 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7888,40336,2005,828,POINT (8989048.88155684 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7889,40336,2006,834,POINT (8989048.88155684 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_788a,40336,2007,849,POINT (8989048.88155684 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_788b,40336,2008,819,POINT (8989048.88155684 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_788c,40336,2009,849,POINT (8989048.88155684 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_788d,40336,2010,837,POINT (8989048.88155684 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_788e,40336,2011,813,POINT (8989048.88155684 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_788f,40336,2012,837,POINT (8989048.88155684 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7890,40337,2001,711,POINT (9044708.626953477 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7891,40337,2002,687,POINT (9044708.626953477 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7892,40337,2003,696,POINT (9044708.626953477 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7893,40337,2004,723,POINT (9044708.626953477 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7894,40337,2005,714,POINT (9044708.626953477 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7895,40337,2006,714,POINT (9044708.626953477 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7896,40337,2007,744,POINT (9044708.626953477 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7897,40337,2008,711,POINT (9044708.626953477 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7898,40337,2009,720,POINT (9044708.626953477 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7899,40337,2010,720,POINT (9044708.626953477 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_789a,40337,2011,702,POINT (9044708.626953477 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_789b,40337,2012,717,POINT (9044708.626953477 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_789c,40338,2001,804,POINT (9100368.372350115 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_789d,40338,2002,780,POINT (9100368.372350115 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_789e,40338,2003,786,POINT (9100368.372350115 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_789f,40338,2004,819,POINT (9100368.372350115 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78a0,40338,2005,807,POINT (9100368.372350115 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78a1,40338,2006,810,POINT (9100368.372350115 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78a2,40338,2007,831,POINT (9100368.372350115 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78a3,40338,2008,801,POINT (9100368.372350115 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78a4,40338,2009,819,POINT (9100368.372350115 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78a5,40338,2010,810,POINT (9100368.372350115 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78a6,40338,2011,792,POINT (9100368.372350115 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78a7,40338,2012,807,POINT (9100368.372350115 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78a8,40339,2001,750,POINT (9156028.117746752 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78a9,40339,2002,723,POINT (9156028.117746752 3535725.659799159)
