FID,id_punto,agno,anomalia_temp_anual,geom
anomalias_temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_5678,40335,2001,0.81,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_5679,40335,2002,0.9,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_567a,40335,2003,0.56,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_567b,40335,2004,1.3,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_567c,40335,2005,0.57,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_567d,40335,2006,1.35,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_567e,40335,2007,1.07,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_567f,40335,2008,0.9,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_5680,40335,2009,1.24,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_5681,40335,2010,1.29,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_5682,40335,2011,0.68,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_5683,40335,2012,0.68,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_5684,40335,2013,-3.04,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_5685,40335,2014,-1.11,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_5686,40335,2015,-0.35,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_5687,40335,2016,0.29,POINT (8933389.136160204 3535725.659799159)
