FID,id_punto,agno,anomalia_pre_anual,geom
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4278,40335,2001,-291.08,POINT (8933389.136160204 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4279,40335,2002,-157.28,POINT (8933389.136160204 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_427a,40335,2003,-95.18,POINT (8933389.136160204 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_427b,40335,2004,-435.08,POINT (8933389.136160204 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_427c,40335,2005,-271.58,POINT (8933389.136160204 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_427d,40335,2006,-215.38,POINT (8933389.136160204 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_427e,40335,2007,-178.98,POINT (8933389.136160204 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_427f,40335,2008,-279.08,POINT (8933389.136160204 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4280,40335,2009,-233.88,POINT (8933389.136160204 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4281,40335,2010,-276.68,POINT (8933389.136160204 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4282,40335,2011,93.41,POINT (8933389.136160204 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4283,40335,2012,-175.28,POINT (8933389.136160204 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4284,40335,2013,457.81,POINT (8933389.136160204 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4285,40335,2014,313.71,POINT (8933389.136160204 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4286,40335,2015,306.81,POINT (8933389.136160204 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4287,40335,2016,271.81,POINT (8933389.136160204 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4288,40335,2017,341.81,POINT (8933389.136160204 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4289,40335,2018,407.21,POINT (8933389.136160204 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_428a,40335,2019,312.61,POINT (8933389.136160204 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_428b,40335,2020,307.81,POINT (8933389.136160204 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_428c,40336,2001,-218.32,POINT (8989048.88155684 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_428d,40336,2002,-131.42,POINT (8989048.88155684 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_428e,40336,2003,-80.12,POINT (8989048.88155684 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_428f,40336,2004,-332.52,POINT (8989048.88155684 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4290,40336,2005,-208.12,POINT (8989048.88155684 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4291,40336,2006,-161.62,POINT (8989048.88155684 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4292,40336,2007,-95.02,POINT (8989048.88155684 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4293,40336,2008,-208.12,POINT (8989048.88155684 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4294,40336,2009,-196.32,POINT (8989048.88155684 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4295,40336,2010,-187.92,POINT (8989048.88155684 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4296,40336,2011,62.17,POINT (8989048.88155684 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4297,40336,2012,-136.62,POINT (8989048.88155684 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4298,40336,2013,583.57,POINT (8989048.88155684 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4299,40336,2014,439.47,POINT (8989048.88155684 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_429a,40336,2015,432.57,POINT (8989048.88155684 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_429b,40336,2016,397.57,POINT (8989048.88155684 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_429c,40336,2017,467.57,POINT (8989048.88155684 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_429d,40336,2018,532.97,POINT (8989048.88155684 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_429e,40336,2019,438.37,POINT (8989048.88155684 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_429f,40336,2020,433.57,POINT (8989048.88155684 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_42a0,40337,2001,-172.29,POINT (9044708.626953477 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_42a1,40337,2002,-104.09,POINT (9044708.626953477 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_42a2,40337,2003,-54.89,POINT (9044708.626953477 3535725.659799159)
anomalias_pre_anual_espacial_p.fid--5ff12b53_17a374f8fe9_42a3,40337,2004,-260.69,POINT (9044708.626953477 3535725.659799159)
