FID,id_punto,agno,anomalia_temp_min_anual,geom
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6695,40337,2006,1.78,POINT (9044708.626953477 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6696,40337,2007,1.33,POINT (9044708.626953477 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6697,40337,2008,1.48,POINT (9044708.626953477 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6698,40337,2009,1.44,POINT (9044708.626953477 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6699,40337,2010,1.54,POINT (9044708.626953477 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_669a,40337,2011,1.28,POINT (9044708.626953477 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_669b,40337,2012,1.48,POINT (9044708.626953477 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_669c,40338,2001,1.37,POINT (9100368.372350115 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_669d,40338,2002,1.36,POINT (9100368.372350115 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_669e,40338,2003,0.9,POINT (9100368.372350115 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_669f,40338,2004,1.49,POINT (9100368.372350115 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66a0,40338,2005,1.03,POINT (9100368.372350115 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66a1,40338,2006,1.76,POINT (9100368.372350115 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66a2,40338,2007,1.39,POINT (9100368.372350115 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66a3,40338,2008,1.52,POINT (9100368.372350115 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66a4,40338,2009,1.38,POINT (9100368.372350115 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66a5,40338,2010,1.57,POINT (9100368.372350115 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66a6,40338,2011,1.29,POINT (9100368.372350115 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66a7,40338,2012,1.5,POINT (9100368.372350115 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66a8,40339,2001,1.39,POINT (9156028.117746752 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66a9,40339,2002,1.38,POINT (9156028.117746752 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66aa,40339,2003,0.93,POINT (9156028.117746752 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66ab,40339,2004,1.48,POINT (9156028.117746752 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66ac,40339,2005,1.08,POINT (9156028.117746752 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66ad,40339,2006,1.77,POINT (9156028.117746752 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66ae,40339,2007,1.43,POINT (9156028.117746752 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66af,40339,2008,1.59,POINT (9156028.117746752 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66b0,40339,2009,1.32,POINT (9156028.117746752 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66b1,40339,2010,1.56,POINT (9156028.117746752 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66b2,40339,2011,1.3,POINT (9156028.117746752 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66b3,40339,2012,1.55,POINT (9156028.117746752 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66b4,40340,2001,1.42,POINT (9211687.863143386 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66b5,40340,2002,1.39,POINT (9211687.863143386 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66b6,40340,2003,0.99,POINT (9211687.863143386 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66b7,40340,2004,1.46,POINT (9211687.863143386 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66b8,40340,2005,1.15,POINT (9211687.863143386 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66b9,40340,2006,1.74,POINT (9211687.863143386 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66ba,40340,2007,1.45,POINT (9211687.863143386 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66bb,40340,2008,1.56,POINT (9211687.863143386 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66bc,40340,2009,1.23,POINT (9211687.863143386 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66bd,40340,2010,1.54,POINT (9211687.863143386 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66be,40340,2011,1.29,POINT (9211687.863143386 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66bf,40340,2012,1.49,POINT (9211687.863143386 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66c0,40341,2001,1.5,POINT (9267347.608540025 3535725.659799159)
