Expected Largest Monthly Rainfall Amount in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
193.421, 2040-2059, access1_0, Annual Anomaly, NPL
425.802, 2040-2059, access1_3, Annual Anomaly, NPL
130.111, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
232.903, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
247.553, 2040-2059, bnu_esm, Annual Anomaly, NPL
234.469, 2040-2059, canesm2, Annual Anomaly, NPL
477.501, 2040-2059, ccsm4, Annual Anomaly, NPL
437.887, 2040-2059, cesm1_bgc, Annual Anomaly, NPL
429.031, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-24.118, 2040-2059, cmcc_cesm, Annual Anomaly, NPL
229.999, 2040-2059, cmcc_cm, Annual Anomaly, NPL
297.006, 2040-2059, cmcc_cms, Annual Anomaly, NPL
136.804, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
156.357, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
135.208, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
173.553, 2040-2059, hadgem2_cc, Annual Anomaly, NPL
-50.084, 2040-2059, hadgem2_es, Annual Anomaly, NPL
13.2815, 2040-2059, inmcm4, Annual Anomaly, NPL
284.127, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
516.195, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
-93.302, 2040-2059, ipsl_cm5b_lr, Annual Anomaly, NPL
153.906, 2040-2059, miroc5, Annual Anomaly, NPL
324.189, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
94.0617, 2040-2059, miroc_esm, Annual Anomaly, NPL
12.6379, 2040-2059, mpi_esm_lr, Annual Anomaly, NPL
-255.93, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
-15.948, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
76.9258, 2040-2059, mri_esm1, Annual Anomaly, NPL
402.567, 2040-2059, noresm1_m, Annual Anomaly, NPL
-602.36, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
171.641, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
2302.22, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
