Expected Largest Monthly Rainfall Amount in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
594.02, 2080-2099, access1_0, Annual Anomaly, NPL
1024.42, 2080-2099, access1_3, Annual Anomaly, NPL
133.334, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
398.529, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
296.09, 2080-2099, bnu_esm, Annual Anomaly, NPL
480.709, 2080-2099, canesm2, Annual Anomaly, NPL
676.536, 2080-2099, ccsm4, Annual Anomaly, NPL
724.272, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
505.669, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
-71.44, 2080-2099, cmcc_cesm, Annual Anomaly, NPL
313.966, 2080-2099, cmcc_cm, Annual Anomaly, NPL
202.006, 2080-2099, cmcc_cms, Annual Anomaly, NPL
291.627, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
246.485, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
808.779, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
596.777, 2080-2099, hadgem2_cc, Annual Anomaly, NPL
424.61, 2080-2099, hadgem2_es, Annual Anomaly, NPL
252.097, 2080-2099, inmcm4, Annual Anomaly, NPL
408.061, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
827.616, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
148.575, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
513.505, 2080-2099, miroc5, Annual Anomaly, NPL
470.524, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
310.994, 2080-2099, miroc_esm, Annual Anomaly, NPL
15.4419, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
-6.4959, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
184.843, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
207.493, 2080-2099, mri_esm1, Annual Anomaly, NPL
642.417, 2080-2099, noresm1_m, Annual Anomaly, NPL
-488.67, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
386.623, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
2637.94, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
