Expected Largest Monthly Rainfall Amount in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
144.237, 2020-2039, access1_0, Annual Anomaly, NPL
253.789, 2020-2039, access1_3, Annual Anomaly, NPL
70.4667, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
74.7249, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
197.011, 2020-2039, bnu_esm, Annual Anomaly, NPL
-4.3632, 2020-2039, canesm2, Annual Anomaly, NPL
303.692, 2020-2039, ccsm4, Annual Anomaly, NPL
343.63, 2020-2039, cesm1_bgc, Annual Anomaly, NPL
122.491, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
63.9773, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
55.9241, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
-0.4806, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
193.059, 2020-2039, hadgem2_cc, Annual Anomaly, NPL
65.1666, 2020-2039, inmcm4, Annual Anomaly, NPL
74.8864, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
154.093, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
-134.38, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, NPL
147.512, 2020-2039, miroc5, Annual Anomaly, NPL
-21.162, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
5.18779, 2020-2039, miroc_esm, Annual Anomaly, NPL
129.12, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
42.9701, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
140.938, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
243.467, 2020-2039, noresm1_m, Annual Anomaly, NPL
-682.58, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
93.3772, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
2282.3, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
