Expected Largest Monthly Rainfall Amount in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
15.474, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
152.485, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
190.397, 2020-2039, bnu_esm, Annual Anomaly, NPL
178.427, 2020-2039, canesm2, Annual Anomaly, NPL
83.134, 2020-2039, ccsm4, Annual Anomaly, NPL
-18.53, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
102.503, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
-57.095, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
217.511, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
0.34241, 2020-2039, hadgem2_es, Annual Anomaly, NPL
103.478, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
199.47, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
250.336, 2020-2039, miroc5, Annual Anomaly, NPL
141.727, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
29.9729, 2020-2039, miroc_esm, Annual Anomaly, NPL
-81.672, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
-101.23, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
-41.194, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
313.321, 2020-2039, noresm1_m, Annual Anomaly, NPL
-701.41, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
131.108, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
2239.67, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
