Heating Degree Days - (Celsius), Year, Model, Statistics, ISO3
-164.67, 2080-2099, access1_0, Jan Anomaly, NPL
-151.28, 2080-2099, access1_0, Feb Anomaly, NPL
-150.54, 2080-2099, access1_0, Mar Anomaly, NPL
-85.344, 2080-2099, access1_0, Apr Anomaly, NPL
-46.542, 2080-2099, access1_0, May Anomaly, NPL
-41.804, 2080-2099, access1_0, Jun Anomaly, NPL
-39.178, 2080-2099, access1_0, Jul Anomaly, NPL
-40.646, 2080-2099, access1_0, Aug Anomaly, NPL
-53.517, 2080-2099, access1_0, Sep Anomaly, NPL
-99.776, 2080-2099, access1_0, Oct Anomaly, NPL
-127.23, 2080-2099, access1_0, Nov Anomaly, NPL
-135.19, 2080-2099, access1_0, Dec Anomaly, NPL
-138.05, 2080-2099, access1_3, Jan Anomaly, NPL
-130.13, 2080-2099, access1_3, Feb Anomaly, NPL
-125.56, 2080-2099, access1_3, Mar Anomaly, NPL
-80.751, 2080-2099, access1_3, Apr Anomaly, NPL
-64.809, 2080-2099, access1_3, May Anomaly, NPL
-52.317, 2080-2099, access1_3, Jun Anomaly, NPL
-44.45, 2080-2099, access1_3, Jul Anomaly, NPL
-43.409, 2080-2099, access1_3, Aug Anomaly, NPL
-69.351, 2080-2099, access1_3, Sep Anomaly, NPL
-91.455, 2080-2099, access1_3, Oct Anomaly, NPL
-109.26, 2080-2099, access1_3, Nov Anomaly, NPL
-138.4, 2080-2099, access1_3, Dec Anomaly, NPL
-102.93, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-63.523, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-97.961, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-73.196, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
-56.685, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
-44.396, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
-38.575, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
-43.528, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
-41.794, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
-55.78, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-102.23, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
-131.85, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
-139.15, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
-79.289, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
-71.926, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
-73.609, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
-67.24, 2080-2099, bcc_csm1_1, May Anomaly, NPL
-44.331, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
-25.466, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
-23.509, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
-30.49, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
-46.968, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
-56.849, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
-113.07, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
-152.85, 2080-2099, bnu_esm, Jan Anomaly, NPL
-126.02, 2080-2099, bnu_esm, Feb Anomaly, NPL
-149.19, 2080-2099, bnu_esm, Mar Anomaly, NPL
-79.725, 2080-2099, bnu_esm, Apr Anomaly, NPL
-64.664, 2080-2099, bnu_esm, May Anomaly, NPL
-52.213, 2080-2099, bnu_esm, Jun Anomaly, NPL
-35.646, 2080-2099, bnu_esm, Jul Anomaly, NPL
-25.963, 2080-2099, bnu_esm, Aug Anomaly, NPL
-31.198, 2080-2099, bnu_esm, Sep Anomaly, NPL
-62.291, 2080-2099, bnu_esm, Oct Anomaly, NPL
-83.971, 2080-2099, bnu_esm, Nov Anomaly, NPL
-121.23, 2080-2099, bnu_esm, Dec Anomaly, NPL
-190.68, 2080-2099, canesm2, Jan Anomaly, NPL
-153.24, 2080-2099, canesm2, Feb Anomaly, NPL
-176.78, 2080-2099, canesm2, Mar Anomaly, NPL
-114.22, 2080-2099, canesm2, Apr Anomaly, NPL
-82.299, 2080-2099, canesm2, May Anomaly, NPL
-52.799, 2080-2099, canesm2, Jun Anomaly, NPL
-34.645, 2080-2099, canesm2, Jul Anomaly, NPL
-39.873, 2080-2099, canesm2, Aug Anomaly, NPL
-40.872, 2080-2099, canesm2, Sep Anomaly, NPL
-72.805, 2080-2099, canesm2, Oct Anomaly, NPL
-121.82, 2080-2099, canesm2, Nov Anomaly, NPL
-180.95, 2080-2099, canesm2, Dec Anomaly, NPL
-110.06, 2080-2099, ccsm4, Jan Anomaly, NPL
-112.87, 2080-2099, ccsm4, Feb Anomaly, NPL
-129.86, 2080-2099, ccsm4, Mar Anomaly, NPL
-65.281, 2080-2099, ccsm4, Apr Anomaly, NPL
-46.753, 2080-2099, ccsm4, May Anomaly, NPL
-38.184, 2080-2099, ccsm4, Jun Anomaly, NPL
-45.003, 2080-2099, ccsm4, Jul Anomaly, NPL
-42.489, 2080-2099, ccsm4, Aug Anomaly, NPL
-44.973, 2080-2099, ccsm4, Sep Anomaly, NPL
-71.349, 2080-2099, ccsm4, Oct Anomaly, NPL
-73.854, 2080-2099, ccsm4, Nov Anomaly, NPL
-65.2, 2080-2099, ccsm4, Dec Anomaly, NPL
-80.964, 2080-2099, cesm1_bgc, Jan Anomaly, NPL
-81.929, 2080-2099, cesm1_bgc, Feb Anomaly, NPL
-98.082, 2080-2099, cesm1_bgc, Mar Anomaly, NPL
-51.468, 2080-2099, cesm1_bgc, Apr Anomaly, NPL
-38.386, 2080-2099, cesm1_bgc, May Anomaly, NPL
-36.445, 2080-2099, cesm1_bgc, Jun Anomaly, NPL
-45.697, 2080-2099, cesm1_bgc, Jul Anomaly, NPL
-41.997, 2080-2099, cesm1_bgc, Aug Anomaly, NPL
-64.184, 2080-2099, cesm1_bgc, Sep Anomaly, NPL
-68.692, 2080-2099, cesm1_bgc, Oct Anomaly, NPL
-85.179, 2080-2099, cesm1_bgc, Nov Anomaly, NPL
-76.254, 2080-2099, cesm1_bgc, Dec Anomaly, NPL
-140.12, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
-151.63, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
-99.231, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
-59.62, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
-65.697, 2080-2099, cesm1_cam5, May Anomaly, NPL
-65.461, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
-61.523, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
-64.319, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
-72.636, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
-85.097, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
-109.97, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
-83.675, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
-121.68, 2080-2099, cnrm_cm5, Jan Anomaly, NPL
-102.83, 2080-2099, cnrm_cm5, Feb Anomaly, NPL
