Heating Degree Days - (Celsius), Year, Model, Statistics, ISO3
-164.6, 2060-2079, access1_0, Jan Anomaly, NPL
-184.0, 2060-2079, access1_0, Feb Anomaly, NPL
-185.89, 2060-2079, access1_0, Mar Anomaly, NPL
-105.58, 2060-2079, access1_0, Apr Anomaly, NPL
-62.286, 2060-2079, access1_0, May Anomaly, NPL
-52.605, 2060-2079, access1_0, Jun Anomaly, NPL
-48.007, 2060-2079, access1_0, Jul Anomaly, NPL
-50.412, 2060-2079, access1_0, Aug Anomaly, NPL
-67.003, 2060-2079, access1_0, Sep Anomaly, NPL
-115.07, 2060-2079, access1_0, Oct Anomaly, NPL
-141.04, 2060-2079, access1_0, Nov Anomaly, NPL
-168.4, 2060-2079, access1_0, Dec Anomaly, NPL
-185.05, 2060-2079, access1_3, Jan Anomaly, NPL
-145.02, 2060-2079, access1_3, Feb Anomaly, NPL
-126.74, 2060-2079, access1_3, Mar Anomaly, NPL
-87.254, 2060-2079, access1_3, Apr Anomaly, NPL
-76.655, 2060-2079, access1_3, May Anomaly, NPL
-54.431, 2060-2079, access1_3, Jun Anomaly, NPL
-58.73, 2060-2079, access1_3, Jul Anomaly, NPL
-55.74, 2060-2079, access1_3, Aug Anomaly, NPL
-69.006, 2060-2079, access1_3, Sep Anomaly, NPL
-87.886, 2060-2079, access1_3, Oct Anomaly, NPL
-140.56, 2060-2079, access1_3, Nov Anomaly, NPL
-194.74, 2060-2079, access1_3, Dec Anomaly, NPL
-165.71, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
-109.52, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-127.92, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-107.37, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
-88.562, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
-65.493, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
-63.021, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
-59.495, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
-60.523, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
-88.937, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-134.5, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-152.24, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
-234.08, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
-110.19, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
-125.22, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
-92.52, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
-76.476, 2060-2079, bcc_csm1_1, May Anomaly, NPL
-52.75, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
-53.422, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
-40.844, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
-50.62, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
-79.512, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
-106.61, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
-180.32, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
-184.46, 2060-2079, bnu_esm, Jan Anomaly, NPL
-175.29, 2060-2079, bnu_esm, Feb Anomaly, NPL
-194.12, 2060-2079, bnu_esm, Mar Anomaly, NPL
-118.13, 2060-2079, bnu_esm, Apr Anomaly, NPL
-92.973, 2060-2079, bnu_esm, May Anomaly, NPL
-74.433, 2060-2079, bnu_esm, Jun Anomaly, NPL
-54.269, 2060-2079, bnu_esm, Jul Anomaly, NPL
-48.387, 2060-2079, bnu_esm, Aug Anomaly, NPL
-55.342, 2060-2079, bnu_esm, Sep Anomaly, NPL
-85.16, 2060-2079, bnu_esm, Oct Anomaly, NPL
-126.43, 2060-2079, bnu_esm, Nov Anomaly, NPL
-167.98, 2060-2079, bnu_esm, Dec Anomaly, NPL
-279.19, 2060-2079, canesm2, Jan Anomaly, NPL
-254.31, 2060-2079, canesm2, Feb Anomaly, NPL
-239.02, 2060-2079, canesm2, Mar Anomaly, NPL
-132.71, 2060-2079, canesm2, Apr Anomaly, NPL
-105.04, 2060-2079, canesm2, May Anomaly, NPL
-74.582, 2060-2079, canesm2, Jun Anomaly, NPL
-53.93, 2060-2079, canesm2, Jul Anomaly, NPL
-65.044, 2060-2079, canesm2, Aug Anomaly, NPL
-69.246, 2060-2079, canesm2, Sep Anomaly, NPL
-105.5, 2060-2079, canesm2, Oct Anomaly, NPL
-167.39, 2060-2079, canesm2, Nov Anomaly, NPL
-242.95, 2060-2079, canesm2, Dec Anomaly, NPL
-179.83, 2060-2079, ccsm4, Jan Anomaly, NPL
-150.26, 2060-2079, ccsm4, Feb Anomaly, NPL
-174.97, 2060-2079, ccsm4, Mar Anomaly, NPL
-105.36, 2060-2079, ccsm4, Apr Anomaly, NPL
-86.607, 2060-2079, ccsm4, May Anomaly, NPL
-61.921, 2060-2079, ccsm4, Jun Anomaly, NPL
-66.221, 2060-2079, ccsm4, Jul Anomaly, NPL
-63.071, 2060-2079, ccsm4, Aug Anomaly, NPL
-70.452, 2060-2079, ccsm4, Sep Anomaly, NPL
-103.91, 2060-2079, ccsm4, Oct Anomaly, NPL
-126.01, 2060-2079, ccsm4, Nov Anomaly, NPL
-144.85, 2060-2079, ccsm4, Dec Anomaly, NPL
-146.22, 2060-2079, cesm1_bgc, Jan Anomaly, NPL
-144.95, 2060-2079, cesm1_bgc, Feb Anomaly, NPL
-160.87, 2060-2079, cesm1_bgc, Mar Anomaly, NPL
-90.123, 2060-2079, cesm1_bgc, Apr Anomaly, NPL
-71.342, 2060-2079, cesm1_bgc, May Anomaly, NPL
-61.428, 2060-2079, cesm1_bgc, Jun Anomaly, NPL
-67.123, 2060-2079, cesm1_bgc, Jul Anomaly, NPL
-58.675, 2060-2079, cesm1_bgc, Aug Anomaly, NPL
-82.74, 2060-2079, cesm1_bgc, Sep Anomaly, NPL
-103.01, 2060-2079, cesm1_bgc, Oct Anomaly, NPL
-137.94, 2060-2079, cesm1_bgc, Nov Anomaly, NPL
-137.31, 2060-2079, cesm1_bgc, Dec Anomaly, NPL
