Number of Tropical Nights  (Tmin > 20°C) - (Days), Year, Model, Statistics, ISO3
-0.001, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
0.25965, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
1.55253, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
2.59349, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
2.24408, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
1.84842, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
1.82497, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
0.91295, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
1.66299, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
0.2546, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
5.6E-4, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
0.00255, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
0.00118, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
-0.0403, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
0.93158, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
1.29582, 2020-2039, bcc_csm1_1, May Anomaly, NPL
0.97386, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
0.38753, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
0.8811, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
1.6436, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
0.71012, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
0.17159, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
0.00455, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
0.24586, 2020-2039, ccsm4, Mar Anomaly, NPL
1.70452, 2020-2039, ccsm4, Apr Anomaly, NPL
4.07209, 2020-2039, ccsm4, May Anomaly, NPL
2.40172, 2020-2039, ccsm4, Jun Anomaly, NPL
2.29188, 2020-2039, ccsm4, Jul Anomaly, NPL
2.76012, 2020-2039, ccsm4, Aug Anomaly, NPL
2.2693, 2020-2039, ccsm4, Sep Anomaly, NPL
0.42984, 2020-2039, ccsm4, Oct Anomaly, NPL
0.00163, 2020-2039, ccsm4, Nov Anomaly, NPL
0.00332, 2020-2039, ccsm4, Dec Anomaly, NPL
3.0E-5, 2020-2039, cesm1_cam5, Feb Anomaly, NPL
0.15668, 2020-2039, cesm1_cam5, Mar Anomaly, NPL
1.35303, 2020-2039, cesm1_cam5, Apr Anomaly, NPL
3.1441, 2020-2039, cesm1_cam5, May Anomaly, NPL
1.88908, 2020-2039, cesm1_cam5, Jun Anomaly, NPL
1.41445, 2020-2039, cesm1_cam5, Jul Anomaly, NPL
1.47494, 2020-2039, cesm1_cam5, Aug Anomaly, NPL
2.80948, 2020-2039, cesm1_cam5, Sep Anomaly, NPL
1.25643, 2020-2039, cesm1_cam5, Oct Anomaly, NPL
0.01664, 2020-2039, cesm1_cam5, Nov Anomaly, NPL
5.4E-4, 2020-2039, cesm1_cam5, Dec Anomaly, NPL
0.00319, 2020-2039, csiro_mk3_6_0, Mar Anomaly, NPL
0.70933, 2020-2039, csiro_mk3_6_0, Apr Anomaly, NPL
1.30177, 2020-2039, csiro_mk3_6_0, May Anomaly, NPL
1.06674, 2020-2039, csiro_mk3_6_0, Jun Anomaly, NPL
0.1403, 2020-2039, csiro_mk3_6_0, Jul Anomaly, NPL
1.0975, 2020-2039, csiro_mk3_6_0, Aug Anomaly, NPL
1.40619, 2020-2039, csiro_mk3_6_0, Sep Anomaly, NPL
0.62148, 2020-2039, csiro_mk3_6_0, Oct Anomaly, NPL
0.02509, 2020-2039, csiro_mk3_6_0, Nov Anomaly, NPL
0.01259, 2020-2039, gfdl_cm3, Jan Anomaly, NPL
0.01238, 2020-2039, gfdl_cm3, Feb Anomaly, NPL
0.42861, 2020-2039, gfdl_cm3, Mar Anomaly, NPL
1.44977, 2020-2039, gfdl_cm3, Apr Anomaly, NPL
3.48456, 2020-2039, gfdl_cm3, May Anomaly, NPL
3.07388, 2020-2039, gfdl_cm3, Jun Anomaly, NPL
2.37592, 2020-2039, gfdl_cm3, Jul Anomaly, NPL
2.17301, 2020-2039, gfdl_cm3, Aug Anomaly, NPL
2.41149, 2020-2039, gfdl_cm3, Sep Anomaly, NPL
1.29923, 2020-2039, gfdl_cm3, Oct Anomaly, NPL
0.14466, 2020-2039, gfdl_cm3, Nov Anomaly, NPL
0.14954, 2020-2039, gfdl_esm2g, Mar Anomaly, NPL
0.70676, 2020-2039, gfdl_esm2g, Apr Anomaly, NPL
1.78285, 2020-2039, gfdl_esm2g, May Anomaly, NPL
0.96061, 2020-2039, gfdl_esm2g, Jun Anomaly, NPL
0.54438, 2020-2039, gfdl_esm2g, Jul Anomaly, NPL
0.14951, 2020-2039, gfdl_esm2g, Aug Anomaly, NPL
0.7854, 2020-2039, gfdl_esm2g, Sep Anomaly, NPL
0.51022, 2020-2039, gfdl_esm2g, Oct Anomaly, NPL
0.00786, 2020-2039, gfdl_esm2g, Nov Anomaly, NPL
2.4E-4, 2020-2039, gfdl_esm2g, Dec Anomaly, NPL
0.00509, 2020-2039, gfdl_esm2m, Feb Anomaly, NPL
0.10184, 2020-2039, gfdl_esm2m, Mar Anomaly, NPL
0.74792, 2020-2039, gfdl_esm2m, Apr Anomaly, NPL
1.93804, 2020-2039, gfdl_esm2m, May Anomaly, NPL
1.14872, 2020-2039, gfdl_esm2m, Jun Anomaly, NPL
0.32384, 2020-2039, gfdl_esm2m, Jul Anomaly, NPL
0.46373, 2020-2039, gfdl_esm2m, Aug Anomaly, NPL
2.13521, 2020-2039, gfdl_esm2m, Sep Anomaly, NPL
1.04862, 2020-2039, gfdl_esm2m, Oct Anomaly, NPL
0.00745, 2020-2039, gfdl_esm2m, Nov Anomaly, NPL
0.00479, 2020-2039, hadgem2_ao, Mar Anomaly, NPL
0.09967, 2020-2039, hadgem2_ao, Apr Anomaly, NPL
0.45244, 2020-2039, hadgem2_ao, May Anomaly, NPL
0.8473, 2020-2039, hadgem2_ao, Jun Anomaly, NPL
0.35288, 2020-2039, hadgem2_ao, Jul Anomaly, NPL
0.61121, 2020-2039, hadgem2_ao, Aug Anomaly, NPL
1.69682, 2020-2039, hadgem2_ao, Sep Anomaly, NPL
0.40019, 2020-2039, hadgem2_ao, Oct Anomaly, NPL
0.00162, 2020-2039, hadgem2_ao, Nov Anomaly, NPL
8.0E-4, 2020-2039, hadgem2_es, Jan Anomaly, NPL
0.00561, 2020-2039, hadgem2_es, Mar Anomaly, NPL
1.02019, 2020-2039, hadgem2_es, Apr Anomaly, NPL
1.29268, 2020-2039, hadgem2_es, May Anomaly, NPL
1.12659, 2020-2039, hadgem2_es, Jun Anomaly, NPL
1.08528, 2020-2039, hadgem2_es, Jul Anomaly, NPL
0.8918, 2020-2039, hadgem2_es, Aug Anomaly, NPL
3.16794, 2020-2039, hadgem2_es, Sep Anomaly, NPL
0.72111, 2020-2039, hadgem2_es, Oct Anomaly, NPL
0.03328, 2020-2039, hadgem2_es, Nov Anomaly, NPL
0.06127, 2020-2039, ipsl_cm5a_lr, Mar Anomaly, NPL
0.76079, 2020-2039, ipsl_cm5a_lr, Apr Anomaly, NPL
1.36398, 2020-2039, ipsl_cm5a_lr, May Anomaly, NPL
1.73927, 2020-2039, ipsl_cm5a_lr, Jun Anomaly, NPL
1.6745, 2020-2039, ipsl_cm5a_lr, Jul Anomaly, NPL
1.70025, 2020-2039, ipsl_cm5a_lr, Aug Anomaly, NPL
2.22413, 2020-2039, ipsl_cm5a_lr, Sep Anomaly, NPL
0.7148, 2020-2039, ipsl_cm5a_lr, Oct Anomaly, NPL
0.13296, 2020-2039, ipsl_cm5a_lr, Nov Anomaly, NPL
8.9E-4, 2020-2039, ipsl_cm5a_mr, Feb Anomaly, NPL
0.11691, 2020-2039, ipsl_cm5a_mr, Mar Anomaly, NPL
0.85387, 2020-2039, ipsl_cm5a_mr, Apr Anomaly, NPL
1.00944, 2020-2039, ipsl_cm5a_mr, May Anomaly, NPL
1.69755, 2020-2039, ipsl_cm5a_mr, Jun Anomaly, NPL
3.12956, 2020-2039, ipsl_cm5a_mr, Jul Anomaly, NPL
3.2873, 2020-2039, ipsl_cm5a_mr, Aug Anomaly, NPL
2.07646, 2020-2039, ipsl_cm5a_mr, Sep Anomaly, NPL
0.87306, 2020-2039, ipsl_cm5a_mr, Oct Anomaly, NPL
0.0925, 2020-2039, ipsl_cm5a_mr, Nov Anomaly, NPL
0.0187, 2020-2039, miroc5, Mar Anomaly, NPL
0.75561, 2020-2039, miroc5, Apr Anomaly, NPL
1.91905, 2020-2039, miroc5, May Anomaly, NPL
1.99759, 2020-2039, miroc5, Jun Anomaly, NPL
1.49422, 2020-2039, miroc5, Jul Anomaly, NPL
2.41079, 2020-2039, miroc5, Aug Anomaly, NPL
0.90744, 2020-2039, miroc5, Sep Anomaly, NPL
0.75895, 2020-2039, miroc5, Oct Anomaly, NPL
0.008, 2020-2039, miroc5, Nov Anomaly, NPL
-0.0114, 2020-2039, miroc_esm_chem, Mar Anomaly, NPL
0.37624, 2020-2039, miroc_esm_chem, Apr Anomaly, NPL
2.10144, 2020-2039, miroc_esm_chem, May Anomaly, NPL
2.79459, 2020-2039, miroc_esm_chem, Jun Anomaly, NPL
0.91612, 2020-2039, miroc_esm_chem, Jul Anomaly, NPL
0.56806, 2020-2039, miroc_esm_chem, Aug Anomaly, NPL
2.32381, 2020-2039, miroc_esm_chem, Sep Anomaly, NPL
0.67512, 2020-2039, miroc_esm_chem, Oct Anomaly, NPL
0.27191, 2020-2039, miroc_esm_chem, Nov Anomaly, NPL
0.00711, 2020-2039, miroc_esm_chem, Dec Anomaly, NPL
0.0195, 2020-2039, miroc_esm, Mar Anomaly, NPL
0.40522, 2020-2039, miroc_esm, Apr Anomaly, NPL
1.25753, 2020-2039, miroc_esm, May Anomaly, NPL
2.05857, 2020-2039, miroc_esm, Jun Anomaly, NPL
0.87824, 2020-2039, miroc_esm, Jul Anomaly, NPL
1.14938, 2020-2039, miroc_esm, Aug Anomaly, NPL
2.40757, 2020-2039, miroc_esm, Sep Anomaly, NPL
0.88797, 2020-2039, miroc_esm, Oct Anomaly, NPL
0.02243, 2020-2039, miroc_esm, Nov Anomaly, NPL
0.00937, 2020-2039, miroc_esm, Dec Anomaly, NPL
-4.0E-4, 2020-2039, mri_cgcm3, Feb Anomaly, NPL
0.07923, 2020-2039, mri_cgcm3, Mar Anomaly, NPL
0.5854, 2020-2039, mri_cgcm3, Apr Anomaly, NPL
0.52754, 2020-2039, mri_cgcm3, May Anomaly, NPL
0.80802, 2020-2039, mri_cgcm3, Jun Anomaly, NPL
0.46373, 2020-2039, mri_cgcm3, Jul Anomaly, NPL
1.18774, 2020-2039, mri_cgcm3, Aug Anomaly, NPL
0.79937, 2020-2039, mri_cgcm3, Sep Anomaly, NPL
-0.0993, 2020-2039, mri_cgcm3, Oct Anomaly, NPL
9.4E-4, 2020-2039, mri_cgcm3, Nov Anomaly, NPL
0.05023, 2020-2039, noresm1_m, Mar Anomaly, NPL
0.65423, 2020-2039, noresm1_m, Apr Anomaly, NPL
1.95667, 2020-2039, noresm1_m, May Anomaly, NPL
1.14336, 2020-2039, noresm1_m, Jun Anomaly, NPL
0.17326, 2020-2039, noresm1_m, Jul Anomaly, NPL
0.53343, 2020-2039, noresm1_m, Aug Anomaly, NPL
1.45423, 2020-2039, noresm1_m, Sep Anomaly, NPL
0.19051, 2020-2039, noresm1_m, Oct Anomaly, NPL
0.12159, 2020-2039, noresm1_m, Nov Anomaly, NPL
0.0, 2020-2039, Ensemble (10th Percentile), Jan Anomaly, NPL
0.0, 2020-2039, Ensemble (10th Percentile), Feb Anomaly, NPL
-0.0567, 2020-2039, Ensemble (10th Percentile), Mar Anomaly, NPL
-0.4155, 2020-2039, Ensemble (10th Percentile), Apr Anomaly, NPL
-0.8297, 2020-2039, Ensemble (10th Percentile), May Anomaly, NPL
-3.1089, 2020-2039, Ensemble (10th Percentile), Jun Anomaly, NPL
-3.3095, 2020-2039, Ensemble (10th Percentile), Jul Anomaly, NPL
-4.3822, 2020-2039, Ensemble (10th Percentile), Aug Anomaly, NPL
-2.5593, 2020-2039, Ensemble (10th Percentile), Sep Anomaly, NPL
-0.2416, 2020-2039, Ensemble (10th Percentile), Oct Anomaly, NPL
-0.0101, 2020-2039, Ensemble (10th Percentile), Nov Anomaly, NPL
0.0, 2020-2039, Ensemble (10th Percentile), Dec Anomaly, NPL
0.0, 2020-2039, Ensemble (50th Percentile), Jan Anomaly, NPL
0.0, 2020-2039, Ensemble (50th Percentile), Feb Anomaly, NPL
0.09516, 2020-2039, Ensemble (50th Percentile), Mar Anomaly, NPL
0.69255, 2020-2039, Ensemble (50th Percentile), Apr Anomaly, NPL
1.65172, 2020-2039, Ensemble (50th Percentile), May Anomaly, NPL
1.58823, 2020-2039, Ensemble (50th Percentile), Jun Anomaly, NPL
0.78825, 2020-2039, Ensemble (50th Percentile), Jul Anomaly, NPL
1.0598, 2020-2039, Ensemble (50th Percentile), Aug Anomaly, NPL
2.05464, 2020-2039, Ensemble (50th Percentile), Sep Anomaly, NPL
0.91201, 2020-2039, Ensemble (50th Percentile), Oct Anomaly, NPL
0.03467, 2020-2039, Ensemble (50th Percentile), Nov Anomaly, NPL
0.0, 2020-2039, Ensemble (50th Percentile), Dec Anomaly, NPL
0.00506, 2020-2039, Ensemble (90th Percentile), Jan Anomaly, NPL
0.00816, 2020-2039, Ensemble (90th Percentile), Feb Anomaly, NPL
0.47756, 2020-2039, Ensemble (90th Percentile), Mar Anomaly, NPL
2.7296, 2020-2039, Ensemble (90th Percentile), Apr Anomaly, NPL
4.53307, 2020-2039, Ensemble (90th Percentile), May Anomaly, NPL
2.76646, 2020-2039, Ensemble (90th Percentile), Jun Anomaly, NPL
1.78369, 2020-2039, Ensemble (90th Percentile), Jul Anomaly, NPL
2.409, 2020-2039, Ensemble (90th Percentile), Aug Anomaly, NPL
5.31003, 2020-2039, Ensemble (90th Percentile), Sep Anomaly, NPL
3.13542, 2020-2039, Ensemble (90th Percentile), Oct Anomaly, NPL
0.45043, 2020-2039, Ensemble (90th Percentile), Nov Anomaly, NPL
0.01153, 2020-2039, Ensemble (90th Percentile), Dec Anomaly, NPL
13.1532, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
6.96315, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
16.1803, 2020-2039, ccsm4, Annual Anomaly, NPL
13.5154, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
6.37161, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
16.8661, 2020-2039, gfdl_cm3, Annual Anomaly, NPL
5.59742, 2020-2039, gfdl_esm2g, Annual Anomaly, NPL
7.9205, 2020-2039, gfdl_esm2m, Annual Anomaly, NPL
4.25425, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
8.90033, 2020-2039, hadgem2_es, Annual Anomaly, NPL
10.372, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
13.1375, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
10.2703, 2020-2039, miroc5, Annual Anomaly, NPL
10.0224, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
9.09658, 2020-2039, miroc_esm, Annual Anomaly, NPL
4.35105, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
6.27755, 2020-2039, noresm1_m, Annual Anomaly, NPL
-7.8526, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
8.68346, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
19.7207, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
