Number of Tropical Nights  (Tmin > 20°C) - (Days), Year, Model, Statistics, ISO3
7.4E-4, 2080-2099, access1_0, Jan Anomaly, NPL
0.00135, 2080-2099, access1_0, Feb Anomaly, NPL
0.94185, 2080-2099, access1_0, Mar Anomaly, NPL
4.62271, 2080-2099, access1_0, Apr Anomaly, NPL
7.80702, 2080-2099, access1_0, May Anomaly, NPL
5.5812, 2080-2099, access1_0, Jun Anomaly, NPL
2.86623, 2080-2099, access1_0, Jul Anomaly, NPL
3.49429, 2080-2099, access1_0, Aug Anomaly, NPL
8.18825, 2080-2099, access1_0, Sep Anomaly, NPL
4.58968, 2080-2099, access1_0, Oct Anomaly, NPL
0.58793, 2080-2099, access1_0, Nov Anomaly, NPL
0.00386, 2080-2099, access1_0, Dec Anomaly, NPL
0.00103, 2080-2099, access1_3, Feb Anomaly, NPL
0.62835, 2080-2099, access1_3, Mar Anomaly, NPL
3.83184, 2080-2099, access1_3, Apr Anomaly, NPL
7.25013, 2080-2099, access1_3, May Anomaly, NPL
5.37461, 2080-2099, access1_3, Jun Anomaly, NPL
1.87112, 2080-2099, access1_3, Jul Anomaly, NPL
1.77942, 2080-2099, access1_3, Aug Anomaly, NPL
6.89852, 2080-2099, access1_3, Sep Anomaly, NPL
4.62057, 2080-2099, access1_3, Oct Anomaly, NPL
0.74287, 2080-2099, access1_3, Nov Anomaly, NPL
0.00807, 2080-2099, access1_3, Dec Anomaly, NPL
0.08016, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
1.57988, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
5.93355, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
6.56951, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
4.98971, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
6.22371, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
8.09467, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
6.84993, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
5.06651, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
1.31709, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
0.06686, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
0.02188, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
0.18669, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
1.48751, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
5.44511, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
7.96973, 2080-2099, bcc_csm1_1, May Anomaly, NPL
3.96761, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
2.62555, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
4.90794, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
8.27441, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
6.84316, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
2.36541, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
0.26229, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
0.00241, 2080-2099, bnu_esm, Jan Anomaly, NPL
0.08109, 2080-2099, bnu_esm, Feb Anomaly, NPL
1.02975, 2080-2099, bnu_esm, Mar Anomaly, NPL
5.09043, 2080-2099, bnu_esm, Apr Anomaly, NPL
8.24997, 2080-2099, bnu_esm, May Anomaly, NPL
4.29725, 2080-2099, bnu_esm, Jun Anomaly, NPL
4.11247, 2080-2099, bnu_esm, Jul Anomaly, NPL
3.75656, 2080-2099, bnu_esm, Aug Anomaly, NPL
6.219, 2080-2099, bnu_esm, Sep Anomaly, NPL
8.37642, 2080-2099, bnu_esm, Oct Anomaly, NPL
1.55987, 2080-2099, bnu_esm, Nov Anomaly, NPL
0.03225, 2080-2099, bnu_esm, Dec Anomaly, NPL
0.05042, 2080-2099, canesm2, Jan Anomaly, NPL
0.27452, 2080-2099, canesm2, Feb Anomaly, NPL
1.58932, 2080-2099, canesm2, Mar Anomaly, NPL
5.87643, 2080-2099, canesm2, Apr Anomaly, NPL
9.21076, 2080-2099, canesm2, May Anomaly, NPL
5.44785, 2080-2099, canesm2, Jun Anomaly, NPL
3.43211, 2080-2099, canesm2, Jul Anomaly, NPL
3.67318, 2080-2099, canesm2, Aug Anomaly, NPL
5.66859, 2080-2099, canesm2, Sep Anomaly, NPL
10.2945, 2080-2099, canesm2, Oct Anomaly, NPL
1.78371, 2080-2099, canesm2, Nov Anomaly, NPL
0.14495, 2080-2099, canesm2, Dec Anomaly, NPL
0.00751, 2080-2099, ccsm4, Feb Anomaly, NPL
1.15654, 2080-2099, ccsm4, Mar Anomaly, NPL
5.97391, 2080-2099, ccsm4, Apr Anomaly, NPL
7.74873, 2080-2099, ccsm4, May Anomaly, NPL
4.2278, 2080-2099, ccsm4, Jun Anomaly, NPL
4.20409, 2080-2099, ccsm4, Jul Anomaly, NPL
5.44352, 2080-2099, ccsm4, Aug Anomaly, NPL
7.77845, 2080-2099, ccsm4, Sep Anomaly, NPL
4.88472, 2080-2099, ccsm4, Oct Anomaly, NPL
0.3708, 2080-2099, ccsm4, Nov Anomaly, NPL
0.01, 2080-2099, ccsm4, Dec Anomaly, NPL
0.02127, 2080-2099, cesm1_bgc, Feb Anomaly, NPL
1.04053, 2080-2099, cesm1_bgc, Mar Anomaly, NPL
