Number of Tropical Nights  (Tmin > 20°C) - (Days), Year, Model, Statistics, ISO3
1.7E-4, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
0.00854, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
0.61471, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
2.52692, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
4.35084, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
2.4177, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
3.3899, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
3.96023, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
1.98903, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
1.62924, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
0.27982, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
0.00452, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
-2.0E-4, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
9.2E-4, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
0.10386, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
1.67052, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
3.56389, 2060-2079, bcc_csm1_1, May Anomaly, NPL
2.01753, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
0.74679, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
2.6724, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
3.22598, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
1.97041, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
0.79357, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
0.02751, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
0.01348, 2060-2079, ccsm4, Jan Anomaly, NPL
0.49805, 2060-2079, ccsm4, Mar Anomaly, NPL
3.64205, 2060-2079, ccsm4, Apr Anomaly, NPL
6.05781, 2060-2079, ccsm4, May Anomaly, NPL
3.64607, 2060-2079, ccsm4, Jun Anomaly, NPL
2.88997, 2060-2079, ccsm4, Jul Anomaly, NPL
3.91929, 2060-2079, ccsm4, Aug Anomaly, NPL
5.38192, 2060-2079, ccsm4, Sep Anomaly, NPL
1.68188, 2060-2079, ccsm4, Oct Anomaly, NPL
0.10815, 2060-2079, ccsm4, Nov Anomaly, NPL
0.00642, 2060-2079, ccsm4, Dec Anomaly, NPL
0.01844, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
0.98832, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
4.31983, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
6.02463, 2060-2079, cesm1_cam5, May Anomaly, NPL
3.26246, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
2.9461, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
2.86405, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
5.27107, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
4.3318, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
0.19228, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
0.00623, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
0.1687, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
2.17561, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
4.98762, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
1.74519, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
0.37481, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
1.62289, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
5.06506, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
2.03975, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
0.0854, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
0.02855, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
0.05705, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
0.65934, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
3.56808, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
6.46934, 2060-2079, gfdl_cm3, May Anomaly, NPL
5.69323, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
4.29439, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
4.60357, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
5.75316, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
4.26463, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
0.44317, 2060-2079, gfdl_cm3, Nov Anomaly, NPL
0.01455, 2060-2079, gfdl_cm3, Dec Anomaly, NPL
0.00645, 2060-2079, gfdl_esm2g, Feb Anomaly, NPL
0.24483, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
1.32934, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
2.80399, 2060-2079, gfdl_esm2g, May Anomaly, NPL
2.62656, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
1.03844, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
0.91967, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
2.85744, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
1.38513, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
0.03212, 2060-2079, gfdl_esm2g, Nov Anomaly, NPL
0.00557, 2060-2079, gfdl_esm2g, Dec Anomaly, NPL
1.7E-4, 2060-2079, gfdl_esm2m, Feb Anomaly, NPL
0.21877, 2060-2079, gfdl_esm2m, Mar Anomaly, NPL
1.38655, 2060-2079, gfdl_esm2m, Apr Anomaly, NPL
5.01121, 2060-2079, gfdl_esm2m, May Anomaly, NPL
2.06112, 2060-2079, gfdl_esm2m, Jun Anomaly, NPL
0.96064, 2060-2079, gfdl_esm2m, Jul Anomaly, NPL
1.11878, 2060-2079, gfdl_esm2m, Aug Anomaly, NPL
3.58176, 2060-2079, gfdl_esm2m, Sep Anomaly, NPL
1.46035, 2060-2079, gfdl_esm2m, Oct Anomaly, NPL
0.12482, 2060-2079, gfdl_esm2m, Nov Anomaly, NPL
0.00142, 2060-2079, hadgem2_ao, Feb Anomaly, NPL
0.23356, 2060-2079, hadgem2_ao, Mar Anomaly, NPL
1.47708, 2060-2079, hadgem2_ao, Apr Anomaly, NPL
3.16117, 2060-2079, hadgem2_ao, May Anomaly, NPL
2.00431, 2060-2079, hadgem2_ao, Jun Anomaly, NPL
1.22121, 2060-2079, hadgem2_ao, Jul Anomaly, NPL
1.32729, 2060-2079, hadgem2_ao, Aug Anomaly, NPL
4.15859, 2060-2079, hadgem2_ao, Sep Anomaly, NPL
1.44312, 2060-2079, hadgem2_ao, Oct Anomaly, NPL
0.0192, 2060-2079, hadgem2_ao, Nov Anomaly, NPL
0.01659, 2060-2079, hadgem2_es, Feb Anomaly, NPL
0.51498, 2060-2079, hadgem2_es, Mar Anomaly, NPL
2.50654, 2060-2079, hadgem2_es, Apr Anomaly, NPL
