Glacier,Decade (year)~1980,Decade (year)1990,Decade (year)2000,Decade (year)2010,Decadal glacier change ~1980–1990,Decadal glacier change ~1980–1990,Decadal glacier change 1990–2000,Decadal glacier change 1990–2000,Decadal glacier change 2000–2010,Decadal glacier change 2000–2010,Decadal glacier change ~1980–2010,Decadal glacier change ~1980–2010
Number,1193,1294,1341,1340,101,0.08,47,0.04,-1,0,147,0.12
Area (km2),2125,1847,1765,1664,-278,-0.13,-82,-0.04,-100,-0.06,-461,-0.22
Estimated ice reserves (km3),186,153,145,135,-32,-0.18,-8,-0.05,-10,-0.07,-51,-0.27
