Glacier,Decade (year)~1980,Decade (year)1990,Decade (year)2000,Decade (year)2010,Decadal glacier change ~1980–1990,Decadal glacier change ~1980–1990,Decadal glacier change 1990–2000,Decadal glacier change 1990–2000,Decadal glacier change 2000–2010,Decadal glacier change 2000–2010,Decadal glacier change ~1980–2010,Decadal glacier change ~1980–2010
Number,736,806,829,845,70,10%,23,3%,16,2%,109,15%
Area (km2),1499,1294,1213,1103,-205,-14%,-82,-6%,-110,-9%,-396,-26%
Estimated ice reserves (km3),159,133,124,111,-26,-16%,-9,-7%,-13,-11%,-48,-30%
