Elevation ranges (masl),Area(km2) in Indrawati,Area(km2) in Sun,Area(km2) in Tama,Area(km2) in Likhu,Area(km2) in Dudh,Area(km2) in Arun,Area(km2) in Tamor
"4,000–4,100",NaN,0.118,NaN,NaN,NaN,NaN,NaN
"4,100–4,200",NaN,0.267,NaN,NaN,NaN,0.008,0.072
"4,200–4,300",NaN,0.511,NaN,NaN,NaN,0.164,0.302
"4,300–4,400",NaN,0.487,0.062,0.042,0.047,0.507,1.031
"4,400–4,500",NaN,0.332,0.14,0.356,0.418,0.608,2.951
"4,500–4,600",NaN,0.881,0.097,0.514,1.288,0.854,2.689
"4,600–4,700",NaN,1.232,1.014,0.316,1.451,2.063,4.829
"4,700–4,800",NaN,1.418,2.09,0.402,4.738,2.523,5.121
"4,800–4,900",0.054,2.628,2.548,0.694,8.28,1.779,7.54
"4,900–5,000",0.268,3.581,2.36,0.605,14.568,3.41,10.219
"5,000–5,100",1.475,4.43,3.971,1.01,22.089,5.388,8.587
"5,100–5,200",2.473,5.167,4.907,1.719,26.646,7.304,15.163
"5,200–5,300",3.386,6.074,6.413,2.915,33.793,8.847,19.454
"5,300–5,400",3.47,6.403,7.891,3.874,35.471,9.456,24.958
"5,400–5,500",2.684,5.683,10.245,3.12,35.618,8.821,30.541
"5,500–5,600",1.509,3.86,10.245,2.059,36.726,7.149,32.386
"5,600–5,700",0.71,2.361,8.186,1.057,31.9,6.28,35.201
"5,700–5,800",0.309,1.394,6.719,0.882,23.018,7.295,38.972
"5,800–5,900",0.053,1.002,6.242,0.765,18.059,9.168,34.755
"5,900–6,000",0.008,0.776,4.431,0.465,13.581,12.45,24.391
"6,000–6,100",NaN,0.699,3.356,0.404,11.464,15.339,19.095
"6,100–6,200",NaN,0.64,1.466,0.57,9.868,11.999,12.359
"6,200–6,300",NaN,0.529,0.684,0.368,7.938,8.011,8.921
"6,300–6,400",NaN,0.547,0.537,0.358,7.791,6.281,6.081
"6,400–6,500",NaN,0.654,0.415,0.282,7.718,3.53,6.012
"6,500–6,600",NaN,0.477,0.264,0.119,6.907,2.419,5.015
"6,600–6,700",NaN,0.185,0.124,0.049,5.176,2.023,4.468
"6,700–6,800",NaN,0.149,NaN,NaN,4.738,1.314,4.223
"6,800–6,900",NaN,0.074,NaN,NaN,3.922,1.113,3.267
"6,900–7,000",NaN,0.008,NaN,NaN,3.538,1.068,3.017
"7,000–7,100",NaN,NaN,NaN,NaN,3.229,0.789,3.143
"7,100–7,200",NaN,NaN,NaN,NaN,2.942,0.653,2.912
"7,200–7,300",NaN,NaN,NaN,NaN,1.784,0.349,2.059
"7,300–7,400",NaN,NaN,NaN,NaN,1.444,0.125,1.177
"7,400–7,500",NaN,NaN,NaN,NaN,1.22,0.054,0.795
"7,500–7,600",NaN,NaN,NaN,NaN,1.131,0.023,0.958
"7,600–7,700",NaN,NaN,NaN,NaN,0.855,0.008,0.989
"7,700–7,800",NaN,NaN,NaN,NaN,0.584,0.008,1.375
"7,800–7,900",NaN,NaN,NaN,NaN,0.442,0.005,0.491
"7,900–8,000",NaN,NaN,NaN,NaN,0.421,NaN,0.233
"8,000–8,100",NaN,NaN,NaN,NaN,0.247,NaN,0.066
"8,100–8,200",NaN,NaN,NaN,NaN,0.123,NaN,0.042
"8,200–8,300",NaN,NaN,NaN,NaN,0.008,NaN,0.043
"8,300–8,400",NaN,NaN,NaN,NaN,NaN,NaN,0.015
"8,400–8,500",NaN,NaN,NaN,NaN,NaN,NaN,0.012
