Basin,Glacier type,Glacier Name,Glacier number,Glacier number %,Glacier area(km2),Glacier area(%),Estimated ice reserves(km3),Estimated ice reserves(%),Mean area per glacier(km2)
Bheri,Mountain,Miscellaneous,0,0,0,0,0,0,0
Bheri,Mountain,Ice Apron,71,17.7,12.9,3.5,0.34,1.4,0.18
Bheri,Mountain,Cirque,1,0.2,0.1,0,0,0,0.12
Bheri,Mountain,Niche,36,9,3.9,1.1,0.07,0.3,0.11
Bheri,Mountain,Basin,287,71.6,269.6,74.1,15.67,63.5,0.94
Bheri,Valley,Trough,6,1.5,77.4,21.3,8.58,34.8,12.89
Tila,Mountain,Miscellaneous,0,0,0,0,0,0,0
Tila,Mountain,Ice Apron,14,23,1.3,4.7,0.02,1.6,0.09
Tila,Mountain,Cirque,0,0,0,0,0,0,0
Tila,Mountain,Niche,4,6.6,0.2,0.9,0,0.2,0.06
Tila,Mountain,Basin,42,68.9,17.9,66.9,0.66,50.1,0.43
Tila,Valley,Trough,1,1.6,7.4,27.5,0.63,48,7.37
Mugu,Mountain,Miscellaneous,0,0,0,0,0,0,0
Mugu,Mountain,Ice Apron,39,19,6.9,5.8,0.18,3.1,0.18
Mugu,Mountain,Cirque,0,0,0,0,0,0,0
Mugu,Mountain,Niche,15,7.3,1.6,1.3,0.03,0.5,0.11
Mugu,Mountain,Basin,150,73.2,106.7,89.5,5.36,91.7,0.71
Mugu,Valley,Trough,1,0.5,4,3.3,0.27,4.7,3.98
Humla,Mountain,Miscellaneous,2,0.4,0.6,0.2,0.02,0.1,0.28
Humla,Mountain,Ice Apron,55,11.6,9.2,2.7,0.23,1.2,0.17
Humla,Mountain,Cirque,1,0.2,0,0,0,0,0.04
Humla,Mountain,Niche,55,11.6,5.2,1.5,0.09,0.4,0.09
Humla,Mountain,Basin,357,75.3,283.6,83.9,15.31,78.6,0.79
Humla,Valley,Trough,4,0.8,39.3,11.6,3.85,19.8,9.82
Kawari,Mountain,Miscellaneous,0,0,0,0,0,0,0
Kawari,Mountain,Ice Apron,3,6.3,0.3,1.1,0.01,0.3,0.1
Kawari,Mountain,Cirque,0,0,0,0,0,0,0
Kawari,Mountain,Niche,6,12.5,0.5,1.6,0.01,0.5,0.08
Kawari,Mountain,Basin,38,79.2,21.4,73.3,0.85,58.6,0.56
Kawari,Valley,Trough,1,2.1,7,24,0.59,40.6,7
West Seti,Mountain,Miscellaneous,0,0,0,0,0,0,0
West Seti,Mountain,Ice Apron,43,15.9,6.9,4.7,0.17,2.3,0.16
West Seti,Mountain,Cirque,2,0.7,0.1,0.1,0,0,0.06
West Seti,Mountain,Niche,33,12.2,3.2,2.2,0.05,0.7,0.1
West Seti,Mountain,Basin,186,68.9,99.8,68.3,3.97,54.5,0.54
West Seti,Valley,Trough,6,2.2,36.1,24.7,3.1,42.5,6.02
